Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,leejet/stable-diffusion.cpp,https://github.com/leejet/stable-diffusion.cpp,"Diffusion model(SD,Flux,Wan,Qwen Image,Z-Image,...) inference in pure C/C++",C++,7389,826,166 stars today,leejet; wbruna; stduhpf; fszontagh; rmatif
2,harry7557558/spirula-studio,https://github.com/harry7557558/spirula-studio,"Cross-vendor 3D Gaussian Splatting trainer - video to splat to mesh, Vulkan or CUDA.",C++,1039,80,82 stars today,harry7557558; MotivaCG; debsahu; tutudoudou; ev5unleash
3,cyberbotics/webots,https://github.com/cyberbotics/webots,Webots Robot Simulator,C++,4670,2068,5 stars today,DavidMansolino; omichel; stefaniapedrazzi; fabienrohrer; lukicdarkoo
4,amnezia-vpn/amnezia-client,https://github.com/amnezia-vpn/amnezia-client,Amnezia VPN Client (Desktop+Mobile),C++,15199,1161,20 stars today,pokamest; Nethius; vkamn; albexk; outspace
5,nlohmann/json,https://github.com/nlohmann/json,JSON for Modern C++,C++,50682,7508,10 stars today,nlohmann; dependabot; theodelrieu; falbrechtskirchinger; Teemperor
6,notepad-plus-plus/notepad-plus-plus,https://github.com/notepad-plus-plus/notepad-plus-plus,Notepad++ official repository,C++,29411,5376,8 stars today,donho; ozone10; xomx; SinghRajenM; chcg
7,MaaAssistantArknights/MaaAssistantArknights,https://github.com/MaaAssistantArknights/MaaAssistantArknights,"《明日方舟》小助手，全日常一键长草！| A one-click tool for the daily tasks of Arknights, supporting all clients.",C++,23454,2853,17 stars today,MistEO; ABA2396; status102; Constrat; github-actions
8,google-ai-edge/LiteRT,https://github.com/google-ai-edge/LiteRT,"LiteRT, successor to TensorFlow Lite. is Google's On-device framework for high-performance ML & GenAI deployment on edge platforms, via efficient conversion, runtime, and optimization",C++,3441,461,4 stars today,ai-edge-bot; terryheo; LukeBoyer; qukhan; YunanAZ
9,ROCm/rocm-systems,https://github.com/ROCm/rocm-systems,super repo for rocm systems projects,C++,512,419,0 stars today,lmoriche; marifamd; dgaliffiAMD; kiritigowda; AryanSalmanpour
10,AlexandreRouma/SDRPlusPlus,https://github.com/AlexandreRouma/SDRPlusPlus,Cross-Platform SDR Software,C++,6369,889,1 star today,AlexandreRouma; CamK06; howard0su; cropinghigh; thedocruby
11,shadps4-emu/shadPS4,https://github.com/shadps4-emu/shadPS4,"PlayStation 4 emulator for Windows, Linux, macOS and FreeBSD written in C++",C++,32971,2568,12 stars today,georgemoralis; squidbus; raphaelthegreat; StevenMiller123; psucien
12,google/googletest,https://github.com/google/googletest,GoogleTest - Google Testing and Mocking Framework,C++,39584,10900,7 stars today,gennadiycivil; derekmauro; kuzkry; copybara-github
13,microsoft/winget-cli,https://github.com/microsoft/winget-cli,"WinGet is the Windows Package Manager. This project includes a CLI (Command Line Interface), PowerShell modules, and a COM (Component Object Model) API (Application Programming Interface).",C++,26458,1801,1 star today,JohnMcPMS; yao-msft; ryfu-msft; Trenly; florelis
14,justcallmekoko/ESP32Marauder,https://github.com/justcallmekoko/ESP32Marauder,A suite of WiFi/Bluetooth offensive and defensive tools for the ESP32,C++,12470,1491,12 stars today,justcallmekoko; H4W9; bmorcelli; trisp3ar; evilpete
15,lammps/lammps,https://github.com/lammps/lammps,Public development project of the LAMMPS MD software package,C++,3071,2054,0 stars today,akohlmey; stanmoore1; rbberger; jrgissing; jtclemm
16,0xShug0/audio.cpp,https://github.com/0xShug0/audio.cpp,"An all-in-one, pure C++ inference engine for audio models, powered by ggml. Supports TTS, STT, VAD, voice conversion, music generation, and more, with highly optimized performance. No Python dependency.",C++,3033,345,23 stars today,0xShug0; mirek190; claude; christopherthompson81; IIIIIllllIIIIIlllll
17,NVIDIA/cutlass,https://github.com/NVIDIA/cutlass,CUDA Templates and Python DSLs for High-Performance Linear Algebra,C++,10496,2102,10 stars today,hwu36; kerrmudgeon; Junkai-Wu; fengxie; ANIKET-SHIVAM
