Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,microsoft/markitdown,https://github.com/microsoft/markitdown,Python tool for converting files and office documents to Markdown.,Python,108555,6876,"1,675 stars today",afourney; gagb; sugatoray; PetrAPConsulting; l-lumin
2,virattt/ai-hedge-fund,https://github.com/virattt/ai-hedge-fund,An AI Hedge Fund Team,Python,54230,9400,"1,007 stars today",virattt; arsaboo; KittatamSaisaard; jsemldonado; ak4631
3,shiyu-coder/Kronos,https://github.com/shiyu-coder/Kronos,Kronos: A Foundation Model for the Language of Financial Markets,Python,17843,3311,963 stars today,shiyu-coder; Luciferbobo; CharlesJ-ABu; AnMakc; randyy179
4,NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,The agent that grows with you,Python,84974,11497,"8,301 stars today",teknium1; 0xbyt4; kshitijk4poor; claude; alt-glitch
5,vllm-project/vllm,https://github.com/vllm-project/vllm,A high-throughput and memory-efficient inference and serving engine for LLMs,Python,76614,15583,162 stars today,DarkLight1337; WoosukKwon; mgoin; hmellor; youkaichao
6,paperswithbacktest/awesome-systematic-trading,https://github.com/paperswithbacktest/awesome-systematic-trading,"A curated list of awesome libraries, packages, strategies, books, blogs, tutorials for systematic trading.",Python,7905,1117,26 stars today,edarchimbaud; jamesmunro; ss18; leftys; iamjinlei
7,Tracer-Cloud/opensre,https://github.com/Tracer-Cloud/opensre,Build your own AI SRE agents. The open source toolkit for the AI era ✨,Python,742,103,137 stars today,davincios; VaibhavUpreti; aliya-tracer; cursoragent; arnetracer
8,ultralytics/ultralytics,https://github.com/ultralytics/ultralytics,Ultralytics YOLO 🚀,Python,55917,10763,63 stars today,glenn-jocher; UltralyticsAssistant; Laughing-q; RizwanMunawar; pre-commit-ci
9,alirezarezvani/claude-skills,https://github.com/alirezarezvani/claude-skills,"232+ Claude Code skills & agent plugins for Claude Code, Codex, Gemini CLI, Cursor, and 8 more coding agents — engineering, marketing, product, compliance, C-level advisory.",Python,11112,1427,195 stars today,alirezarezvani; claude; olgasafonova; fernandezbaptiste; ikala-shawn
