Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,asgeirtj/system_prompts_leaks,https://github.com/asgeirtj/system_prompts_leaks,"Extracted system prompts from Anthropic - Claude Fable 5, Opus 4.8, Claude Code, Claude Design. OpenAI - ChatGPT 5.5 Thinking, GPT 5.5 Instant, Codex. Google - Gemini 3.5 Flash, 3.1 Pro, Antigravity. xAI - Grok, Cursor, Copilot, VS Code, Perplexity, and more. Updated regularly.",JavaScript,53108,8656,"1,691 stars today",asgeirtj; claude; awrreny; anonymous619259; lcebot
2,Leonxlnx/taste-skill,https://github.com/Leonxlnx/taste-skill,"Taste-Skill - gives your AI good taste. stops the AI from generating boring, generic slop",JavaScript,60155,4086,"1,440 stars today",Leonxlnx; cursoragent; claude; luojiyin1987; jkk442
3,openai/codex-plugin-cc,https://github.com/openai/codex-plugin-cc,Use Codex from Claude Code to review code or delegate tasks.,JavaScript,26647,1601,483 stars today,dkundel-openai; VOIDXAI; claude; xiaolai; zeta987
4,jnMetaCode/superpowers-zh,https://github.com/jnMetaCode/superpowers-zh,🦸 AI 编程超能力 · 中文增强版 — superpowers（116k+ ⭐）完整汉化 + 6 个中国原创 skills，让 Claude Code / Copilot CLI / Hermes Agent / Cursor / Windsurf / Kiro / Gemini CLI 等 16 款 AI 编程工具真正会干活,JavaScript,6537,625,65 stars today,obra; jnMetaCode; claude; arittr; clkao
5,decolua/9router,https://github.com/decolua/9router,"Unlimited FREE AI coding. Connect Claude Code, Codex, Cursor, Cline, Copilot, Antigravity to FREE Claude/GPT/Gemini via 40+ providers. Auto-fallback, RTK -40% tokens, never hit limits.",JavaScript,20756,3371,382 stars today,cursoragent; anuragg-saxenaa; claude; catalinstanciu; Blade096
6,Piebald-AI/claude-code-system-prompts,https://github.com/Piebald-AI/claude-code-system-prompts,"All parts of Claude Code's system prompt, 27 builtin tool descriptions, sub agent prompts (Plan/Explore/Task), utility prompts (CLAUDE.md, compact, statusline, magic docs, WebFetch, Bash cmd, security review, agent creation). Updated for each Claude Code version.",JavaScript,11656,1989,30 stars today,mike1858; bl-ue; signadou; ddaanet
7,coreyhaines31/marketingskills,https://github.com/coreyhaines31/marketingskills,"Marketing skills for Claude Code and AI agents. CRO, copywriting, SEO, analytics, and growth engineering.",JavaScript,37128,5975,242 stars today,coreyhaines31; claude; njcameron; Jiliac; basseko
8,earthtojake/text-to-cad,https://github.com/earthtojake/text-to-cad,"A collection of agent skills for CAD, robotics and hardware design",JavaScript,7791,899,91 stars today,earthtojake; claude; github-actions; arronzhang; vasco3
9,mnfst/awesome-free-llm-apis,https://github.com/mnfst/awesome-free-llm-apis,List of Permanent Free LLM API (API Keys),JavaScript,5569,530,42 stars today,SebConejo; brunobuddy; claude; github-actions; codeusb
10,truelockmc/streambert,https://github.com/truelockmc/streambert,"A cross-platform Electron Desktop App to stream and download any Movie, TV Series or Anime in the World. Zero Ads and Tracking",JavaScript,5746,507,27 stars today,truelockmc; rogueburger21; jeremyHOT; aimen08; GunSliger00007
11,koodo-reader/koodo-reader,https://github.com/koodo-reader/koodo-reader,"A modern ebook manager and reader with sync and backup capacities for Windows, macOS, Linux, Android, iOS and Web",JavaScript,27407,2036,9 stars today,troyeguo; cursoragent; nofalbriansah; claude; hacketiwack
12,MobSF/Mobile-Security-Framework-MobSF,https://github.com/MobSF/Mobile-Security-Framework-MobSF,"Mobile Security Framework (MobSF) is an automated, all-in-one mobile application (Android/iOS/Windows) pen-testing, malware analysis and security assessment framework capable of performing static and dynamic analysis.",JavaScript,21358,3715,9 stars today,ajinabraham; superpoussin22; pyup-bot; sydowma; sn0b4ll
13,WordPress/agent-skills,https://github.com/WordPress/agent-skills,"Expert-level WordPress knowledge for AI coding assistants - blocks, themes, plugins, and best practices",JavaScript,1838,279,22 stars today,Jameswlepage; ciampo; bgrgicak; claude; brandonpayton
