Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,larksuite/cli,https://github.com/larksuite/cli,"The official Lark/Feishu CLI tool, maintained by the larksuite team — built for humans and AI Agents. Covers core business domains including Messenger, Docs, Base, Sheets, Calendar, Mail, Tasks, Meetings, and more, with 200+ commands and 20+ AI Agent Skills.",Go,14262,980,73 stars today,liangshuo-1; fangshuyu-768; evandance; wittam-01; JackZhao10086
2,cloudreve/cloudreve,https://github.com/cloudreve/cloudreve,"🌩 Self-hosted file management and sharing system, supports multiple storage providers",Go,28126,3848,18 stars today,HFO4; YUDONGLING; WeidiDeng; dependabot; vvisionnn
3,multica-ai/multica,https://github.com/multica-ai/multica,"The open-source managed agents platform. Turn coding agents into real teammates — assign tasks, track progress, compound skills.",Go,36937,4542,164 stars today,claude; NevilleQingNY; Bohan-J; forrestchang; multica-agent
4,dstotijn/hetty,https://github.com/dstotijn/hetty,An HTTP toolkit for security research.,Go,11296,709,50 stars today,dstotijn; dependabot; holiman; MichalZalecki; StevenMaude
5,mostlygeek/llama-swap,https://github.com/mostlygeek/llama-swap,"Reliable model swapping for any local OpenAI/Anthropic compatible server - llama.cpp, vllm, etc",Go,4626,351,66 stars today,mostlygeek; claude; ryan-steed-usa; marcusds; shirayu
6,getlago/lago,https://github.com/getlago/lago,"Open Source Metering and Usage Based Billing API ⭐️ Consumption tracking, Subscription management, Pricing iterations, Payment orchestration & Revenue analytics",Go,9941,657,60 stars today,jdenquin; vincent-pochet; rsempe; groyoh; IxDay
7,mvanhorn/cli-printing-press,https://github.com/mvanhorn/cli-printing-press,"Every API has a secret identity. This finds it, absorbs every feature from every competing tool, then builds the GOAT CLI — designed for AI agents first, with SQLite sync, offline search, and compound insight commands.",Go,3532,376,110 stars today,tmchow; mvanhorn; claude; vinnyp; mergify
8,mvanhorn/printing-press-library,https://github.com/mvanhorn/printing-press-library,"Official library of CLIs generated by the CLI Printing Press. Endorsed, tested, and community-contributed.",Go,1600,430,24 stars today,tmchow; github-actions; mvanhorn; cathrynlavery; claude
9,hatchet-dev/hatchet,https://github.com/hatchet-dev/hatchet,"🪓 An orchestration engine for background tasks, AI agents, and durable workflows",Go,7371,420,18 stars today,dependabot; abelanger5; mrkaye97; grutt; mnafees
10,coder/coder,https://github.com/coder/coder,Secure environments for developers and their agents,Go,13519,1338,6 stars today,dependabot; kylecarbs; mafredri; johnstcn; Emyrk
11,golang/go,https://github.com/golang/go,The Go programming language,Go,134781,19006,55 stars today,rsc; griesemer; robpike; ianlancetaylor; bradfitz
12,elastic/beats,https://github.com/elastic/beats,🐠 Beats - Lightweight shippers for Elasticsearch & Logstash,Go,12629,5010,1 star today,ruflin; andrewkroh; dedemorton; monicasarbu; tsg
13,gosom/google-maps-scraper,https://github.com/gosom/google-maps-scraper,"scrape data from Google Maps. Extracts data such as the name, address, phone number, website URL, rating, reviews number, latitude and longitude, reviews,email and more for each place",Go,4378,658,15 stars today,gosom; dredozubov; sbOogway; fidalgo; knoellp
14,grafana/k6,https://github.com/grafana/k6,"A modern load testing tool, using Go and JavaScript",Go,30808,1561,9 stars today,inancgumus; mstoykov; ankur22; na--; codebien
15,henrygd/beszel,https://github.com/henrygd/beszel,"Lightweight server monitoring with historical data, docker stats, and alerts.",Go,22795,843,53 stars today,henrygd; svenvg93; a-mnich; stanol; arsfy
16,ddev/ddev,https://github.com/ddev/ddev,Docker-based local PHP+Node.js web development environments,Go,3661,707,1 star today,rfay; stasadev; claude; gilbertsoft; dependabot
17,google/adk-go,https://github.com/google/adk-go,"An open-source, code-first Go toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control.",Go,8175,712,11 stars today,dpasiukevich; baptmont; yarolegovich; hyangah; kdroste-google
18,google/osv-scanner,https://github.com/google/osv-scanner,Vulnerability scanner written in Go which uses the data provided by https://osv.dev,Go,10523,726,8 stars today,another-rex; G-Rath; renovate-bot; cuixq; osv-robot
19,cloudnative-pg/cloudnative-pg,https://github.com/cloudnative-pg/cloudnative-pg,"CloudNativePG is a comprehensive platform designed to seamlessly manage PostgreSQL databases within Kubernetes environments, covering the entire operational lifecycle from initial deployment to ongoing maintenance",Go,8822,712,8 stars today,mnencia; gbartolini; sxd; renovate; armru
20,keploy/keploy,https://github.com/keploy/keploy,"Open-source platform for creating safe, isolated production sandboxes for API, integration, and E2E testing.",Go,17624,2243,1 star today,slayerjain; gouravkrosx; shivamsouravjha; re-Tick; Sarthak160
