Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,openssl/openssl,https://github.com/openssl/openssl,General purpose TLS and crypto library,C,30696,11411,14 stars today,levitte; mattcaswell; dot-asm; paulidale; snhenson
2,lvgl/lvgl,https://github.com/lvgl/lvgl,"LVGL is a free, full-featured embedded UI library for devices from small MCUs to 3D-capable MPUs, enhanced by LVGL Pro, a professional editor and tooling.",C,24507,4322,19 stars today,kisvegabor; embeddedt; FASTSHIFT; AndreCostaaa; github-actions
3,redis/redis,https://github.com/redis/redis,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most feature-rich cache, data structure server, and document and vector query engine.",C,76118,24766,20 stars today,antirez; oranagra; pietern; enjoy-binbin; sundb
4,pgvector/pgvector,https://github.com/pgvector/pgvector,Open-source vector similarity search for Postgres,C,22772,1299,15 stars today,ankane; hlinnaka; jkatz; lychen0618; binarycleric
5,DeusData/codebase-memory-mcp,https://github.com/DeusData/codebase-memory-mcp,"High-performance code intelligence MCP server. Indexes codebases into a persistent knowledge graph — average repo in milliseconds. 158 languages, sub-ms queries, 99% fewer tokens. Single static binary, zero dependencies.",C,40814,3312,179 stars today,DeusData; shanemccarron-maker; claude; dependabot; mvanhorn
6,microsoft/PowerToys,https://github.com/microsoft/PowerToys,Microsoft PowerToys is a collection of utilities that supercharge productivity and customization on Windows,C,138146,8508,54 stars today,crutkas; bao-qian; niels9001; qianlifeng; jaimecbernardo
7,obsproject/obs-studio,https://github.com/obsproject/obs-studio,OBS Studio - Free and open source software for live streaming and screen recording,C,75498,9905,39 stars today,jp9000; jpark37; derrod; PatTheMav; RytoEX
8,curl/curl,https://github.com/curl/curl,"A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, MQTTS, POP3, POP3S, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET, TFTP, WS and WSS. libcurl offers a myriad of powerful features",C,42691,7327,6 stars today,bagder; vszakats; yangtse; captain-caveman2k; dfandrich
9,dorianborian/sesame-robot,https://github.com/dorianborian/sesame-robot,An open and affordable mini quadruped robot based on ESP32.,C,4167,564,23 stars today,dorianborian; shariqnaiyer; one-for-all; vido89; maximeconnolly
10,DaveGamble/cJSON,https://github.com/DaveGamble/cJSON,Ultralightweight JSON parser in ANSI C,C,12957,3517,3 stars today,FSMaxB; Alanscut; DaveGamble; kbranigan; gatzka
11,espressif/esp-idf,https://github.com/espressif/esp-idf,Espressif IoT Development Framework. Official development framework for Espressif SoCs.,C,18879,8450,5 stars today,igrr; projectgus; jack0c; suda-morris; mahavirj
12,zephyrproject-rtos/zephyr,https://github.com/zephyrproject-rtos/zephyr,"Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures.",C,16322,9850,9 stars today,nashif; jukkar; galak; gmarull; kartben
13,FreeRTOS/FreeRTOS-Kernel,https://github.com/FreeRTOS/FreeRTOS-Kernel,"FreeRTOS kernel files only, submoduled into https://github.com/FreeRTOS/FreeRTOS and various other repos.",C,4445,1602,1 star today,RichardBarry; aggarg; kar-rahul-aws; chinglee-iot; Skptak
14,madler/zlib,https://github.com/madler/zlib,A massively spiffy yet delicately unobtrusive compression library.,C,7049,2842,3 stars today,madler; nmoinvaz; Chi-Iroh; DimitriPapadopoulos; Vollstrecker
15,fluent/fluent-bit,https://github.com/fluent/fluent-bit,"Fast and Lightweight Logs, Metrics and Traces processor for Linux, BSD, OSX and Windows",C,8063,1985,2 stars today,edsiper; cosmo0920; nokute78; pwhelan; leonardo-albertovich
16,micropython/micropython,https://github.com/micropython/micropython,MicroPython - a lean and efficient Python implementation for microcontrollers and constrained systems,C,22012,8946,5 stars today,dpgeorge; pfalcon; jimmo; robert-hh; iabdalkader
17,systemd/systemd,https://github.com/systemd/systemd,The systemd System and Service Manager,C,16633,4646,3 stars today,poettering; yuwata; keszybz; bluca; daandemeyer
18,Mbed-TLS/mbedtls,https://github.com/Mbed-TLS/mbedtls,"An open source, portable, easy to use, readable and flexible TLS library, and reference implementation of the PSA Cryptography API. Releases are on a varying cadence, typically around 3 - 6 months between releases.",C,6920,2958,10 stars today,gilles-peskine-arm; mpg; ronald-cron-arm; valeriosetti; daverodgman
19,termux/termux-x11,https://github.com/termux/termux-x11,Termux X-server add-on.,C,4655,674,9 stars today,twaik; dependabot; creepy-pasta101; gradle-update-robot; github-actions
20,FRRouting/frr,https://github.com/FRRouting/frr,The FRRouting Protocol Suite,C,4269,1597,1 star today,donaldsharp; ton31337; eqvinox; qlyoung; riw777
21,reactos/reactos,https://github.com/reactos/reactos,A free Windows-compatible Operating System,C,17970,2191,11 stars today,tkreuzer; AmineKhaldi; EricKohl; HBelusca; ThFabba
22,firedancer-io/firedancer,https://github.com/firedancer-io/firedancer,Firedancer is Jump Crypto's Solana validator software.,C,1511,514,1 star today,riptl; mmcgee-jump; kbowers-jump; ibhatt-jumptrading; two-heart
