Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,mrdoob/three.js,https://github.com/mrdoob/three.js,JavaScript 3D Library.,JavaScript,113693,36436,41 stars today,mrdoob; Mugen87; alteredq; sunag; WestLangley
2,nodejs/node,https://github.com/nodejs/node,Node.js JavaScript runtime ✨🐢🚀✨,JavaScript,118315,36191,85 stars today,Trott; ry; bnoordhuis; addaleax; isaacs
3,vercel/next.js,https://github.com/vercel/next.js,The React Framework,JavaScript,141028,31559,179 stars today,ijjk; timneutkens; sokra; vercel-release-bot; huozhi
4,affaan-m/ECC,https://github.com/affaan-m/ECC,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.",JavaScript,228977,35106,401 stars today,affaan-m; claude; pangerlkr; dependabot; greptile-apps
5,SillyTavern/SillyTavern,https://github.com/SillyTavern/SillyTavern,LLM Frontend for Power Users.,JavaScript,30590,5789,36 stars today,Cohee1207; Wolfsblvt; RossAscends; LenAnderson; valadaptive
6,ilysenko/codex-desktop-linux,https://github.com/ilysenko/codex-desktop-linux,"Unofficial ChatGPT desktop app for Linux (formerly the Codex app), built locally from OpenAI’s official macOS app. Includes Chat, Work, and Codex. Packages for Debian/Ubuntu (.deb), Fedora/openSUSE (.rpm), Arch (pacman), Nix/NixOS, and AppImage, with Wayland and X11 support.",JavaScript,2432,312,48 stars today,ilysenko; Leay15; avifenesh; Yo-DDV; moxw
7,react/react,https://github.com/react/react,The library for web and native user interfaces.,JavaScript,246458,51204,103 stars today,sebmarkbage; zpao; gaearon; acdlite; sophiebits
8,pbakaus/impeccable,https://github.com/pbakaus/impeccable,The design language that makes your AI harness better at design.,JavaScript,46023,2786,271 stars today,pbakaus; claude; abdulwahabone; github-actions; dependabot
9,Acode-Foundation/Acode,https://github.com/Acode-Foundation/Acode,Acode - powerful text/code editor for android,JavaScript,5971,1273,17 stars today,bajrangCoder; deadlyjack; RohitKushvaha01; UnschooledGamer; dependabot
10,naptha/tesseract.js,https://github.com/naptha/tesseract.js,Pure Javascript OCR for more than 100 Languages 📖🎉🖥,JavaScript,38420,2370,149 stars today,jeromewu; bijection; Balearica; antimatter15; dependabot
11,hmjz100/LinkSwift,https://github.com/hmjz100/LinkSwift,一个基于 JavaScript 的网盘文件下载地址获取工具。基于【网盘直链下载助手】修改 ，支持 百度网盘 / 阿里云盘 / 中国移动云盘 / 天翼云盘 / 迅雷云盘 / 夸克网盘 / UC网盘 / 123云盘 八大网盘,JavaScript,17986,1067,234 stars today,hmjz100; MisaLiu; Night-stars-1; AstralFlare-owo; RyoSXu
12,maillab/cloud-mail,https://github.com/maillab/cloud-mail,A Cloudflare-based email service | 基于 Cloudflare 的邮箱服务 | Cloudflare Email 邮箱 Mail,JavaScript,12195,17607,34 stars today,Silentely; MengNianxiaoyao; LLLLLLiulei; ifsheldon
13,venera-app/venera-configs,https://github.com/venera-app/venera-configs,Pas de description,JavaScript,707,162,2 stars today,wgh136; Pacalini; jinzong53; morning-start; ynyxx
14,4ian/GDevelop,https://github.com/4ian/GDevelop,"🎮 Open-source, cross-platform 2D/3D/multiplayer game engine designed for everyone.",JavaScript,24647,1455,70 stars today,4ian; D8H; ClementPasteau; AlexandreSi; victorlevasseur
15,johnfactotum/foliate,https://github.com/johnfactotum/foliate,Read e-books in style,JavaScript,8544,405,8 stars today,johnfactotum; Vistaus; soumyaDghosh; julroy67; schw0reismus
16,qist/tvbox,https://github.com/qist/tvbox,OK影视、tvbox配置文件，如果喜欢，请Fork自用。使用前请仔细阅读仓库说明，一旦使用将被视为你已了解。,JavaScript,10289,3744,20 stars today,gaotianliuyun; qist; github-actions; dependabot; st7833232
