Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,openai/codex,https://github.com/openai/codex,Lightweight coding agent that runs in your terminal,Rust,72646,10167,"1,435 stars today",bolinfest; jif-oai; aibrahim-oai; pakrym-oai; etraut-openai
2,antinomyhq/forgecode,https://github.com/antinomyhq/forgecode,"AI enabled pair programmer for Claude, GPT, O Series, Grok, Deepseek, Gemini and 300+ models",Rust,5723,1259,252 stars today,tusharmath; autofix-ci; amitksingh1490; laststylebender14; ssddOnTop
3,farion1231/cc-switch,https://github.com/farion1231/cc-switch,"A cross-platform desktop All-in-One assistant tool for Claude Code, Codex, OpenCode, openclaw & Gemini CLI.",Rust,37910,2313,781 stars today,farion1231; yovinchen; claude; TinsFox; tianrking
4,lance-format/lance,https://github.com/lance-format/lance,"Open Lakehouse Format for Multimodal AI. Convert from Parquet in 2 lines of code for 100x faster random access, vector index, and data versioning. Compatible with Pandas, DuckDB, Polars, Pyarrow, and PyTorch with more integrations coming..",Rust,6265,610,4 stars today,github-actions; eddyxu; westonpace; wjones127; BubbleCal
5,rivet-dev/rivet,https://github.com/rivet-dev/rivet,"Rivet Actors are the primitive for stateful workloads. Built for AI agents, collaborative apps, and durable execution.",Rust,5372,170,12 stars today,NathanFlurry; MasterPtato; jog1t; NicholasKissel; AngelOnFira
6,SpikeHD/Dorion,https://github.com/SpikeHD/Dorion,"Tiny alternative Discord client with a smaller footprint, snappier startup, themes, plugins and more!",Rust,2047,56,47 stars today,SpikeHD; dependabot; Small-Ku; P34R1; headquarter8302
7,biomejs/biome,https://github.com/biomejs/biome,"A toolchain for web projects, aimed to provide functionalities to maintain them. Biome offers formatter and linter, usable via CLI and LSP.",Rust,24197,929,20 stars today,ematipico; sebmck; Conaclos; renovate; arendjr
8,lakehq/sail,https://github.com/lakehq/sail,"LakeSail's computation framework with a mission to unify batch processing, stream processing, and compute-intensive AI workloads.",Rust,1247,83,22 stars today,linhr; shehabgamin; dependabot; lonless9; SparkApplicationMaster
9,near/nearcore,https://github.com/near/nearcore,Reference client for NEAR Protocol,Rust,2585,770,1 star today,mina86; bowenwang1996; matklad; pmnoxx; nagisa
10,BoundaryML/baml,https://github.com/BoundaryML/baml,The AI framework that adds the engineering to prompt engineering (Python/TS/Ruby/Java/C#/Rust/Go compatible),Rust,7890,403,17 stars today,hellovai; aaronvg; sxlijin; antoniosarosi; imalsogreg
11,psmux/psmux,https://github.com/psmux/psmux,"Tmux on Windows Powershell - tmux for PowerShell, Windows Terminal, cmd.exe. Includes psmux, pmux, and tmux commands. This is native Powershell Tmux designed for Windows in Rust 🦀",Rust,945,66,44 stars today,computersrmyfriends; psmux; souhaiebtar; ToxMox; XingLingQAQ
