Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,goauthentik/authentik,https://github.com/goauthentik/authentik,The authentication glue you need.,Python,23615,1806,530 stars today,BeryJu; dependabot; rissson; transifex-integration; authentik-automation
2,semantica-agi/semantica,https://github.com/semantica-agi/semantica,Graph-Native Infrastructure for Context and Accountable AI Systems,Python,2358,307,122 stars today,KaifAhmad1; Sameer6305; claude; ZohaibHassan16; dependabot
3,666ghj/MiroFish,https://github.com/666ghj/MiroFish,"A Simple and Universal Swarm Intelligence Engine, Predicting Anything. 简洁通用的群体智能引擎，预测万物",Python,70515,10989,141 stars today,666ghj; Ghostubborn; anupamme; harshitanand; github-actions
4,Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",Python,186333,46061,355 stars today,Pwuts; majdyz; Auto-GPT-Bot; ntindle; Swiftyos
5,google/skills,https://github.com/google/skills,Agent Skills for Google products and technologies,Python,16264,1290,327 stars today,cloud-ix-copybara; holtskinner; martinvarelaj; helloeve; jsondai
6,Comfy-Org/ComfyUI,https://github.com/Comfy-Org/ComfyUI,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.",Python,124662,14767,338 stars today,comfyanonymous; bigcat88; pythongosssss; comfyui-wiki; rattus128
7,donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,Learn how to design large-scale systems. Prep for the system design interview. Includes Anki flashcards.,Python,362273,57714,294 stars today,donnemartin; cclauss; satob; fluency03; luisbg
8,android/skills,https://github.com/android/skills,Pas de description,Python,6614,386,47 stars today,android-devrel-github-bot; JoseAlcerreca; simona-anomis; bentrengrove; vinishavathwani
9,tirth8205/code-review-graph,https://github.com/tirth8205/code-review-graph,"Local-first code intelligence graph for MCP and CLI. Builds a persistent map of your codebase so AI coding tools read only what matters, with benchmarked context reductions on reviews and large-repo workflows.",Python,29359,2692,450 stars today,tirth8205; claude; gzenz; HsiangNianian; jaissebastian
10,harvard-edge/cs249r_book,https://github.com/harvard-edge/cs249r_book,Machine Learning Systems,Python,27813,3496,36 stars today,profvjreddi; github-actions; hzeljko; claude; dependabot
11,p1ngul1n0/blackbird,https://github.com/p1ngul1n0/blackbird,An OSINT tool to search for accounts by username and email in social networks.,Python,7403,831,35 stars today,p1ngul1n0; Pandede; yutodadil; tr33n; qqux
12,anthropics/claude-plugins-official,https://github.com/anthropics/claude-plugins-official,"Official, Anthropic-managed directory of high quality Claude Code Plugins.",Python,33249,3754,55 stars today,github-actions; bryan-anthropic; claude; tobinsouth; k6l3
13,huangruiteng/loopx,https://github.com/huangruiteng/loopx,"Lightweight loop engineering state kernel for long-running AI agent teams. Agent-loop agnostic across Codex, Claude Code, and other coding agents, with durable goals, quota-aware auto-wake, executable todos, evidence logs, and verifiable handoffs.",Python,3404,267,624 stars today,huangruiteng; cocolord; ZaynJarvis; Hoey041; Ray0907
14,wshobson/agents,https://github.com/wshobson/agents,"Multi-harness agentic plugin marketplace for Claude Code, Codex CLI, Cursor, OpenCode, GitHub Copilot, and Gemini CLI",Python,38600,4119,58 stars today,wshobson; web-flow; dependabot; claude; ZeroXLauren
15,anthropics/claude-code,https://github.com/anthropics/claude-code,"Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and helps you code faster by executing routine tasks, explaining complex code, and handling git workflows - all through natural language commands.",Python,140611,22611,125 stars today,actions-user; bcherny; claude; ant-kurt; ashwin-ant
16,NVIDIA-NeMo/Speech,https://github.com/NVIDIA-NeMo/Speech,"A scalable generative AI framework built for researchers and developers working on Large Language Models, Multimodal, and Speech AI (Automatic Speech Recognition and Text-to-Speech)",Python,18019,3539,82 stars today,pre-commit-ci; okuchaiev; titu1994; ekmb; yidong72
17,kijai/ComfyUI-KJNodes,https://github.com/kijai/ComfyUI-KJNodes,Various custom nodes for ComfyUI,Python,2990,330,16 stars today,kijai; adrian-forest; MrForExample; claude; drozbay
