Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,leejet/stable-diffusion.cpp,https://github.com/leejet/stable-diffusion.cpp,"Diffusion model(SD,Flux,Wan,Qwen Image,Z-Image,...) inference in pure C/C++",C++,7269,813,36 stars today,leejet; wbruna; stduhpf; fszontagh; rmatif
2,harry7557558/spirula-studio,https://github.com/harry7557558/spirula-studio,"Cross-vendor 3D Gaussian Splatting trainer - video to splat to mesh, Vulkan or CUDA.",C++,988,79,257 stars today,harry7557558; MotivaCG; debsahu; tutudoudou; ev5unleash
3,keepassxreboot/keepassxc,https://github.com/keepassxreboot/keepassxc,KeePassXC is a cross-platform community-driven port of the Windows application “KeePass Password Safe”.,C++,28943,1917,19 stars today,droidmonkey; debfx; phoerious; BlueIce; TheZ3ro
4,Atmosphere-NX/Atmosphere,https://github.com/Atmosphere-NX/Atmosphere,Atmosphère is a work-in-progress customized firmware for the Nintendo Switch.,C++,19866,1485,25 stars today,SciresM; hexkyz; TuxSH; lioncash; ktemkin
5,openxla/xla,https://github.com/openxla/xla,"A machine learning compiler for GPUs, CPUs, and ML accelerators",C++,4558,949,6 stars today,tensorflower-gardener; Google-ML-Automation; ezhulenev; akuegel; hawkinsp
6,Themaister/pyrowave,https://github.com/Themaister/pyrowave,Pas de description,C++,370,16,20 stars today,Themaister; slouken; claude; mpiatka
7,nlohmann/json,https://github.com/nlohmann/json,JSON for Modern C++,C++,50673,7507,13 stars today,nlohmann; dependabot; theodelrieu; falbrechtskirchinger; Teemperor
8,WerWolv/ImHex,https://github.com/WerWolv/ImHex,"🔍 A Hex Editor for Reverse Engineers, Programmers and people who value their retinas when working at 3 AM.",C++,54895,2467,11 stars today,WerWolv; iTrooz; paxcut; WerWolvTranslationBot; marysaka
9,musescore/MuseScore,https://github.com/musescore/MuseScore,"MuseScore is an open source and free music notation software. For support, contribution, bug reports, visit MuseScore.org. Fork and make pull requests!",C++,15133,3303,3 stars today,RomanPudashkin; cbjeukendrup; lasconic; wschweer; igorkorsukov
10,espressif/arduino-esp32,https://github.com/espressif/arduino-esp32,Arduino core for the ESP32 family of SoCs,C++,17428,7913,3 stars today,me-no-dev; github-actions; lucasssvaz; SuGlider; pre-commit-ci-lite
11,NVIDIA/cutlass,https://github.com/NVIDIA/cutlass,CUDA Templates and Python DSLs for High-Performance Linear Algebra,C++,10489,2100,9 stars today,hwu36; kerrmudgeon; Junkai-Wu; fengxie; ANIKET-SHIVAM
12,bmorcelli/Launcher,https://github.com/bmorcelli/Launcher,"Firmware Launcher for ESP32 boards like: M5Stack, Lilygo, Marauder and CYD devices.",C++,2156,258,6 stars today,bmorcelli; dj1ch; H4W9; claude; Unixware
13,throneproj/Throne,https://github.com/throneproj/Throne,Cross-platform GUI proxy utility (Empowered by sing-box),C++,7252,412,18 stars today,Mahdi-zarei; parhelia512; arm64v8a; CodeFreer; 0-Kutya-0
14,SpriteOvO/AirPodsDesktop,https://github.com/SpriteOvO/AirPodsDesktop,"☄️ AirPods desktop user experience enhancement program, for Windows and Linux (WIP)",C++,3442,206,9 stars today,SpriteOvO; Kashionz; RyoSaebaChan; m-chavalinov; alexmartins
15,google/googletest,https://github.com/google/googletest,GoogleTest - Google Testing and Mocking Framework,C++,39580,10900,3 stars today,gennadiycivil; derekmauro; kuzkry; copybara-github
16,ROCm/rocm-systems,https://github.com/ROCm/rocm-systems,super repo for rocm systems projects,C++,510,419,3 stars today,lmoriche; marifamd; dgaliffiAMD; kiritigowda; AryanSalmanpour
