Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,ruvnet/RuView,https://github.com/ruvnet/RuView,"π RuView turns commodity WiFi signals into real-time spatial intelligence, vital sign monitoring, and presence detection — all without a single pixel of video.",Rust,89377,11894,154 stars today,ruvnet; claude; proffesor-for-testing; dependabot; github-actions
2,Zackriya-Solutions/meetily,https://github.com/Zackriya-Solutions/meetily,"Privacy first, AI meeting assistant with 4x faster Parakeet/Whisper live transcription, speaker diarization, and Ollama summarization built on Rust. 100% local processing. no cloud required. Meetily (Meetly Ai - https://meetily.ai) is the #1 Self-hosted, Open-source Ai meeting note taker for macOS & Windows. Understand How to write meeting minutes",Rust,28861,3052,162 stars today,sujithatzackriya; safvanatzack; mohammedsafvan; athulchandroth; p-s-vishnu
3,sopaco/deepwiki-rs,https://github.com/sopaco/deepwiki-rs,Turn code into clarity. Generate accurate technical docs and AI-ready context in minutes—perfectly structured for human teams and intelligent agents.,Rust,1666,189,51 stars today,sopaco; claude; yuzhichang; Copilot; alexey-aurea
4,reacherhq/check-if-email-exists,https://github.com/reacherhq/check-if-email-exists,"Check if an email address exists without sending any email, written in Rust. Comes with a ⚙️ HTTP backend.",Rust,9434,682,78 stars today,dependabot-preview; amaury1093; dependabot; hadisfr; PsypherPunk
5,run-llama/liteparse,https://github.com/run-llama/liteparse,"A fast, helpful, and open-source document parser",Rust,12028,824,35 stars today,logan-markewich; AstraBert; dependabot; AdemBoukhris457; hexapode
6,wealthfolio/wealthfolio,https://github.com/wealthfolio/wealthfolio,"A beautiful, private, local-first personal finance tracker. Investments, net worth, spending, and simulations.",Rust,8599,631,20 stars today,afadil; Jonjon-prog; claude; geordie; triantos
7,Automattic/harper,https://github.com/Automattic/harper,"Offline, privacy-first grammar checker. Fast, open-source, Rust-powered",Rust,14336,554,38 stars today,elijah-potter; hippietrail; dependabot; grantlemons; mcecode
8,Hmbown/CodeWhale,https://github.com/Hmbown/CodeWhale,"Open-source, community-driven agent harness",Rust,40652,3513,57 stars today,Hmbown; claude; cyq1017; nightt5879; idling11
9,HakanSeven12/OpenCADStudio,https://github.com/HakanSeven12/OpenCADStudio,"A CAD application built with Rust — 2D/3D drawing, DWG/DXF support, and GPU-accelerated rendering",Rust,750,82,100 stars today,HakanSeven12; claude; KarimJerbi; KevinGriffin-new; gianlucafiore
10,denoland/celld,https://github.com/denoland/celld,"self-hosted, distributed Durable Objects",Rust,3015,97,172 stars today,ry; magurotuna; wperron
11,apache/datafusion,https://github.com/apache/datafusion,Apache DataFusion SQL Query Engine,Rust,9120,2296,10 stars today,alamb; dependabot; andygrove; kou; comphead
12,screenpipe/screenpipe,https://github.com/screenpipe/screenpipe,"YC (S26) | Record your screen 24/7 and plug into your agents. Local, private, secure. Connect to OpenClaw, Hermes agent and 100+ apps",Rust,20886,2086,33 stars today,louis030195; claude; EzraEllette; Anshgrover23; github-actions
13,tinyhumansai/openhuman,https://github.com/tinyhumansai/openhuman,"Your Personal AI super intelligence. A brain that builds a local-first memory of your life, a fantastic orchestrator of agent fleets and workflows, and a deep researcher.",Rust,36170,3599,39 stars today,senamakel; medullabot; graycyrus; claude; M3gA-Mind
14,surrealdb/surrealdb,https://github.com/surrealdb/surrealdb,"A scalable, distributed, collaborative, document-graph database, for the realtime web",Rust,32878,1331,17 stars today,tobiemh; rushmorem; emmanuel-keller; ssttuu; kearfy
15,GyulyVGC/sniffnet,https://github.com/GyulyVGC/sniffnet,Comfortably monitor your Internet traffic 🕵️‍♂️,Rust,40475,1913,64 stars today,GyulyVGC; dependabot; allcontributors; Crirock; colin99d
16,claration/Impactor,https://github.com/claration/Impactor,Cross-platform & feature rich iOS/iPadOS/tvOS sideloading application.,Rust,2907,176,19 stars today,claration; se2crid; ssalggnikool; Perry-322; mq1
17,mufeedvh/code2prompt,https://github.com/mufeedvh/code2prompt,"A CLI tool to convert your codebase into a single LLM prompt with source tree, prompt templating, and token counting.",Rust,7582,438,27 stars today,ODAncona; dependabot; mufeedvh; JackYoustra; 123vivekr
