Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,swc-project/swc,https://github.com/swc-project/swc,Rust-based platform for the Web,Rust,33886,1412,175 stars today,kdy1; swc-bot; alexander-akait; magic-akari; kwonoj
2,tensorzero/tensorzero,https://github.com/tensorzero/tensorzero,"TensorZero is an open-source LLMOps platform that unifies an LLM gateway, observability, evaluation, optimization, and experimentation.",Rust,11646,919,35 stars today,Aaron1011; GabrielBianconi; virajmehta; shuyangli; Copilot
3,tinyhumansai/openhuman,https://github.com/tinyhumansai/openhuman,"Your Personal AI super intelligence. Private, Simple and extremely powerful.",Rust,32297,3126,190 stars today,senamakel; claude; graycyrus; github-actions; M3gA-Mind
4,Universal-Debloater-Alliance/universal-android-debloater-next-generation,https://github.com/Universal-Debloater-Alliance/universal-android-debloater-next-generation,"Cross-platform GUI written in Rust using ADB to debloat non-rooted Android devices. Improve your privacy, the security and battery life of your device.",Rust,7023,307,118 stars today,AnonymousWP; 0x192; Frigyes06; Rudxain; lavafroth
5,qdrant/qdrant,https://github.com/qdrant/qdrant,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/",Rust,32350,2381,104 stars today,dependabot; generall; timvisee; agourlay; coszio
6,leptos-rs/leptos,https://github.com/leptos-rs/leptos,Build fast web applications with Rust.,Rust,20922,870,17 stars today,gbj; jquesada2016; sabify; martinfrances107; agilarity
7,zhom/donutbrowser,https://github.com/zhom/donutbrowser,Simple Yet Powerful Anti-Detect Browser 🍩,Rust,3020,302,54 stars today,zhom; dependabot; github-actions; HassiyYT; webees
8,tree-sitter/tree-sitter,https://github.com/tree-sitter/tree-sitter,An incremental parsing system for programming tools,Rust,25861,2700,22 stars today,maxbrunsfeld; amaanq; ahlinc; WillLillis; ObserverOfTime
9,gfx-rs/wgpu,https://github.com/gfx-rs/wgpu,"A cross-platform, safe, pure-Rust graphics API.",Rust,17379,1329,16 stars today,kvark; bors; cwfitzgerald; jimblandy; teoxoy
10,longbridge/gpui-component,https://github.com/longbridge/gpui-component,Rust GUI components for building fantastic cross-platform desktop application by using GPUI.,Rust,11783,662,28 stars today,huacnlee; madcodelife; claude; ihavecoke; ylinwind
11,esrlabs/chipmunk,https://github.com/esrlabs/chipmunk,log analysis tool,Rust,831,45,11 stars today,DmitryAstafyev; AmmarAbouZor; marcmo; fur-gan; github-actions
12,gitbutlerapp/gitbutler,https://github.com/gitbutlerapp/gitbutler,"The GitButler version control client, backed by Git, powered by Tauri/Rust/Svelte",Rust,21057,963,12 stars today,estib-vega; mtsgrd; Byron; OliverJAsh; Caleb-T-Owens
13,RustPython/RustPython,https://github.com/RustPython/RustPython,A Python Interpreter written in Rust,Rust,22119,1443,3 stars today,youknowone; coolreader18; windelbouwman; fanninpm; palaviv
14,unionlabs/union,https://github.com/unionlabs/union,"The trust-minimized, zero-knowledge bridging protocol, designed for censorship resistance, extremely high security, and usage in decentralized finance.",Rust,73964,3884,4 stars today,cor; benluelo; hussein-aitlahcen; Swepool; PoisonPhang
15,emilk/egui,https://github.com/emilk/egui,egui: an easy-to-use immediate mode GUI in Rust that runs on both web and native,Rust,29405,2050,13 stars today,emilk; lucasmerlin; Wumpf; YgorSouza; rustbasic
16,rerun-io/rerun,https://github.com/rerun-io/rerun,"Visualize, query, and stream to train on multimodal robotics data.",Rust,10954,768,10 stars today,emilk; Wumpf; teh-cmc; abey79; jprochazk
17,bytecodealliance/wasmtime,https://github.com/bytecodealliance/wasmtime,"A lightweight WebAssembly runtime that is fast, secure, and standards-compliant",Rust,18202,1742,11 stars today,alexcrichton; sunfishcode; fitzgen; cfallin; pchickey
18,nautechsystems/nautilus_trader,https://github.com/nautechsystems/nautilus_trader,Production-grade Rust-native trading engine with deterministic event-driven architecture,Rust,23508,2983,23 stars today,cjdsellers; limx0; filipmacek; faysou; davidsblom
