Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,dani-garcia/vaultwarden,https://github.com/dani-garcia/vaultwarden,"Unofficial Bitwarden compatible server written in Rust, formerly known as bitwarden_rs",Rust,59290,2734,188 stars today,dani-garcia; BlackDex; jjlin; mprasil; stefan0xC
2,rtk-ai/rtk,https://github.com/rtk-ai/rtk,"CLI proxy that reduces LLM token consumption by 60-90% on common dev commands. Single Rust binary, zero dependencies",Rust,35554,2157,"1,094 stars today",pszymkowiak; aeppling; claude; FlorianBruniaux; github-actions
3,ratatui/ratatui,https://github.com/ratatui/ratatui,A Rust crate for cooking up terminal user interfaces (TUIs) 👨‍🍳🐀 https://ratatui.rs,Rust,20055,637,41 stars today,joshka; fdehau; dependabot; orhun; kdheepak
4,lakehq/sail,https://github.com/lakehq/sail,"A drop-in Apache Spark replacement written in Rust, unifying batch processing, stream processing, and compute-intensive AI workloads.",Rust,1901,106,169 stars today,linhr; shehabgamin; dependabot; lonless9; davidlghellin
5,uutils/coreutils,https://github.com/uutils/coreutils,Cross-platform Rust rewrite of the GNU coreutils,Rust,23154,1829,10 stars today,sylvestre; cakebaker; tertsdiepraam; renovate; rivy
6,farion1231/cc-switch,https://github.com/farion1231/cc-switch,"A cross-platform desktop All-in-One assistant tool for Claude Code, Codex, OpenCode, openclaw & Gemini CLI.",Rust,51376,3309,636 stars today,farion1231; yovinchen; claude; TinsFox; tianrking
7,tinyhumansai/openhuman,https://github.com/tinyhumansai/openhuman,"Your Personal AI super intelligence. Private, Simple and extremely powerful.",Rust,188,28,42 stars today,senamakel; graycyrus; claude; github-actions; M3gA-Mind
8,openai/codex,https://github.com/openai/codex,Lightweight coding agent that runs in your terminal,Rust,77897,11120,266 stars today,bolinfest; jif-oai; aibrahim-oai; pakrym-oai; etraut-openai
9,zed-industries/zed,https://github.com/zed-industries/zed,"Code at the speed of thought – Zed is a high-performance, multiplayer code editor from the creators of Atom and Tree-sitter.",Rust,79779,7995,77 stars today,as-cii; maxbrunsfeld; maxdeviant; nathansobo; ConradIrwin
10,GyulyVGC/sniffnet,https://github.com/GyulyVGC/sniffnet,Comfortably monitor your Internet traffic 🕵️‍♂️,Rust,36144,1405,142 stars today,GyulyVGC; dependabot; allcontributors; Crirock; colin99d
11,zed-industries/codex-acp,https://github.com/zed-industries/codex-acp,Pas de description,Rust,660,94,8 stars today,benbrandt; rtfeldman; bennetbo; dependabot; mscolnick
12,screenpipe/screenpipe,https://github.com/screenpipe/screenpipe,Run agents that work for you based on what you do. AI finally knows what you are doing,Rust,18398,1652,28 stars today,louis030195; claude; github-actions; divanshu-go; Neptune650
13,pola-rs/polars,https://github.com/pola-rs/polars,"Extremely fast Query Engine for DataFrames, written in Rust",Rust,38306,2789,15 stars today,ritchie46; alexander-beedie; coastalwhite; orlp; nameexhaustion
14,kenforthewin/atomic,https://github.com/kenforthewin/atomic,"Self-hosted, semantically-connected personal knowledge base",Rust,1310,86,99 stars today,kenforthewin; claude; illuminaryETH; redoswald; afterthought
15,GitoxideLabs/gitoxide,https://github.com/GitoxideLabs/gitoxide,"An idiomatic, lean, fast & safe pure Rust implementation of Git",Rust,11219,456,4 stars today,Byron; EliahKagan; edward-shen; cruessler; svetli-n
16,esp-rs/esp-hal,https://github.com/esp-rs/esp-hal,no_std Hardware Abstraction Layers for ESP32 microcontrollers,Rust,1863,429,6 stars today,bugadani; bjoernQ; jessebraham; JurajSadel; MabezDev
