Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,MadsLorentzen/ai-job-search,https://github.com/MadsLorentzen/ai-job-search,"AI-powered job application framework built on Claude Code. Fork it, fill in your profile, and let Claude evaluate jobs, tailor CVs, write cover letters, and prepare you for interviews.",TypeScript,19363,5563,"3,716 stars today",MadsLorentzen; claude; ayobamiseun; akhil29897; Yigtwxx
2,wonderwhy-er/DesktopCommanderMCP,https://github.com/wonderwhy-er/DesktopCommanderMCP,"This is MCP server for Claude that gives it terminal control, file system search and diff file editing capabilities",TypeScript,6595,781,185 stars today,wonderwhy-er; serg33v; edgarsskore; claude; dmitry-ottic-ai
3,prisma/prisma,https://github.com/prisma/prisma,"Next-generation ORM for Node.js & TypeScript | PostgreSQL, MySQL, MariaDB, SQL Server, SQLite, MongoDB and CockroachDB",TypeScript,46934,2330,376 stars today,timsuchanek; prisma-bot; Jolg42; renovate; nikolasburk
4,jamiepine/voicebox,https://github.com/jamiepine/voicebox,"The open-source AI voice studio. Clone, dictate, create.",TypeScript,40065,4828,"1,146 stars today",jamiepine; claude; tomasmach; mvanhorn; selop
5,actions/starter-workflows,https://github.com/actions/starter-workflows,Accelerating new GitHub Actions workflows,TypeScript,11808,7163,7 stars today,Phantsure; andymckay; nickfyson; JamesMGreene; mscoutermarsh
6,traycerai/traycer,https://github.com/traycerai/traycer,Traycer: Nerve Center for Agentic Coding,TypeScript,436,55,79 stars today,hdkshingala; anur4ag; tanveergill; AmiteshwarRandhawa; claude
7,langfuse/langfuse,https://github.com/langfuse/langfuse,"🪢 Open source AI engineering platform: LLM evals, observability, metrics, prompt management, playground, datasets. Integrates with OpenTelemetry, LangChain, OpenAI SDK, LiteLLM, and more. 🍊YC W23",TypeScript,30836,3241,94 stars today,marcklingen; maxdeichmann; Steffen911; marliessophie; nimarb
8,modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,Model Context Protocol Servers,TypeScript,88286,11193,58 stars today,olaservo; tadasant; cliffhall; dsp-ant; jspahrsummers
9,Eugeny/tabby,https://github.com/Eugeny/tabby,A terminal for a more modern age,TypeScript,73140,4142,76 stars today,Eugeny; dependabot-preview; allcontributors; dependabot; Clem-Fern
10,can1357/oh-my-pi,https://github.com/can1357/oh-my-pi,"⌥ AI Coding agent for the terminal — hash-anchored edits, optimized tool harness, LSP, Python, browser, subagents, and more",TypeScript,17051,1517,249 stars today,can1357; badlogic; roboomp; metaphorics; oldschoola
11,modelcontextprotocol/inspector,https://github.com/modelcontextprotocol/inspector,Visual testing tool for MCP servers,TypeScript,10328,1403,13 stars today,olaservo; cliffhall; ashwin-ant; jspahrsummers; claude
12,apache/superset,https://github.com/apache/superset,Apache Superset is a Data Visualization and Data Exploration Platform,TypeScript,73757,17847,28 stars today,mistercrunch; dependabot; rusackas; claude; villebro
13,777genius/agent-teams-ai,https://github.com/777genius/agent-teams-ai,"You're the boss, agents are your team. They handle tasks on their own, message each other, and review each other's work. You just watch the kanban board and give high-level commands. Codex/Claude/OpenCode(200+ models, 75+ LLM providers, free models no auth). Build your AI company with multiple teams.",TypeScript,1549,276,17 stars today,777genius; matt1398; claude; sardorb3k
14,TencentCloud/TencentDB-Agent-Memory,https://github.com/TencentCloud/TencentDB-Agent-Memory,"TencentDB Agent Memory delivers fully local long-term memory for AI Agents via a 4-tier progressive pipeline, with zero external API dependencies.",TypeScript,8023,739,581 stars today,Yuntong8888; Maxwell-Code07; Huang10q; YOMXXX; akhilesharora
15,twentyhq/twenty,https://github.com/twentyhq/twenty,"The open alternative to Salesforce, designed for AI.",TypeScript,52696,7896,123 stars today,charlesBochet; github-actions; FelixMalfait; bosiraphael; Weiko
16,makenotion/notion-mcp-server,https://github.com/makenotion/notion-mcp-server,Official Notion MCP Server,TypeScript,4511,596,14 stars today,mquan; ksinder; claude; joshcanhelp; dgageot
17,stablyai/orca,https://github.com/stablyai/orca,Orca is the ADE for working with a fleet of parallel agents. Run any coding agent with your own subscription. Available on desktop and mobile.,TypeScript,15203,1060,868 stars today,nwparker; orca-ide; AmethystLiang; Jinwoo-H; brennanb2025
18,toeverything/AFFiNE,https://github.com/toeverything/AFFiNE,"There can be more than Notion and Miro. AFFiNE(pronounced [ə‘fain]) is a next-gen knowledge base that brings planning, sorting and creating all together. Privacy first, open-source, customizable and ready to use.",TypeScript,70269,5040,49 stars today,himself65; darkskygit; pengx17; JimmFly; EYHN
