Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,LLM inference in C/C++,C++,127559,22924,156 stars today,ggerganov; ngxson; CISC; slaren; JohannesGaessler
2,MaaXYZ/MaaFramework,https://github.com/MaaXYZ/MaaFramework,基于图像识别的自动化黑盒测试框架 | An automation black-box testing framework based on image recognition,C++,4841,553,16 stars today,MistEO; neko-para; moomiji; github-actions; Windsland52
3,ClickHouse/ClickHouse,https://github.com/ClickHouse/ClickHouse,ClickHouse® is a real-time analytics database management system,C++,49751,8930,49 stars today,alexey-milovidov; claude; alesapin; KochetovNicolai; azat
4,LadybirdBrowser/ladybird,https://github.com/LadybirdBrowser/ladybird,Truly independent web browser,C++,66109,3154,35 stars today,awesomekling; trflynn89; AtkinsSJ; linusg; kalenikaliaksandr
5,78/xiaozhi-esp32,https://github.com/78/xiaozhi-esp32,An MCP-based chatbot | 一个基于MCP的聊天机器人,C++,29745,6898,32 stars today,78; Y1hsiaochunnn; laride; txp666; Kevincoooool
6,memgraph/memgraph,https://github.com/memgraph/memgraph,"High-performance open-source in-memory graph database for GraphRAG, AI memory, agentic AI, and real-time graph analytics. Cypher-compatible, built in C++.",C++,4451,274,29 stars today,mferencevic; gitbuda; as51340; Ignition; mattkjames7
7,justcallmekoko/ESP32Marauder,https://github.com/justcallmekoko/ESP32Marauder,A suite of WiFi/Bluetooth offensive and defensive tools for the ESP32,C++,12266,1461,15 stars today,justcallmekoko; H4W9; bmorcelli; trisp3ar; evilpete
8,NVIDIA/cutlass,https://github.com/NVIDIA/cutlass,CUDA Templates and Python DSLs for High-Performance Linear Algebra,C++,10403,2074,7 stars today,hwu36; kerrmudgeon; Junkai-Wu; fengxie; ANIKET-SHIVAM
9,vicinaehq/vicinae,https://github.com/vicinaehq/vicinae,"A focused launcher for your desktop - native, fast, extensible",C++,9436,284,17 stars today,aurelleb; cilginc; rithvikvibhu; dagimg-dot; quadratech188
10,vllm-project/vllm-ascend,https://github.com/vllm-project/vllm-ascend,Community maintained hardware plugin for vLLM on Ascend,C++,2775,2216,4 stars today,wangxiyuan; Potabk; zhangxinyuehfad; MengqingCao; Yikun
11,mattias800/prosper,https://github.com/mattias800/prosper,"A user-space PlayStation 5 to PC compatibility layer for Linux, Windows, and macOS.",C++,136,5,30 stars today,mattias800; claude; codex; github-actions; Sh-TB
12,apple/foundationdb,https://github.com/apple/foundationdb,"FoundationDB - the open source, distributed, transactional key-value store",C++,16687,1565,13 stars today,etschannen; tclinkenbeard-oai; jzhou77; ajbeamon; sfc-gh-tclinkenbeard
13,Open-Cascade-SAS/OCCT,https://github.com/Open-Cascade-SAS/OCCT,"Open CASCADE Technology (OCCT) is an open-source software development platform for 3D CAD, CAM, CAE.",C++,2855,674,6 stars today,gkv311; dpasukhi; a-betenev; alexander-malyshev; msv68
14,argotorg/solidity,https://github.com/argotorg/solidity,"Solidity, the Smart Contract Programming Language",C++,25729,6155,3 stars today,chriseth; axic; cameel; ekpyron; clonker
