Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,LLM inference in C/C++,C++,105583,17185,273 stars today,ggerganov; ngxson; slaren; JohannesGaessler; CISC
2,ikawrakow/ik_llama.cpp,https://github.com/ikawrakow/ik_llama.cpp,llama.cpp fork with additional SOTA quants and improved performance,C++,2140,273,12 stars today,ikawrakow; firecoperana; saood06; Nexesenex; 0cc4m
3,protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,Protocol Buffers - Google's data interchange format,C++,71120,16112,11 stars today,protobuf-github-bot; haberman; protobuf-team-bot; mkruskal-google; xfxyjwf
4,catchorg/Catch2,https://github.com/catchorg/Catch2,"A modern, C++-native, test framework for unit-tests, TDD and BDD - using C++14, C++17 and later (C++11 support is in v2.x branch, and C++03 on the Catch1.x branch)",C++,20330,3218,4 stars today,horenmar; philsquared; ChrisThrasher; claremacrae; JoeyGrajciar
5,esphome/esphome,https://github.com/esphome/esphome,"ESPHome is a system to control your ESP32, ESP8266, BK72xx, RP2040 by simple yet powerful configuration files and control them remotely through Home Automation systems.",C++,10925,5208,7 stars today,jesserockz; bdraco; OttoWinter; dependabot; swoboda1337
6,microsoft/WSL,https://github.com/microsoft/WSL,Windows Subsystem for Linux,C++,31941,1690,14 stars today,OneBlue; benhillis; craigloewen-msft; 49081; jackchammons
7,gabime/spdlog,https://github.com/gabime/spdlog,Fast C++ logging library.,C++,28679,5127,7 stars today,gabime; Gabi120; sylveon; DanielChabrowski; mguludag
8,fmtlib/fmt,https://github.com/fmtlib/fmt,A modern formatting library,C++,23439,2873,3 stars today,vitaut; phprus; alexezeder; DanielaE; jk-jeon
9,zeux/meshoptimizer,https://github.com/zeux/meshoptimizer,Mesh optimization library that makes meshes smaller and faster to render,C++,7587,629,5 stars today,zeux; mosra; corporateshark; dtrebilco; l0calh05t
10,microsoft/onnxruntime,https://github.com/microsoft/onnxruntime,"ONNX Runtime: cross-platform, high performance ML inferencing and training accelerator",C++,19929,3842,14 stars today,fs-eire; skottmckay; edgchen1; tianleiwu; yuslepukhin
11,project-chip/connectedhomeip,https://github.com/project-chip/connectedhomeip,"Matter (formerly Project CHIP) creates more connections between more objects, simplifying development for manufacturers and increasing compatibility for consumers, guided by the Connectivity Standards Alliance.",C++,8710,2379,2 stars today,restyled-commits; bzbarsky-apple; andy31415; vivien-apple; yufengwangca
12,dail8859/NotepadNext,https://github.com/dail8859/NotepadNext,"A cross-platform, reimplementation of Notepad++",C++,13929,847,13 stars today,dail8859; matthewyang204; dependabot; actions-user; hugok79
13,pybind/pybind11,https://github.com/pybind/pybind11,Seamless operability between C++11 and Python,C++,17809,2298,3 stars today,wjakob; henryiii; rwgk; jagerman; pre-commit-ci
14,assimp/assimp,https://github.com/assimp/assimp,The official Open-Asset-Importer-Library Repository. Loads 40+ 3D-file-formats into one unified and clean data structure.,C++,12889,3169,7 stars today,kimkulling; acgessler; turol; RichardTea; matyrr-havok
15,MrNeRF/LichtFeld-Studio,https://github.com/MrNeRF/LichtFeld-Studio,"Train, inspect, edit, automate, and export 3D Gaussian Splatting scenes from a single native application.",C++,2889,302,9 stars today,MrNeRF; github-actions; miriameng; dozeri83; kmeirlaen
16,zxing-cpp/zxing-cpp,https://github.com/zxing-cpp/zxing-cpp,C++ port of ZXing,C++,1836,530,2 stars today,axxel; huycn; gitlost; markusfisch; isning
17,78/xiaozhi-esp32,https://github.com/78/xiaozhi-esp32,An MCP-based chatbot | 一个基于MCP的聊天机器人,C++,25866,5618,40 stars today,78; Y1hsiaochunnn; laride; Kevincoooool; txp666
18,ValveSoftware/Proton,https://github.com/ValveSoftware/Proton,Compatibility tool for Steam Play based on Wine and additional components,C++,31089,1408,37 stars today,aeikum; rbernon; ivyl; alasky17; madewokherd
