Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,ever-co/ever-gauzy,https://github.com/ever-co/ever-gauzy,Ever® Gauzy™ - Open Business Management Platform (ERP/CRM/HRM/ATS/PM) - https://gauzy.co,TypeScript,6748,1035,634 stars today,rahul-rocket; evereq; adkif; claude; AlexTasev
2,melgarafael/DeskcommCRM,https://github.com/melgarafael/DeskcommCRM,"Open-source AI sales OS — self-hosted CRM with native AI agents + WhatsApp (WAHA). Open alternative to Kommo, Octadesk & Intercom for any business that sells by chat. MCP-ready, multi-tenant, LGPD.",TypeScript,2907,688,193 stars today,melgarafael; claude; jmpo; JowaniOrantes; IanCouto
3,danny-avila/LibreChat,https://github.com/danny-avila/LibreChat,"Enhanced ChatGPT Clone: Features Agents, MCP, Skills, DeepSeek, Anthropic, AWS, OpenAI, Responses API, Azure, Groq, o1, GPT-5, Mistral, OpenRouter, Vertex AI, Gemini, Artifacts, AI model switching, message search, Code Interpreter, langchain, DALL-E-3, OpenAPI Actions, Functions, Secure Multi-User Auth, Presets, open-source for self-hosting. Active",TypeScript,43913,9033,254 stars today,danny-avila; berry-13; github-actions; dustinhealy; wtlyu
4,earendil-works/pi,https://github.com/earendil-works/pi,"AI agent toolkit: unified LLM API, agent loop, TUI, coding agent CLI",TypeScript,105852,13301,458 stars today,badlogic; mitsuhiko; davidbrai; cristinaponcela; christianklotz
5,microsoft/AI-Engineering-Coach,https://github.com/microsoft/AI-Engineering-Coach,better agentic engineering,TypeScript,4269,574,92 stars today,dependabot; san360; aymenfurter; Copilot; Copilot
6,nestjs/nest,https://github.com/nestjs/nest,"A progressive Node.js framework for building efficient, scalable, and enterprise-grade server-side applications with TypeScript/JavaScript 🚀",TypeScript,76705,8551,15 stars today,kamilmysliwiec; dependabot; renovate-bot; renovate; micalevisk
7,tech-leads-club/agent-skills,https://github.com/tech-leads-club/agent-skills,"The secure, validated skill registry for professional AI coding agents. Extend Antigravity, Claude Code, Cursor, Copilot and more with absolute confidence.",TypeScript,6302,525,296 stars today,felipfr; edmarpaulino; tech-leads-club-release-bot; waldemarnt; may-santos
8,ItzCrazyKns/Vane,https://github.com/ItzCrazyKns/Vane,Vane is an AI-powered answering engine.,TypeScript,36924,4088,95 stars today,ItzCrazyKns; WanQuanXie; OmarElKadri; sjiampojamarn; cubic-dev-ai
9,immich-app/immich,https://github.com/immich-app/immich,High performance self-hosted photo and video management solution.,TypeScript,114354,6924,132 stars today,alextran1502; jrasm91; renovate; danieldietzler; shenlong-tanwen
10,CodeWithCJ/SparkyFitness,https://github.com/CodeWithCJ/SparkyFitness,"SparkyFitness: Built for Families. Powered by AI. Track food, fitness, water, and health — together.",TypeScript,6048,368,65 stars today,CodeWithCJ; apedley; Dragonk; BryceKrispiess; claude
11,opengeos/GeoLibre,https://github.com/opengeos/GeoLibre,"A lightweight, cloud-native GIS platform for visualizing, exploring, and analyzing geospatial data. It runs in the web browser, on the desktop, on mobile, and inside Jupyter notebooks.",TypeScript,7452,783,42 stars today,giswqs; pre-commit-ci; dependabot; claude; RohithPariki
12,cursor/plugins,https://github.com/cursor/plugins,Cursor plugin specification and official plugins,TypeScript,7926,707,133 stars today,cursoragent; poteto; ericzakariasson; roshansada; maloneya
13,thesysdev/openui,https://github.com/thesysdev/openui,The Open Standard for Generative UI,TypeScript,9398,654,190 stars today,i-subham23; ankit-thesys; abhithesys; AbhinRustagi; rabisg
14,reconurge/flowsint,https://github.com/reconurge/flowsint,"A modern platform for visual, flexible, and extensible graph-based investigations. For cybersecurity analysts and investigators.",TypeScript,8691,1052,327 stars today,dextmorgn; Ghraven; gustavorps; rachit367; z3rodaycve
15,Crosstalk-Solutions/project-nomad,https://github.com/Crosstalk-Solutions/project-nomad,"Project NOMAD is an offline-first knowledge and education server. Wikipedia, thousands of books, courses, maps, and optional local AI, all running on hardware you own with no internet required.",TypeScript,37153,3698,315 stars today,jakeaturner; chriscrosstalk; claude; cosmistack-bot; dependabot
