Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,espressif/esp-idf,https://github.com/espressif/esp-idf,Espressif IoT Development Framework. Official development framework for Espressif SoCs.,C,18840,8442,10 stars today,igrr; projectgus; jack0c; suda-morris; mahavirj
2,php/php-src,https://github.com/php/php-src,The PHP Interpreter,C,40312,8133,9 stars today,dstogov; nikic; weltling; cmb69; iliaal
3,Mbed-TLS/mbedtls,https://github.com/Mbed-TLS/mbedtls,"An open source, portable, easy to use, readable and flexible TLS library, and reference implementation of the PSA Cryptography API. Releases are on a varying cadence, typically around 3 - 6 months between releases.",C,6897,2956,5 stars today,gilles-peskine-arm; mpg; ronald-cron-arm; valeriosetti; daverodgman
4,madler/zlib,https://github.com/madler/zlib,A massively spiffy yet delicately unobtrusive compression library.,C,7041,2837,5 stars today,madler; nmoinvaz; Chi-Iroh; DimitriPapadopoulos; Vollstrecker
5,zephyrproject-rtos/zephyr,https://github.com/zephyrproject-rtos/zephyr,"Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures.",C,16290,9805,13 stars today,nashif; jukkar; galak; gmarull; kartben
6,microsoft/PowerToys,https://github.com/microsoft/PowerToys,Microsoft PowerToys is a collection of utilities that supercharge productivity and customization on Windows,C,137970,8497,34 stars today,crutkas; bao-qian; niels9001; qianlifeng; jaimecbernardo
7,tianocore/edk2,https://github.com/tianocore/edk2,EDK II,C,6205,3245,2 stars today,niruiyu; lzeng14; lgao4; jljusten; mdkinney
8,colbymchenry/codegraph,https://github.com/colbymchenry/codegraph,"Pre-indexed code knowledge graph, auto syncs on code changes, for Claude Code, Codex, Gemini, Cursor, OpenCode, AntiGravity, Kiro, and Hermes Agent — fewer tokens, fewer tool calls, 100% local",C,67698,4303,112 stars today,colbymchenry; claude; github-actions; omonien; ctype-lab
9,stackia/rtp2httpd,https://github.com/stackia/rtp2httpd,"Multicast RTP/RTSP to Unicast HTTP stream converter, with built-in web player, status dashboard, fast channel change support, and more!",C,2009,309,6 stars today,stackia; claude; github-actions; cursoragent; laozhoubuluo
10,openssl/openssl,https://github.com/openssl/openssl,General purpose TLS and crypto library,C,30675,11401,5 stars today,levitte; mattcaswell; dot-asm; paulidale; snhenson
11,DaveGamble/cJSON,https://github.com/DaveGamble/cJSON,Ultralightweight JSON parser in ANSI C,C,12937,3516,6 stars today,FSMaxB; Alanscut; DaveGamble; kbranigan; gatzka
12,aws/s2n-tls,https://github.com/aws/s2n-tls,An implementation of the TLS/SSL protocols,C,4753,798,0 stars today,sam8979; lrstewart; github-merge-queue; colmmacc; raycoll
13,facebook/zstd,https://github.com/facebook/zstd,Zstandard - Fast real-time compression algorithm,C,27600,2564,5 stars today,Cyan4973; terrelln; inikep; felixhandte; stellamplau
14,jqlang/jq,https://github.com/jqlang/jq,Command-line JSON processor,C,35469,1823,4 stars today,stedolan; nicowilliams; itchyny; dtolnay; github-actions
15,pret/pokefirered,https://github.com/pret/pokefirered,Decompilation of Pokémon FireRed/LeafGreen,C,1570,982,1 star today,PikalaxALT; GriffinRichards; jiangzhengwenjz; ghoulslash; garakmon
16,FreeRTOS/FreeRTOS-Kernel,https://github.com/FreeRTOS/FreeRTOS-Kernel,"FreeRTOS kernel files only, submoduled into https://github.com/FreeRTOS/FreeRTOS and various other repos.",C,4430,1600,2 stars today,RichardBarry; aggarg; kar-rahul-aws; chinglee-iot; Skptak
17,micropython/micropython,https://github.com/micropython/micropython,MicroPython - a lean and efficient Python implementation for microcontrollers and constrained systems,C,22007,8940,4 stars today,dpgeorge; pfalcon; jimmo; robert-hh; iabdalkader
18,lcdyk0517/arkos4clone,https://github.com/lcdyk0517/arkos4clone,Bringing ArkOS and dArkOS porting to unsupported RK3326 handheld gaming devices.,C,646,385,2 stars today,lcdyk; lcdyk0517; xunicatt; AeolusUX; leehihi123
19,sumatrapdfreader/sumatrapdf,https://github.com/sumatrapdfreader/sumatrapdf,SumatraPDF reader,C,17372,2020,10 stars today,kjk; zeniko; claude; hethon; userchefo
20,quickjs-ng/quickjs,https://github.com/quickjs-ng/quickjs,"QuickJS, the Next Generation: a mighty JavaScript engine",C,3631,354,11 stars today,saghul; bnoordhuis; chqrlie; bellard; littledivy
21,asterisk/asterisk,https://github.com/asterisk/asterisk,The official Asterisk Project repository.,C,3471,1296,5 stars today,jcolp; russellb; tilghman; rmudgett9125; gtjoseph
22,fluent/fluent-bit,https://github.com/fluent/fluent-bit,"Fast and Lightweight Logs, Metrics and Traces processor for Linux, BSD, OSX and Windows",C,8058,1983,6 stars today,edsiper; cosmo0920; nokute78; pwhelan; leonardo-albertovich
23,libuv/libuv,https://github.com/libuv/libuv,Cross-platform asynchronous I/O,C,27125,3918,0 stars today,bnoordhuis; piscisaureus; saghul; ry; cjihrig
