Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,anthropics/financial-services,https://github.com/anthropics/financial-services,Pas de description,Python,19102,2475,"1,449 stars today",cxyback; manar-ant; mihilmy; tobinsouth; viveknair
2,CloakHQ/CloakBrowser,https://github.com/CloakHQ/CloakBrowser,Stealth Chromium that passes every bot detection test. Drop-in Playwright replacement with source-level fingerprint patches. 30/30 tests passed.,Python,4940,379,496 stars today,Cloak-HQ; evelaa123; Durafen; dependabot; kitiho
3,HKUDS/AI-Trader,https://github.com/HKUDS/AI-Trader,"""AI-Trader: 100% Fully-Automated Agent-Native Trading""",Python,15698,2537,163 stars today,TianyuFan0504; chaohuang-ai; Dennis-yxchen; Hoder-zyf; yuh-yang
4,jundot/omlx,https://github.com/jundot/omlx,LLM inference server with continuous batching & SSD caching for Apple Silicon — managed from the macOS menu bar,Python,13367,1141,185 stars today,jundot; claude; lyonsno; latent-variable; ethannortharc
5,lsdefine/GenericAgent,https://github.com/lsdefine/GenericAgent,"Self-evolving agent: grows skill tree from 3.3K-line seed, achieving full system control with 6x less token consumption",Python,10599,1200,174 stars today,lsdefine; ViviqwerAsd; shenhao-stu; JinyiHan99; AspasZhang
6,datawhalechina/hello-agents,https://github.com/datawhalechina/hello-agents,📚 《从零开始构建智能体》——从零开始的智能体原理与实践教程,Python,46771,5627,748 stars today,jjyaoao; HeteroCat; JJasonSun; fengju0213; Tasselszcx
7,NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,The agent that grows with you,Python,142827,22281,"1,496 stars today",teknium1; OutThisLife; kshitijk4poor; 0xbyt4; claude
8,ZhuLinsen/daily_stock_analysis,https://github.com/ZhuLinsen/daily_stock_analysis,LLM驱动的 A/H/美股智能分析：多数据源行情 + 实时新闻 + LLM决策仪表盘 + 多渠道推送，零成本定时运行，纯白嫖. LLM-powered stock analysis system for A/H/US markets.,Python,35034,34664,141 stars today,ZhuLinsen; massif-01; freesme; adminlove520; Activer007
9,vllm-project/vllm-ascend,https://github.com/vllm-project/vllm-ascend,Community maintained hardware plugin for vLLM on Ascend,Python,2056,1185,4 stars today,wangxiyuan; Potabk; MengqingCao; Yikun; zhangxinyuehfad
10,MemoriLabs/Memori,https://github.com/MemoriLabs/Memori,"Memori is agent-native memory infrastructure. A LLM-agnostic layer that turns agent execution and conversation into structured, persistent state for production systems.",Python,14262,1967,62 stars today,harshalmore31; Boburmirzo; devwdave; rpkruse; mcmontero
11,zai-org/GLM-OCR,https://github.com/zai-org/GLM-OCR,GLM-OCR: Accurate × Fast × Comprehensive,Python,6448,595,69 stars today,Ataraxy33; JaredforReal; zRzRzRzRzRzRzR; VooDisss; ShayDuane
12,anthropics/skills,https://github.com/anthropics/skills,Public repository for Agent Skills,Python,131746,15518,509 stars today,klazuka; claude; ericharmeling; rlancemartin; maheshmurag
13,open-webui/open-webui,https://github.com/open-webui/open-webui,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)",Python,136517,19440,174 stars today,tjbck; Classic298; silentoplayz; cheahjs; ShirasawaSama
14,ultralytics/ultralytics,https://github.com/ultralytics/ultralytics,Ultralytics YOLO 🚀,Python,56977,10944,37 stars today,glenn-jocher; UltralyticsAssistant; Laughing-q; RizwanMunawar; pre-commit-ci
15,OpenTalker/SadTalker,https://github.com/OpenTalker/SadTalker,[CVPR 2023] SadTalker：Learning Realistic 3D Motion Coefficients for Stylized Audio-Driven Single Image Talking Face Animation,Python,13793,2627,2 stars today,vinthony; Winfredy; fakerybakery; johndpope; thegenerativegeneration
