Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,Protocol Buffers - Google's data interchange format,C++,71293,16142,7 stars today,protobuf-github-bot; haberman; protobuf-team-bot; mkruskal-google; xfxyjwf
2,o3de/o3de,https://github.com/o3de/o3de,"Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators to build AAA games, cinema-quality 3D worlds, and high-fidelity simulations without any fees or commercial obligations.",C++,9224,2488,28 stars today,gadams3; cgalvan; amznestebanpapp; AMZN-daimini; AMZN-Gene
3,OpenTenBase/TXSQL,https://github.com/OpenTenBase/TXSQL,Pas de description,C++,238,181,0 stars today,blaudden; zmur; gkodinov; vasild; marcalff
4,ROCm/rocm-systems,https://github.com/ROCm/rocm-systems,super repo for rocm systems projects,C++,388,253,2 stars today,lmoriche; kiritigowda; marifamd; dgaliffiAMD; AryanSalmanpour
5,awalol/DS5Dongle,https://github.com/awalol/DS5Dongle,Turn your Pico 2 W into a DualSense 5 dongle.,C++,1532,107,33 stars today,awalol; TerryFrench; dereckhall; claude; Copilot
6,Alexays/Waybar,https://github.com/Alexays/Waybar,Highly customizable Wayland bar for Sway and Wlroots based compositors. ✌️ 🎉,C++,11396,1082,13 stars today,Alexays; alebastr; khaneliman; LukashonakV; Anakael
7,OpenRCT2/OpenRCT2,https://github.com/OpenRCT2/OpenRCT2,An open source re-implementation of RollerCoaster Tycoon 2 🎢,C++,15736,1801,56 stars today,IntelOrca; Gymnasiast; duncanspumpkin; janisozaur; ZehMatt
8,tenstorrent/tt-metal,https://github.com/tenstorrent/tt-metal,"🤘 TT-NN operator library, and TT-Metalium low level kernel programming model.",C++,1477,468,0 stars today,github-merge-queue; tt-rkim; tt-aho; blozano-tt; abhullar-tt
9,k2-fsa/sherpa-onnx,https://github.com/k2-fsa/sherpa-onnx,"Speech-to-text, text-to-speech, speaker diarization, speech enhancement, source separation, and VAD using next-gen Kaldi with onnxruntime without Internet connection. Support embedded systems, Android, iOS, HarmonyOS, Raspberry Pi, RISC-V, RK NPU, Axera NPU, Ascend NPU, x86_64 servers, websocket server/client, support 12 programming languages",C++,12589,1437,14 stars today,csukuangfj; pkufool; Wasser1462; ZhaoChaoqun; pingfengluo
10,wazuh/wazuh,https://github.com/wazuh/wazuh,Wazuh - The Open Source Security Platform. Unified XDR and SIEM protection for endpoints and cloud workloads.,C++,15748,2330,12 stars today,vikman90; Dwordcito; TomasTurina; chemamartinez; juliancnn
11,organicmaps/organicmaps,https://github.com/organicmaps/organicmaps,"🍃 Organic Maps is a free Android & iOS offline maps app for more than 6M travelers, tourists, hikers, and cyclists. It uses crowd-sourced OpenStreetMap data and is developed with love by the community. No ads, no tracking, no data collection, no crapware. Please donate to support the development!",C++,14170,1443,10 stars today,biodranik; vng; bykoianko; igrechuhin; alexzatsepin
12,vllm-project/vllm-ascend,https://github.com/vllm-project/vllm-ascend,Community maintained hardware plugin for vLLM on Ascend,C++,2160,1302,3 stars today,wangxiyuan; Potabk; MengqingCao; Yikun; zhangxinyuehfad
13,notepad-plus-plus/notepad-plus-plus,https://github.com/notepad-plus-plus/notepad-plus-plus,Notepad++ official repository,C++,28188,5234,10 stars today,donho; ozone10; xomx; SinghRajenM; chcg
14,deepseek-ai/FlashMLA,https://github.com/deepseek-ai/FlashMLA,FlashMLA: Efficient Multi-head Latent Attention Kernels,C++,12675,1045,1 star today,beginlner; interestingLSY; uchihatmtkinu; sijiac; dianzhangchen
15,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone,C++,195315,75329,13 stars today,tensorflower-gardener; ezhulenev; akuegel; hawkinsp; mihaimaruseac
16,project-chip/connectedhomeip,https://github.com/project-chip/connectedhomeip,"Matter (formerly Project CHIP) creates more connections between more objects, simplifying development for manufacturers and increasing compatibility for consumers, guided by the Connectivity Standards Alliance.",C++,8779,2408,2 stars today,restyled-commits; bzbarsky-apple; andy31415; vivien-apple; yufengwangca
17,microsoft/Foundry-Local,https://github.com/microsoft/Foundry-Local,Pas de description,C++,2313,315,4 stars today,prathikr; MaanavD; baijumeswani; Copilot; Copilot
18,facebookresearch/faiss,https://github.com/facebookresearch/faiss,A library for efficient similarity search and clustering of dense vectors.,C++,40164,4401,11 stars today,facebook-github-bot; mdouze; meta-codesync; algoriddle; beauby
