Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,"100+ AI Agent & RAG apps you can actually run — clone, customize, ship.",Python,120915,17888,"1,106 stars today",Shubhamsaboo; Madhuvod; claude; onestardao; libw0430
2,virattt/ai-hedge-fund,https://github.com/virattt/ai-hedge-fund,An AI Hedge Fund Team,Python,61907,10916,109 stars today,virattt; arsaboo; KittatamSaisaard; jsemldonado; claude
3,HKUDS/Vibe-Trading,https://github.com/HKUDS/Vibe-Trading,"""Vibe-Trading: Your Personal Trading Agent""",Python,22917,3935,"1,256 stars today",warren618; shadowinlife; claude; Elfsa-Miranda; Teerapat-Vatpitak
4,Graphify-Labs/graphify,https://github.com/Graphify-Labs/graphify,"AI coding assistant skill (Claude Code, Codex, OpenCode, Cursor, Gemini CLI, and more). Turn any folder of code, SQL schemas, R scripts, shell scripts, docs, papers, images, or videos into a queryable knowledge graph. App code + database schema + infrastructure in one graph.",Python,86491,8507,"1,851 stars today",safishamsi; claude; TPAteeq; Synvoya; oleksii-tumanov
5,cactus-compute/needle,https://github.com/cactus-compute/needle,26m function call model that runs on incredibly small devices,Python,3116,231,92 stars today,HenryNdubuaku; ncylich; kar-m; justinl66; jakmro
6,github/spec-kit,https://github.com/github/spec-kit,💫 Toolkit to help you get started with Spec-Driven Development,Python,121298,10785,753 stars today,localden; mnriem; Copilot; claude; github-actions
7,PrimeIntellect-ai/verifiers,https://github.com/PrimeIntellect-ai/verifiers,Our library for RL environments + evals,Python,4355,595,15 stars today,willccbb; mikasenghaas; claude; snimu; xeophon
8,Arindam200/awesome-ai-apps,https://github.com/Arindam200/awesome-ai-apps,"A collection of projects showcasing RAG, agents, workflows, and other AI use cases",Python,13146,1696,21 stars today,Arindam200; shivaylamba; Astrodevil; 3rdsonx; coderabbitai
9,3b1b/manim,https://github.com/3b1b/manim,Animation engine for explanatory math videos,Python,88545,7385,60 stars today,3b1b; TonyCrane; bhbr; YishiMichael; eulertour
10,Vexa-ai/vexa,https://github.com/Vexa-ai/vexa,"Open-source meeting transcription API for Google Meet, Microsoft Teams & Zoom. Auto-join bots, real-time WebSocket transcripts, MCP server for AI agents. Self-host or use hosted SaaS.",Python,2532,376,23 stars today,DmitriyG228; claude; untilhamza; Muzamil-Ahmed; cursoragent
11,p-e-w/heretic,https://github.com/p-e-w/heretic,Fully automatic censorship removal for language models,Python,26306,2864,95 stars today,p-e-w; dependabot; Vinay-Umrethe; anrp; spikymoth
12,PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Prefect is a workflow orchestration framework for building resilient data pipelines in Python.,Python,23378,2410,51 stars today,zanieb; desertaxle; pleek91; zzstoatzz; cicdw
13,smicallef/spiderfoot,https://github.com/smicallef/spiderfoot,SpiderFoot automates OSINT for threat intelligence and mapping your attack surface.,Python,19658,3211,51 stars today,smicallef; bcoles; krishnasism; amrawadk; leotrubach
14,EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,📚 Freely available programming books,Python,392120,66525,138 stars today,vhf; eshellman; davorpa; MHM5000; kadhirash
15,microsoft/markitdown,https://github.com/microsoft/markitdown,Python tool for converting files and office documents to Markdown.,Python,165987,11881,507 stars today,afourney; gagb; sugatoray; PetrAPConsulting; l-lumin
16,NVlabs/FoundationPose,https://github.com/NVlabs/FoundationPose,[CVPR 2024 Highlight] FoundationPose: Unified 6D Pose Estimation and Tracking of Novel Objects,Python,3406,507,8 stars today,wenbowen123; JWRoboticsVision; richardrl; SajjadPSavoji; MichaelRazum
17,kangarooking/cangjie-skill,https://github.com/kangarooking/cangjie-skill,把书、长视频、播客等高价值内容蒸馏成可执行的 Agent Skills,Python,2945,449,145 stars today,kangarookingluohm; claude; github-actions; kangarooking; shenqistart
18,PostHog/posthog,https://github.com/PostHog/posthog,"🦔 PostHog is an all-in-one developer platform for building successful products. We offer product analytics, web analytics, session replay, error tracking, feature flags, experimentation, surveys, data warehouse, a CDP, and an AI product assistant to help debug your code, ship features faster, and keep all your usage and customer data in one stack.",Python,35519,2968,37 stars today,github-actions; pauldambra; Twixes; mariusandra; claude
19,google/skills,https://github.com/google/skills,Agent Skills for Google products and technologies,Python,14800,1137,153 stars today,cloud-ix-copybara; holtskinner; jsondai; martinvarelaj
