Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,google/flatbuffers,https://github.com/google/flatbuffers,FlatBuffers: Memory Efficient Serialization Library,C++,26363,3624,17 stars today,dbaileychess; aardappel; vglavnyy; rw; mustiikhalil
2,google/googletest,https://github.com/google/googletest,GoogleTest - Google Testing and Mocking Framework,C++,38941,10848,9 stars today,gennadiycivil; derekmauro; kuzkry; copybara-github
3,grpc/grpc,https://github.com/grpc/grpc,"C++ based gRPC (C++, Python, Ruby, Objective-C, PHP, C#)",C++,45231,11362,3 stars today,ctiller; jtattermusch; markdroth; vjpai; yashykt
4,duckdb/duckdb,https://github.com/duckdb/duckdb,DuckDB is an analytical in-process SQL database management system,C++,40477,3589,33 stars today,Mytherin; Tishj; pdet; hannes; taniabogatsch
5,facebookresearch/faiss,https://github.com/facebookresearch/faiss,A library for efficient similarity search and clustering of dense vectors.,C++,40779,4499,8 stars today,facebook-github-bot; mdouze; meta-codesync; algoriddle; beauby
6,opencv/opencv,https://github.com/opencv/opencv,Open Source Computer Vision Library,C++,90528,56972,19 stars today,alalek; asmorkalov; vpisarev; mshabunin; ilya-lavrenov
7,nlohmann/json,https://github.com/nlohmann/json,JSON for Modern C++,C++,50414,7468,10 stars today,nlohmann; dependabot; theodelrieu; falbrechtskirchinger; Teemperor
8,flyinghead/flycast,https://github.com/flyinghead/flycast,"Flycast is a multiplatform Sega Dreamcast, Naomi, Naomi 2 and Atomiswave emulator",C++,2470,312,10 stars today,flyinghead; AbandonedCart; scribam; Holzhaus; skmp
9,jrouwe/JoltPhysics,https://github.com/jrouwe/JoltPhysics,A multi core friendly rigid body physics and collision detection library. Written in C++. Suitable for games and VR applications. Used by Horizon Forbidden West and Death Stranding 2.,C++,11395,967,9 stars today,jrouwe; mihe; dependabot; stephengold; SirLynix
10,ai-dynamo/nixl,https://github.com/ai-dynamo/nixl,NVIDIA Inference Xfer Library (NIXL),C++,1203,411,4 stars today,aranadive; ovidiusm; mkhazraee; Alexey-Rivkin; ColinNV
11,ROCm/rocm-systems,https://github.com/ROCm/rocm-systems,super repo for rocm systems projects,C++,465,356,2 stars today,lmoriche; marifamd; kiritigowda; dgaliffiAMD; AryanSalmanpour
12,gabime/spdlog,https://github.com/gabime/spdlog,Fast C++ logging library.,C++,29507,5390,10 stars today,gabime; Gabi120; sylveon; DanielChabrowski; mguludag
13,protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,Protocol Buffers - Google's data interchange format,C++,71748,16234,9 stars today,protobuf-github-bot; haberman; protobuf-team-bot; mkruskal-google; xfxyjwf
14,simdjson/simdjson,https://github.com/simdjson/simdjson,"Parsing gigabytes of JSON per second : used by Facebook/Meta Velox, the Node.js runtime, ClickHouse, WatermelonDB, Apache Doris, Milvus, StarRocks",C++,24164,1274,3 stars today,lemire; jkeiser; geofflangdale; pauldreik; FranciscoThiesen
15,gcc-mirror/gcc,https://github.com/gcc-mirror/gcc,Pas de description,C++,11175,4812,8 stars today,jakubjelinek; rguenth; jwakely; jicama; ebotcazou
16,wesnoth/wesnoth,https://github.com/wesnoth/wesnoth,"An open source, turn-based strategy game with a high fantasy theme.",C++,6838,1228,4 stars today,Vultraz; ivanovic; mordante; irydacea; eric-s-raymond
17,shadps4-emu/shadPS4,https://github.com/shadps4-emu/shadPS4,"PlayStation 4 emulator for Windows, Linux, macOS and FreeBSD written in C++",C++,32587,2449,20 stars today,georgemoralis; squidbus; StevenMiller123; raphaelthegreat; psucien
18,ocornut/imgui,https://github.com/ocornut/imgui,Dear ImGui: Bloat-free Graphical User interface for C++ with minimal dependencies,C++,75759,12019,23 stars today,ocornut; rokups; thedmd; cfillion; bkaradzic
19,microsoft/WSL,https://github.com/microsoft/WSL,Windows Subsystem for Linux,C++,33461,1807,14 stars today,OneBlue; benhillis; Copilot; 49081; craigloewen-msft
20,apache/brpc,https://github.com/apache/brpc,"brpc is an Industrial-grade RPC framework using C++ Language, which is often used in high performance system such as Search, Storage, Machine learning, Advertisement, Recommendation etc. ""brpc"" means ""better RPC"".",C++,17586,4135,1 star today,jamesge; zyearn; chenBright; wwbmmm; TousakaRin
