Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,tinyhumansai/openhuman,https://github.com/tinyhumansai/openhuman,"Your Personal AI super intelligence. A brain that builds a local-first memory of your life, a fantastic orchestrator of agent fleets and workflows, and a deep researcher.",Rust,38364,3769,525 stars today,senamakel; medullabot; graycyrus; claude; M3gA-Mind
2,max-sixty/worktrunk,https://github.com/max-sixty/worktrunk,"Worktrunk is a CLI for Git worktree management, designed for parallel AI agent workflows",Rust,6675,239,44 stars today,max-sixty; claude; worktrunk-bot; dependabot; github-actions
3,dani-garcia/vaultwarden,https://github.com/dani-garcia/vaultwarden,"Unofficial Bitwarden compatible server written in Rust, formerly known as bitwarden_rs",Rust,66330,3157,71 stars today,dani-garcia; BlackDex; jjlin; mprasil; stefan0xC
4,RizRiyz/luvus,https://github.com/RizRiyz/luvus,Mission control for your AI agents,Rust,468,27,97 stars today,RizRiyz; Alex-Blanes; claude; ngurajeka; r17x
5,nwiizo/nippo,https://github.com/nwiizo/nippo,日報管理リポジトリ,Rust,140,10,16 stars today,nwiizo; claude
6,rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,"An open-source remote desktop application designed for self-hosting, as an alternative to TeamViewer.",Rust,121934,18675,111 stars today,rustdesk; fufesou; 21pages; Kingtous; Heap-Hop
7,HakanSeven12/OpenCADStudio,https://github.com/HakanSeven12/OpenCADStudio,"A CAD application built with Rust — 2D/3D drawing, DWG/DXF support, and GPU-accelerated rendering",Rust,936,111,13 stars today,HakanSeven12; claude; ramox81; KarimJerbi; gianlucafiore
8,tokio-rs/axum,https://github.com/tokio-rs/axum,HTTP routing and request-handling library for Rust that focuses on ergonomics and modularity,Rust,26966,1467,14 stars today,davidpdrsn; jplatte; tottoto; mladedav; yanns
9,leookun/cursor-byok,https://github.com/leookun/cursor-byok,cursor-byok is a local implementation of Cursor's backend. https://github.com/leookun/cursor-byok/releases,Rust,2555,396,36 stars today,leookun; Sxuan-Coder; DedSecer; cursoragent; philau2512
10,gleam-lang/gleam,https://github.com/gleam-lang/gleam,"⭐️ A friendly language for building type-safe, scalable systems!",Rust,21827,1010,17 stars today,lpil; giacomocavalieri; GearsDatapacks; tomwhatmore; Acepie
11,xingkongliang/skills-manager,https://github.com/xingkongliang/skills-manager,"A lightweight desktop app to manage, sync, and organize AI agent skills across 50+ coding tools — Claude Code, Codex, Cursor, Copilot, Gemini CLI, and more.",Rust,4121,355,45 stars today,xingkongliang; claude; enshulv; whereissam; beyond-infra
12,cachix/devenv,https://github.com/cachix/devenv,"Fast, Declarative, Reproducible, and Composable Developer Environments using Nix",Rust,7414,549,42 stars today,domenkozar; sandydoo; claude; github-actions; bobvanderlinden
13,agentgateway/agentgateway,https://github.com/agentgateway/agentgateway,Next Generation Agentic Proxy for AI Agents and MCP servers,Rust,4570,771,25 stars today,howardjohn; EItanya; npolshakova; markuskobler; timflannagan
14,zhom/donutbrowser,https://github.com/zhom/donutbrowser,Simple Yet Powerful Anti-Detect Browser 🍩,Rust,3724,404,12 stars today,zhom; dependabot; github-actions; xenos1337; kalinichaa
15,nushell/nushell,https://github.com/nushell/nushell,A new type of shell,Rust,40351,2223,6 stars today,sophiajt; fdncred; sholderbach; dependabot; andrasio
16,Xoshbin/asyar,https://github.com/Xoshbin/asyar,The power of Raycast. The speed of Alfred. Privacy by design.,Rust,537,34,42 stars today,Xoshbin; AllDaGearNoIdea; claude; dependabot; dose-dot-dev
17,influxdata/influxdb,https://github.com/influxdata/influxdb,"Scalable datastore for metrics, events, and real-time analytics",Rust,31722,3717,5 stars today,kodiakhq; alexpaxton; 121watts; carols10cents; otoolep
