Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,asgeirtj/system_prompts_leaks,https://github.com/asgeirtj/system_prompts_leaks,"Extracted system prompts from Anthropic - Claude Fable 5, Opus 4.8, Claude Code, Claude Design. OpenAI - ChatGPT 5.5 Thinking, GPT 5.5 Instant, Codex. Google - Gemini 3.5 Flash, 3.1 Pro, Antigravity. xAI - Grok, Cursor, Copilot, VS Code, Perplexity, and more. Updated regularly.",JavaScript,42229,7013,190 stars today,asgeirtj; claude; awrreny; anonymous619259; lcebot
2,nodejs/node,https://github.com/nodejs/node,Node.js JavaScript runtime ✨🐢🚀✨,JavaScript,117775,35685,19 stars today,Trott; ry; bnoordhuis; addaleax; isaacs
3,prettier/prettier,https://github.com/prettier/prettier,Prettier is an opinionated code formatter.,JavaScript,52020,4742,12 stars today,fisker; dependabot; renovate; vjeux; sosukesuzuki
4,webpack/webpack,https://github.com/webpack/webpack,"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff.",JavaScript,65815,9352,11 stars today,sokra; alexander-akait; dependabot-preview; TheLarkInn; dependabot
5,eslint/eslint,https://github.com/eslint/eslint,Find and fix problems in your JavaScript code.,JavaScript,27332,5023,13 stars today,nzakas; mdjermanovic; ilyavolodin; not-an-aardvark; mysticatea
6,sigalor/whatsapp-web-reveng,https://github.com/sigalor/whatsapp-web-reveng,Reverse engineering WhatsApp Web.,JavaScript,6478,844,12 stars today,sigalor; quad; dependabot; tulir; tiwarishrijan
7,technomancer702/nodecast-tv,https://github.com/technomancer702/nodecast-tv,"A self-hosted web application that lets you stream Live TV, Movies, and Series from your Xtream Codes or M3U provider directly in your browser. It's built with performance in mind and handles large libraries smoothly.",JavaScript,1345,183,47 stars today,technomancer702; yurividal; nebula-it; avandeweghe; baksten
8,eyaltoledano/claude-task-master,https://github.com/eyaltoledano/claude-task-master,"An AI-powered task-management system you can drop into Cursor, Lovable, Windsurf, Roo, and others.",JavaScript,27519,2580,48 stars today,Crunchyman-ralph; eyaltoledano; github-actions; joedanz; ben-vargas
9,NARKOZ/hacker-scripts,https://github.com/NARKOZ/hacker-scripts,Based on a true story,JavaScript,49726,6662,15 stars today,NARKOZ; robaganrab; kashyapakshay; alexesprit; carlosdp
10,gorhill/uBlock,https://github.com/gorhill/uBlock,uBlock Origin - An efficient blocker for Chromium and Firefox. Fast and lean.,JavaScript,65484,4167,30 stars today,gorhill; Deathamns; chrisaljoudi; mjethani; AlexVallat
11,TryGhost/Ghost,https://github.com/TryGhost/Ghost,"Independent technology for modern publishing, memberships, subscriptions and newsletters.",JavaScript,53941,11715,26 stars today,ErisDS; kevinansfield; renovate-bot; renovate; daniellockyer
12,handsontable/handsontable,https://github.com/handsontable/handsontable,"JavaScript Data Grid / Data Table with a Spreadsheet Look & Feel. Works with React, Angular, and Vue. Supported by the Handsontable team ⚡",JavaScript,21933,3190,0 stars today,warpech; jansiegel; budnix; wszymanski; psmolenski
13,Anil-matcha/Open-Generative-AI,https://github.com/Anil-matcha/Open-Generative-AI,"Open-source alternative to AI video platforms — Free AI image & video generation studio with 200+ models (Flux, Midjourney, Kling, Sora, Veo). No content filters. Self-hosted, MIT licensed.",JavaScript,19457,3326,219 stars today,Anil-matcha; claude; jaiprasad04; NgoQuocViet2001; taxvui
14,js-org/js.org,https://github.com/js-org/js.org,Dedicated to JavaScript and its awesome community since 2015,JavaScript,5771,4553,1 star today,indus; MattIPv4; kiron0; tannerlinsley; egoist
15,fanmingming/live,https://github.com/fanmingming/live,✯ 可直连访问的电视/广播图标库与相关工具项目 ✯ 🔕 永久免费 直连访问 完整开源 不断完善的台标 支持IPv4/IPv6双栈访问 🔕,JavaScript,28141,4206,13 stars today,github-actions; fanmingming; SeastLeePro; JeremyQian001; sln162
16,sohzm/cheating-daddy,https://github.com/sohzm/cheating-daddy,a free and opensource app that lets you gain an unfair advantage,JavaScript,5361,921,5 stars today,sohzm; byigitt; sandys; claude; ManojINaik
17,aandrew-me/ytDownloader,https://github.com/aandrew-me/ytDownloader,Desktop App for downloading Videos and Audios from hundreds of sites,JavaScript,9762,880,26 stars today,aandrew-me; albanobattistella; Muxutruk2; claude; soredake
