Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,tt-a1i/archify,https://github.com/tt-a1i/archify,"Agent skill for beautiful, verifiable architecture, workflow, sequence, data-flow, and lifecycle diagrams—self-contained HTML with motion and crisp export.",JavaScript,39377,2513,"3,991 stars today",tt-a1i; sunsunsun-java; YunyueLi; cursoragent; claude
2,affaan-m/ECC,https://github.com/affaan-m/ECC,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.",JavaScript,245329,37058,512 stars today,affaan-m; haelyra; claude; pangerlkr; dependabot
3,santifer/career-ops,https://github.com/santifer/career-ops,"Open-source AI job search: scan job portals, evaluate listings into a structured A-H report with a global 1-5 score, tailor your CV, track applications — runs locally in your AI coding CLI (Claude Code, Codex, OpenCode, Antigravity…)",JavaScript,69638,13172,182 stars today,santifer; claude; abankar1; Schlaflied; careerops-ledger
4,fastify/fastify,https://github.com/fastify/fastify,"Fast and low overhead web framework, for Node.js",JavaScript,37072,3014,10 stars today,mcollina; delvedor; Eomm; Fdawgs; dependabot
5,pbakaus/impeccable,https://github.com/pbakaus/impeccable,The design language that makes your AI harness better at design.,JavaScript,64424,3974,322 stars today,pbakaus; claude; github-actions; abdulwahabone; cursoragent
6,laoma2053/awesome-zhuiju-free,https://github.com/laoma2053/awesome-zhuiju-free,免费无广告的追剧资源指南，人工精选资源、每天检测资源有效性。收录在线影视、影视APP、网盘搜索、磁力BT、字幕、TVBox / 影视仓空壳软件/配置地址、IPTV直播源、会员拼团、影视相关开源项目。开源，社区共同维护。,JavaScript,7592,433,920 stars today,github-actions; laoma2053
7,bigskysoftware/htmx,https://github.com/bigskysoftware/htmx,</> htmx - high power tools for HTML,JavaScript,49277,1646,29 stars today,1cg; bencroker; benpate; alexpetros; Telroshan
8,darkzOGx/youtube-automation-agent,https://github.com/darkzOGx/youtube-automation-agent,"🎬 Fully automated YouTube channel management with AI agents. Creates, optimizes & publishes videos 24/7. Works with FREE Gemini API or OpenAI. No coding required!",JavaScript,2974,838,73 stars today,claude; darkzOGx
9,DsThakurRawat/Backend-from-first-Principle,https://github.com/DsThakurRawat/Backend-from-first-Principle,Pas de description,JavaScript,323,57,23 stars today,DsThakurRawat; claude; jainsparsh5; abhishek-bhatkar; yogeshsingh63
10,coreyhaines31/marketingskills,https://github.com/coreyhaines31/marketingskills,"Marketing skills for Claude Code and AI agents. CRO, copywriting, SEO, analytics, and growth engineering.",JavaScript,46347,7234,154 stars today,coreyhaines31; claude; njcameron; Jiliac; basseko
11,SillyTavern/SillyTavern,https://github.com/SillyTavern/SillyTavern,LLM Frontend for Power Users.,JavaScript,32891,6207,49 stars today,Cohee1207; Wolfsblvt; RossAscends; LenAnderson; valadaptive
12,Neet-Nestor/Telegram-Media-Downloader,https://github.com/Neet-Nestor/Telegram-Media-Downloader,A script allowing you to download images and videos from Telegram web even if the group restricts downloading.,JavaScript,5403,536,88 stars today,Neet-Nestor; EuropaYou; hrukalive; Flame239; Blueberryy
13,webpack/webpack,https://github.com/webpack/webpack,"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff.",JavaScript,65963,9548,1 star today,sokra; alexander-akait; dependabot-preview; dependabot; TheLarkInn
14,addyosmani/agent-skills,https://github.com/addyosmani/agent-skills,Production-grade engineering skills for AI coding agents.,JavaScript,91238,9751,207 stars today,addyosmani; nucliweb; federicobartoli; claude; Liyuk
15,prettier/prettier,https://github.com/prettier/prettier,Prettier is an opinionated code formatter.,JavaScript,52228,5001,8 stars today,fisker; dependabot; renovate; vjeux; sosukesuzuki
16,microsoft/monaco-editor,https://github.com/microsoft/monaco-editor,A browser based code editor,JavaScript,46632,4116,10 stars today,alexdima; hediet; dependabot; aeschli; rebornix
17,asgeirtj/system_prompts_leaks,https://github.com/asgeirtj/system_prompts_leaks,"Extracted system prompts from Anthropic - Claude Fable 5, Opus 5, Claude Design, Claude Code. OpenAI - ChatGPT GPT-5.6-Sol, Codex. Google - Gemini 3.5 Flash, 3.1 Pro, Antigravity. xAI - Grok, Cursor, Copilot, VS Code, Perplexity, and more. Updated regularly.",JavaScript,63900,10496,53 stars today,asgeirtj; claude; awrreny; anonymous619259; lcebot
18,CodeWithHarry/Sigma-Web-Dev-Course,https://github.com/CodeWithHarry/Sigma-Web-Dev-Course,Source Code for Sigma Web Development Course,JavaScript,11861,3086,8 stars today,CodeWithHarry; it-is-Aman
