Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,aaif-goose/goose,https://github.com/aaif-goose/goose,"an open source, extensible AI agent that goes beyond code suggestions - install, execute, edit, and test with any LLM",Rust,46532,4857,128 stars today,blackgirlbytes; angiejones; dianed-square; michaelneale; alexhancock
2,microsoft/mxc,https://github.com/microsoft/mxc,"Policy-driven, layered isolation and containment",Rust,371,15,100 stars today,Copilot; MGudgin; SohamDas2021; danbugs; bbonaby
3,rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,"An open-source remote desktop application designed for self-hosting, as an alternative to TeamViewer.",Rust,115588,17452,107 stars today,rustdesk; fufesou; 21pages; Kingtous; Heap-Hop
4,openai/codex,https://github.com/openai/codex,Lightweight coding agent that runs in your terminal,Rust,88736,13032,346 stars today,bolinfest; jif-oai; aibrahim-oai; pakrym-oai; etraut-openai
5,rust-lang/rust,https://github.com/rust-lang/rust,Empowering everyone to build reliable and efficient software.,Rust,113424,15077,85 stars today,bors; matthiaskrgr; RalfJung; GuillaumeGomez; matklad
6,farion1231/cc-switch,https://github.com/farion1231/cc-switch,"A cross-platform desktop All-in-One assistant for Claude Code, Codex, OpenCode, OpenClaw, Gemini CLI & Hermes Agent. Only official website: ccswitch.io",Rust,91887,5995,"1,169 stars today",farion1231; yovinchen; claude; TinsFox; makoMakoGo
7,vercel-labs/agent-browser,https://github.com/vercel-labs/agent-browser,Browser automation CLI for AI agents,Rust,35248,2222,102 stars today,ctate; github-actions; claude; hyunjinee; jin-2-kakaoent
8,ogulcancelik/herdr,https://github.com/ogulcancelik/herdr,agent multiplexer that lives in your terminal.,Rust,4324,262,216 stars today,ogulcancelik; github-actions; kangal-bot; Golden-Pigeon; othavioquiliao
9,raphamorim/rio,https://github.com/raphamorim/rio,A hardware-accelerated GPU terminal emulator focusing to run in desktops and browsers.,Rust,6893,291,8 stars today,raphamorim; github-actions; orhun; TornaxO7; hougesen
10,uutils/coreutils,https://github.com/uutils/coreutils,Cross-platform Rust rewrite of the GNU coreutils,Rust,23462,1885,55 stars today,sylvestre; cakebaker; tertsdiepraam; renovate; rivy
11,xingkongliang/skills-manager,https://github.com/xingkongliang/skills-manager,"A lightweight desktop app to manage, sync, and organize AI agent skills across 15+ coding tools — Cursor, Claude Code, Codex, Copilot, and more.",Rust,1935,171,35 stars today,xingkongliang; claude; enshulv; whereissam; beyond-infra
12,NVIDIA/OpenShell,https://github.com/NVIDIA/OpenShell,"OpenShell is the safe, private runtime for autonomous AI agents.",Rust,6780,806,77 stars today,drew; johntmyers; pimlock; miyoungc; kirit93
13,zeroclaw-labs/zeroclaw,https://github.com/zeroclaw-labs/zeroclaw,"Fast, small, and fully autonomous AI personal assistant infrastructure, any OS, any platform — deploy anywhere, swap anything 🦀",Rust,31751,4688,35 stars today,theonlyhennygod; claude; chumyin; Audacity88
14,zed-industries/zed,https://github.com/zed-industries/zed,"Code at the speed of thought – Zed is a high-performance, multiplayer code editor from the creators of Atom and Tree-sitter.",Rust,84545,8908,122 stars today,as-cii; maxbrunsfeld; maxdeviant; nathansobo; ConradIrwin
15,jdx/mise,https://github.com/jdx/mise,"dev tools, env vars, task runner",Rust,29124,1181,99 stars today,jdx; claude; mise-en-dev; renovate; autofix-ci
16,zed-industries/codex-acp,https://github.com/zed-industries/codex-acp,Pas de description,Rust,820,138,6 stars today,benbrandt; rtfeldman; bennetbo; dependabot; mscolnick
17,clap-rs/clap,https://github.com/clap-rs/clap,"A full featured, fast Command Line Argument Parser for Rust",Rust,16445,1194,6 stars today,epage; kbknapp; pksunkara; bors; homu
