Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,supermemoryai/supermemory,https://github.com/supermemoryai/supermemory,"Memory engine and app that is extremely fast, scalable. The Memory API for the AI era.",TypeScript,24101,2154,647 stars today,Dhravya; MaheshtheDev; yxshv; CodeTorso; Kinfe123
2,EveryInc/compound-engineering-plugin,https://github.com/EveryInc/compound-engineering-plugin,"Official Compound Engineering plugin for Claude Code, Codex, Cursor, and more",TypeScript,19160,1430,417 stars today,tmchow; claude; kieranklaassen; github-actions; semantic-release-bot
3,can1357/oh-my-pi,https://github.com/can1357/oh-my-pi,"⌥ AI Coding agent for the terminal — hash-anchored edits, optimized tool harness, LSP, Python, browser, subagents, and more",TypeScript,9537,762,335 stars today,can1357; badlogic; roboomp; jiwangyihao; MiroslavDrbal
4,microsoft/vscode,https://github.com/microsoft/vscode,Visual Studio Code,TypeScript,185662,40298,64 stars today,jrieken; Tyriar; mjbvz; joaomoreno; sandy081
5,Crosstalk-Solutions/project-nomad,https://github.com/Crosstalk-Solutions/project-nomad,"Project N.O.M.A.D, is a self-contained, offline survival computer packed with critical tools, knowledge, and AI to keep you informed and empowered—anytime, anywhere.",TypeScript,28014,2726,392 stars today,jakeaturner; chriscrosstalk; claude; cosmistack-bot; dependabot
6,nicobailon/pi-subagents,https://github.com/nicobailon/pi-subagents,"Pi extension for async subagent delegation with truncation, artifacts, and session sharing",TypeScript,2003,265,214 stars today,nicobailon; marcfargas; claude; SeanThomasWilliams; tmustier
7,reconurge/flowsint,https://github.com/reconurge/flowsint,"A modern platform for visual, flexible, and extensible graph-based investigations. For cybersecurity analysts and investigators.",TypeScript,4238,564,319 stars today,dextmorgn; gustavorps; z3rodaycve; nicocti; salmanmkc
8,github/docs,https://github.com/github/docs,The open-source repo for docs.github.com,TypeScript,19842,67303,201 stars today,Octomerger; docs-bot; mchammer01; heiskr; sarahs
9,ruvnet/ruflo,https://github.com/ruvnet/ruflo,"🌊 The leading agent meta-harness for Claude. Deploy intelligent multi-agent swarms, coordinate autonomous workflows, and build conversational AI systems. Features adaptive memory, self-learning swarm intelligence, RAG integration, and native Claude Code / Codex Integration",TypeScript,57348,6540,366 stars today,ruvnet; claude; alexx-ftw; lanemc; tommy-ca
10,better-auth/better-auth,https://github.com/better-auth/better-auth,The most comprehensive authentication framework,TypeScript,28553,2583,21 stars today,Bekacru; himself65; bytaesu; ping-maxwell; Kinfe123
11,MHSanaei/3x-ui,https://github.com/MHSanaei/3x-ui,"Xray panel supporting multi-protocol multi-user expire day & traffic & IP limit (Vmess, Vless, Trojan, ShadowSocks, Wireguard, Hysteria, Tunnel, Mixed, HTTP, Tun)",TypeScript,39088,7347,167 stars today,MHSanaei; dependabot; hamid-gh98; sh1shd
12,iptv-org/iptv,https://github.com/iptv-org/iptv,Collection of publicly available IPTV channels from all over the world,TypeScript,116744,6203,60 stars today,freearhey; iptv-bot; BellezaEmporium; Dum4G; UltraHDR
13,bia-pain-bache/BPB-Worker-Panel,https://github.com/bia-pain-bache/BPB-Worker-Panel,"A GUI Panel providing Worker subscriptions for VLESS, Trojan and Warp configs alongside a private DoH server and chain proxies, offering full DNS, clean IP, Fragment, Warp, Warp pro and routing settings for cross-platform clients using Amnezia, Wireguard, Sing-box, Clash/Mihomo and Xray cores.",TypeScript,11035,31397,119 stars today,bia-pain-bache; github-actions; yonggekkk; XRaySup; shulng
14,AnInsomniacy/motrix-next,https://github.com/AnInsomniacy/motrix-next,A full-featured download manager — rebuilt from the ground up,TypeScript,7154,219,140 stars today,AnInsomniacy; Hiram-Wong; Saafo; windlandneko; lawrence3699
15,mattpocock/sandcastle,https://github.com/mattpocock/sandcastle,Orchestrate sandboxed coding agents in TypeScript with sandcastle.run(),TypeScript,5629,570,82 stars today,mattpocock; claude; github-actions; jerome-benoit; mellson
16,jimuzhe/tiez-clipboard,https://github.com/jimuzhe/tiez-clipboard,"TieZ 是一款基于 Tauri 的跨平台剪贴板管理器 / A cross-platform clipboard manager with history, tags, sync, privacy protection, and fast daily workflows.",TypeScript,1875,79,116 stars today,jimuzhe; YewFence; claude; Shichien; Joftal
