Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,swc-project/swc,https://github.com/swc-project/swc,Rust-based platform for the Web,Rust,33655,1398,20 stars today,kdy1; swc-bot; alexander-akait; magic-akari; kwonoj
2,rust-lang/rust-analyzer,https://github.com/rust-lang/rust-analyzer,A Rust compiler front-end for IDEs,Rust,16549,2105,2 stars today,bors; matklad; bors; Veykril; github-merge-queue
3,juspay/hyperswitch,https://github.com/juspay/hyperswitch,"Open source, composable payments platform | PCI compliant | SaaS and Self-host options | Enables connectivity to multiple payment, payout, fraud, vault and tokenization providers | Uplifts authorization with intelligent routing and revenue recovery | Reduce payment processing costs with cost observability | Reduces payment ops with reconciliation",Rust,43004,4804,34 stars today,hyperswitch-bot; github-actions; SanchithHegde; Narayanbhat166; pixincreate
4,longbridge/gpui-component,https://github.com/longbridge/gpui-component,Rust GUI components for building fantastic cross-platform desktop application by using GPUI.,Rust,11727,656,15 stars today,huacnlee; madcodelife; claude; ihavecoke; ylinwind
5,eclipse-iceoryx/iceoryx2,https://github.com/eclipse-iceoryx/iceoryx2,Eclipse iceoryx2™ - the zero-copy data plane with a Rust core,Rust,2325,154,8 stars today,elfenpiff; elBoberido; orecham; FerdinandSpitzschnueffler; dkroenke
6,rerun-io/rerun,https://github.com/rerun-io/rerun,"Visualize, query, and stream to train on multimodal robotics data.",Rust,10938,765,5 stars today,emilk; Wumpf; teh-cmc; abey79; jprochazk
7,tauri-apps/tauri,https://github.com/tauri-apps/tauri,"Build smaller, faster, and more secure desktop and mobile applications with a web frontend.",Rust,107851,3697,38 stars today,lucasfernog; renovate; amrbashir; renovate-bot; FabianLars
8,emilk/egui,https://github.com/emilk/egui,egui: an easy-to-use immediate mode GUI in Rust that runs on both web and native,Rust,29385,2051,10 stars today,emilk; lucasmerlin; Wumpf; YgorSouza; rustbasic
9,apache/arrow-rs,https://github.com/apache/arrow-rs,Official Rust implementation of Apache Arrow,Rust,3495,1190,2 stars today,alamb; tustvold; kou; wesm; kszucs
10,biomejs/biome,https://github.com/biomejs/biome,"A toolchain for web projects, aimed to provide functionalities to maintain them. Biome offers formatter and linter, usable via CLI and LSP.",Rust,25011,1028,17 stars today,ematipico; Conaclos; sebmck; renovate; dyc3
11,lance-format/lance,https://github.com/lance-format/lance,"Open Lakehouse Format for Multimodal AI. Convert from Parquet in 2 lines of code for 100x faster random access, vector index, and data versioning. Compatible with Pandas, DuckDB, Polars, Pyarrow, and PyTorch with more integrations coming..",Rust,6647,713,4 stars today,github-actions; eddyxu; westonpace; wjones127; BubbleCal
12,alacritty/alacritty,https://github.com/alacritty/alacritty,"A cross-platform, OpenGL terminal emulator.",Rust,64558,3492,35 stars today,chrisduerr; jwilm; kchibisov; nixpulvis; matthiaskrgr
13,cocoindex-io/cocoindex,https://github.com/cocoindex-io/cocoindex,Incremental engine for long horizon agents 🌟 Star if you like it!,Rust,10274,803,10 stars today,georgeh0; badmonster0; claude; lemorage; Haleshot
14,paradigmxyz/reth,https://github.com/paradigmxyz/reth,"Modular, contributor-friendly and blazing-fast implementation of the Ethereum protocol, in Rust",Rust,5645,2479,13 stars today,mattsse; Rjected; rkrasiuk; klkvr; shekhirin
15,leptos-rs/leptos,https://github.com/leptos-rs/leptos,Build fast web applications with Rust.,Rust,20891,868,6 stars today,gbj; jquesada2016; sabify; martinfrances107; agilarity
16,databendlabs/databend,https://github.com/databendlabs/databend,"Data Agent Ready Warehouse : One for Analytics, Search, AI, Python Sandbox. — rebuilt from scratch. Unified architecture on your S3.",Rust,9337,884,5 stars today,bohutang; sundy-li; mergify; zhang2014; Xuanwo
17,iii-hq/iii,https://github.com/iii-hq/iii,"Effortlessly compose, extend, and observe every service in real-time for the first time ever.",Rust,18095,1206,95 stars today,ytallo; sergiofilhowz; rohitg00; andersonleal; actions-user
18,gleam-lang/gleam,https://github.com/gleam-lang/gleam,"⭐️ A friendly language for building type-safe, scalable systems!",Rust,21583,981,4 stars today,lpil; giacomocavalieri; GearsDatapacks; tomwhatmore; Acepie
19,web-infra-dev/rspack,https://github.com/web-infra-dev/rspack,Fast Rust-based bundler for the web with a modernized webpack API 🦀,Rust,12758,806,5 stars today,github-actions; ahabhgk; chenjiahan; hardfist; LingyuCoder
20,0xPlaygrounds/rig,https://github.com/0xPlaygrounds/rig,⚙️🦀 Build modular and scalable LLM Applications in Rust,Rust,7612,848,8 stars today,joshua-mo-143; cvauclair; gold-silver-copper; marieaurore123; 0xMochan
