Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,ruvnet/RuView,https://github.com/ruvnet/RuView,"π RuView turns commodity WiFi signals into real-time spatial intelligence, vital sign monitoring, and presence detection — all without a single pixel of video.",Rust,56228,7436,"1,715 stars today",ruvnet; claude; github-actions; fr4iser90; MaTriXy
2,tinyhumansai/openhuman,https://github.com/tinyhumansai/openhuman,"Your Personal AI super intelligence. Private, Simple and extremely powerful.",Rust,7935,642,"3,329 stars today",senamakel; claude; graycyrus; github-actions; M3gA-Mind
3,cloudflare/quiche,https://github.com/cloudflare/quiche,🥧 Savoury implementation of the QUIC transport protocol and HTTP/3,Rust,11473,990,10 stars today,ghedo; github-actions; traviscibot; LPardue; antoniovicente
4,ArthurBrussee/brush,https://github.com/ArthurBrussee/brush,3D Reconstruction for all,Rust,4497,243,199 stars today,ArthurBrussee; fhahlbohm; dependabot; vincentfretin; eliemichel
5,ton-blockchain/acton,https://github.com/ton-blockchain/acton,Toolchain for TON smart contract development and beyond,Rust,316,38,187 stars today,i582; Danil42Russia; Shvandre; novusnota; tolk-vm
6,0xPlaygrounds/rig,https://github.com/0xPlaygrounds/rig,⚙️🦀 Build modular and scalable LLM Applications in Rust,Rust,7281,808,14 stars today,joshua-mo-143; cvauclair; marieaurore123; 0xMochan; mateobelanger
7,Jakedismo/codegraph-rust,https://github.com/Jakedismo/codegraph-rust,"100% Rust implementation of code graphRAG with blazing fast AST+FastML parsing, surrealDB backend and advanced agentic code analysis tools through MCP for efficient code agent context management",Rust,656,62,191 stars today,jruokola; claude; Jakedismo; dependabot; google-labs-jules
8,iii-hq/iii,https://github.com/iii-hq/iii,"Effortlessly compose, extend, and observe every service in real-time for the first time ever.",Rust,15673,1048,53 stars today,ytallo; sergiofilhowz; rohitg00; andersonleal; actions-user
9,zizmorcore/zizmor,https://github.com/zizmorcore/zizmor,Static analysis for GitHub Actions,Rust,4868,185,66 stars today,woodruffw; dependabot; ubiratansoares; mostafa; github-actions
10,base/base,https://github.com/base/base,All components used to run Base,Rust,461,378,6 stars today,refcell; danyalprout; ratankaliani; fakedev9999; tynes
11,neondatabase/neon,https://github.com/neondatabase/neon,"Neon: Serverless Postgres. We separated storage and compute to offer autoscaling, code-like database branching, and scale to zero.",Rust,21928,963,44 stars today,hlinnaka; jcsp; problame; bayandin; koivunej
12,firecracker-microvm/firecracker,https://github.com/firecracker-microvm/firecracker,Secure and fast microVMs for serverless computing.,Rust,34348,2393,40 stars today,roypat; dianpopa; pb8o; ShadowCurse; zulinx86
13,raine/workmux,https://github.com/raine/workmux,git worktrees + tmux windows for zero-friction parallel dev,Rust,1480,103,8 stars today,raine; Infonautica; rstacruz; bps; evatths
14,helix-editor/helix,https://github.com/helix-editor/helix,A post-modern modal text editor.,Rust,44369,3466,24 stars today,archseer; the-mikedavis; dependabot; pascalkuthe; sudormrfbin
15,NVIDIA/OpenShell,https://github.com/NVIDIA/OpenShell,"OpenShell is the safe, private runtime for autonomous AI agents.",Rust,5954,695,55 stars today,drew; johntmyers; pimlock; miyoungc; kirit93
16,memvid/memvid,https://github.com/memvid/memvid,"Memory layer for AI Agents. Replace complex RAG pipelines with a serverless, single-file memory layer. Give your agents instant retrieval and long-term memory.",Rust,15507,1335,17 stars today,sharafdin; Olow304; mo-omar-0197; TyJK; akash-R-A-J
17,dfinity/ic,https://github.com/dfinity/ic,Internet Computer blockchain source: the client/replica software run by nodes,Rust,1756,397,0 stars today,rumenov; basvandijk; marko-k0; mraszyk; eichhorl
18,rust-lang/rust-clippy,https://github.com/rust-lang/rust-clippy,A bunch of lints to catch common mistakes and improve your Rust code. Book: https://doc.rust-lang.org/clippy/,Rust,13164,2000,12 stars today,bors; flip1995; oli-obk; Manishearth; Jarcho
19,rtk-ai/rtk,https://github.com/rtk-ai/rtk,"CLI proxy that reduces LLM token consumption by 60-90% on common dev commands. Single Rust binary, zero dependencies",Rust,48073,2914,578 stars today,aeppling; claude; pszymkowiak; FlorianBruniaux; github-actions
20,zellij-org/zellij,https://github.com/zellij-org/zellij,A terminal workspace with batteries included,Rust,32592,1191,94 stars today,imsnif; a-kenji; TheLostLambda; kunalmohan; jaeheonji
