Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,iptv-org/iptv,https://github.com/iptv-org/iptv,Collection of publicly available IPTV channels from all over the world,TypeScript,123096,6611,"2,657 stars today",freearhey; iptv-bot; BellezaEmporium; Dum4G; UltraHDR
2,meshery/meshery,https://github.com/meshery/meshery,"Meshery, the cloud native manager",TypeScript,10670,3437,228 stars today,leecalcote; MUzairS15; aabidsofi19; amitamrutiya; theBeginner86
3,freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free.",TypeScript,447993,44999,736 stars today,ojeytonwilliams; raisedadead; camperbot; renovate; renovate-bot
4,TencentCloud/TencentDB-Agent-Memory,https://github.com/TencentCloud/TencentDB-Agent-Memory,"TencentDB Agent Memory delivers fully local long-term memory for AI Agents via a 4-tier progressive pipeline, with zero external API dependencies.",TypeScript,5800,503,144 stars today,Yuntong8888; Maxwell-Code07; Huang10q; YOMXXX; akhilesharora
5,hydralauncher/hydra,https://github.com/hydralauncher/hydra,Hydra Launcher is an open-source gaming platform created to be the single tool that you need,TypeScript,15964,3905,20 stars today,zamitto; Moyasee; Hachi-R; chubbygrannychaser; Lianela
6,documenso/documenso,https://github.com/documenso/documenso,The Open Source DocuSign Alternative.,TypeScript,13408,2770,36 stars today,Mythie; ElTimuro; dguyen; ephraimduncan; catalinpit
7,Stirling-Tools/Stirling-PDF,https://github.com/Stirling-Tools/Stirling-PDF,#1 PDF Application on GitHub that lets you edit PDFs on any device anywhere,TypeScript,81066,7112,138 stars today,Frooodle; Ludy87; dependabot; stirlingbot; jbrunton96
8,puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,JavaScript API for Chrome and Firefox,TypeScript,94778,9442,171 stars today,OrKoN; release-please; aslushnikov; dependabot; Lightning00Blade
9,Emanuele-web04/synara,https://github.com/Emanuele-web04/synara,The best place to build with your AI sub,TypeScript,888,111,46 stars today,Emanuele-web04; Marve10s; claude; cursoragent; isthatyousaf
10,anyproto/anytype-ts,https://github.com/anyproto/anytype-ts,"Official Anytype client for MacOS, Linux, and Windows",TypeScript,8158,527,28 stars today,ra3orblade; mhlv; claude; requilence; d1eselboy
11,pascalorg/editor,https://github.com/pascalorg/editor,Create and share 3D architectural projects.,TypeScript,16829,2261,38 stars today,wass08; Aymericr; claude; sudhir9297; open-pascal
12,ghostfolio/ghostfolio,https://github.com/ghostfolio/ghostfolio,Open Source Wealth Management Software. Angular + NestJS + Prisma + Nx + TypeScript 🤍,TypeScript,8733,1190,22 stars today,dtslvr; github-actions; KenTandrian; vzickner; csehatt741
13,nilbuild/developer-roadmap,https://github.com/nilbuild/developer-roadmap,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",TypeScript,357376,44220,221 stars today,nilbuild; github-actions; dansholds; arikchakma
14,amruthpillai/reactive-resume,https://github.com/amruthpillai/reactive-resume,"A one-of-a-kind resume builder that keeps your privacy in mind. Completely secure, customizable, portable, open-source and free forever. Try it out today!",TypeScript,38596,4359,75 stars today,amruthpillai; gianantoniopini; dependabot; crowdin-bot; github-actions
15,smol-ai/GodMode,https://github.com/smol-ai/GodMode,"AI Chat Browser: Fast, Full webapp access to ChatGPT / Claude / Bard / Bing / Llama2! I use this 20 times a day.",TypeScript,5539,538,10 stars today,swyxio; seanoliver; chriscarrollsmith; jmxo; mwyywm
