Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,azerothcore/azerothcore-wotlk,https://github.com/azerothcore/azerothcore-wotlk,Complete Open Source and Modular solution for MMO,C++,8247,3332,8 stars today,github-actions; Nyeriah; Kitzunu; Gultask; FrancescoBorzi
2,luau-lang/luau,https://github.com/luau-lang/luau,"A small, fast, and embeddable programming language based on Lua with a gradual type system.",C++,5481,565,7 stars today,zeux; vegorov-rbx; andyfriesen; Vighnesh-V; aatxe
3,FreeCAD/FreeCAD,https://github.com/FreeCAD/FreeCAD,"Official source code of FreeCAD, a free and opensource multiplatform 3D parametric modeler.",C++,30633,5473,26 stars today,wwmayer; yorikvanhavre; berndhahnebach; chennes; WandererFan
4,meshtastic/firmware,https://github.com/meshtastic/firmware,"The official firmware for Meshtastic, an open-source, off-grid mesh communication system.",C++,7361,2282,6 stars today,thebentern; geeksville; caveman99; mc-hamster; jp-bennett
5,MaaAssistantArknights/MaaAssistantArknights,https://github.com/MaaAssistantArknights/MaaAssistantArknights,"《明日方舟》小助手，全日常一键长草！| A one-click tool for the daily tasks of Arknights, supporting all clients.",C++,20476,2565,15 stars today,MistEO; ABA2396; status102; Constrat; github-actions
6,esphome/esphome,https://github.com/esphome/esphome,"ESPHome is a system to control your ESP32, ESP8266, BK72xx, RP2040 by simple yet powerful configuration files and control them remotely through Home Automation systems.",C++,10983,5238,14 stars today,jesserockz; bdraco; OttoWinter; dependabot; swoboda1337
7,hyprwm/Hyprland,https://github.com/hyprwm/Hyprland,"Hyprland is an independent, highly customizable, dynamic tiling Wayland compositor that doesn't sacrifice on its looks.",C++,35326,1691,47 stars today,vaxerski; fufexan; gulafaran; MightyPlaza; UjinT34
8,imputnet/helium,https://github.com/imputnet/helium,"Private, fast, and honest web browser",C++,14513,326,223 stars today,wukko; dumbmoron; Ahrotahn; networkException; zemiakx
9,FastFlowLM/FastFlowLM,https://github.com/FastFlowLM/FastFlowLM,Run LLMs on AMD Ryzen™ AI NPUs in minutes. Just like Ollama - but purpose-built and deeply optimized for the AMD NPUs.,C++,1245,80,7 stars today,ngdxzy; twflm; ZaneNi; superm1; joeldushouyu
10,LizardByte/Sunshine,https://github.com/LizardByte/Sunshine,Self-hosted game stream host for Moonlight.,C++,36490,1884,30 stars today,ReenigneArcher; dependabot; cgutman; LizardByte-bot; loki-47-6F-64
11,PrismLauncher/PrismLauncher,https://github.com/PrismLauncher/PrismLauncher,A custom launcher for Minecraft that allows you to easily manage multiple installations of Minecraft at once (Fork of MultiMC),C++,9215,1277,17 stars today,Trial97; peterix; Scrumplex; TheKodeToad; flowln
12,azahar-emu/azahar,https://github.com/azahar-emu/azahar,An open-source 3DS emulator project based on Citra.,C++,7108,476,8 stars today,bunnei; wwylele; lioncash; yuriks; OpenSauce04
13,PCSX2/pcsx2,https://github.com/PCSX2/pcsx2,PCSX2 - The Playstation 2 Emulator,C++,14758,1948,5 stars today,gregory38; stenzek; refractionpcsx2; lightningterror; TellowKrinkle
14,BruceDevices/firmware,https://github.com/BruceDevices/firmware,Predatory ESP32 Firmware,C++,5454,1846,8 stars today,bmorcelli; pr3y; rennancockles; Tawank; valentin8709
15,qbittorrent/qBittorrent,https://github.com/qbittorrent/qBittorrent,qBittorrent BitTorrent client,C++,36747,4638,21 stars today,Chocobo1; sledgehammer999; glassez; Piccirello; zeule
16,dolphin-emu/dolphin,https://github.com/dolphin-emu/dolphin,"Dolphin is a GameCube / Wii emulator, allowing you to play games for these two platforms on PC with improvements.",C++,14958,3054,10 stars today,lioncash; JosJuice; leoetlino; degasus; Sonicadvance1
17,amnezia-vpn/amnezia-client,https://github.com/amnezia-vpn/amnezia-client,Amnezia VPN Client (Desktop+Mobile),C++,11614,834,23 stars today,pokamest; Nethius; albexk; outspace; vkamn
18,bdring/FluidNC,https://github.com/bdring/FluidNC,The next generation of motion control firmware,C++,2361,586,4 stars today,MitchBradley; bdring; odaki; buildlog; luc-github
19,TrinityCore/TrinityCore,https://github.com/TrinityCore/TrinityCore,"TrinityCore Open Source MMO Framework (master = 12.0.5.67186, 3.3.5 = 3.3.5a.12340, cata classic = 4.4.2.60895)",C++,10528,6308,2 stars today,Shauren; Vincent-Michael; DDuarte; Aokromes; Killyana
20,doitsujin/dxvk,https://github.com/doitsujin/dxvk,"Vulkan-based implementation of D3D8, 9, 10 and 11 for Linux / Wine",C++,17042,1113,4 stars today,doitsujin; misyltoad; K0bin; WinterSnowfall; Blisto91
21,bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,Bitcoin Core integration/staging tree,C++,88947,38931,12 stars today,laanwj; fanquake; sipa; achow101; hebasto
