Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,swc-project/swc,https://github.com/swc-project/swc,Rust-based platform for the Web,Rust,33995,1419,20 stars today,kdy1; swc-bot; alexander-akait; magic-akari; kwonoj
2,Universal-Debloater-Alliance/universal-android-debloater-next-generation,https://github.com/Universal-Debloater-Alliance/universal-android-debloater-next-generation,"Cross-platform GUI written in Rust using ADB to debloat non-rooted Android devices. Improve your privacy, the security and battery life of your device.",Rust,7376,318,146 stars today,AnonymousWP; 0x192; Frigyes06; Rudxain; lavafroth
3,n0-computer/iroh,https://github.com/n0-computer/iroh,"IP addresses break, dial keys instead. Modular networking stack in Rust.",Rust,9340,438,334 stars today,dignifiedquire; flub; rklaehn; Frando; ramfox
4,dmtrKovalenko/fff,https://github.com/dmtrKovalenko/fff,"The fastest and the most accurate file search toolkit for AI agents, Neovim, Rust, C, and NodeJS",Rust,8869,337,149 stars today,dmtrKovalenko; github-actions; gustav-fff; sQVe; thuan1412
5,rolldown/rolldown,https://github.com/rolldown/rolldown,Fast Rust bundler for JavaScript/TypeScript with Rollup-compatible API.,Rust,13768,794,13 stars today,hyf0; IWANABETHATGUY; shulaoda; renovate; sapphi-red
6,typst/typst,https://github.com/typst/typst,A markup-based typesetting system that is powerful and easy to learn.,Rust,54349,1605,76 stars today,laurmaedje; reknih; saecki; MDLC01; mkorje
7,rust-lang/rust,https://github.com/rust-lang/rust,Empowering everyone to build reliable and efficient software.,Rust,113945,14983,69 stars today,bors; matthiaskrgr; RalfJung; GuillaumeGomez; matklad
8,pola-rs/polars,https://github.com/pola-rs/polars,"Extremely fast Query Engine for DataFrames, written in Rust",Rust,38797,2889,11 stars today,ritchie46; alexander-beedie; orlp; coastalwhite; nameexhaustion
9,denoland/deno,https://github.com/denoland/deno,A modern runtime for JavaScript and TypeScript.,Rust,107145,6074,47 stars today,bartlomieju; dsherret; ry; littledivy; nayeemrmn
10,openinterpreter/openinterpreter,https://github.com/openinterpreter/openinterpreter,"A lightweight coding agent for open models like Deepseek, Kimi, and Qwen",Rust,64019,5553,30 stars today,jif-oai; bolinfest; aibrahim-oai; etraut-openai; pakrym-oai
11,farion1231/cc-switch,https://github.com/farion1231/cc-switch,"A cross-platform desktop All-in-One assistant for Claude Code, Codex, OpenCode, OpenClaw, Gemini CLI & Hermes Agent. Only official website: ccswitch.io",Rust,102813,6805,994 stars today,farion1231; yovinchen; claude; TinsFox; makoMakoGo
12,AlexsJones/llmfit,https://github.com/AlexsJones/llmfit,Hundreds of models & providers. One command to find what runs on your hardware.,Rust,28140,1714,100 stars today,AlexsJones; claude; three-foxes-in-a-trenchcoat; dependabot; github-actions
13,GitoxideLabs/gitoxide,https://github.com/GitoxideLabs/gitoxide,"An idiomatic, lean, fast & safe pure Rust implementation of Git",Rust,11596,494,4 stars today,Byron; EliahKagan; cruessler; edward-shen; codex
14,meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,A lightning-fast search engine API bringing AI-powered hybrid search to your sites and applications.,Rust,58136,2569,18 stars today,Kerollmops; dureuill; irevoire; ManyTheFish; MarinPostma
15,ogulcancelik/herdr,https://github.com/ogulcancelik/herdr,agent multiplexer that lives in your terminal.,Rust,6017,358,223 stars today,ogulcancelik; github-actions; kangal-bot; Golden-Pigeon; othavioquiliao
16,biomejs/biome,https://github.com/biomejs/biome,"A toolchain for web projects, aimed to provide functionalities to maintain them. Biome offers formatter and linter, usable via CLI and LSP.",Rust,25063,1030,21 stars today,ematipico; Conaclos; sebmck; renovate; dyc3
17,microsoft/windows-rs,https://github.com/microsoft/windows-rs,Rust for Windows,Rust,12418,628,10 stars today,kennykerr; Copilot; rylev; riverar; dependabot
18,leptos-rs/leptos,https://github.com/leptos-rs/leptos,Build fast web applications with Rust.,Rust,20928,870,13 stars today,gbj; jquesada2016; sabify; martinfrances107; agilarity
19,tracel-ai/burn,https://github.com/tracel-ai/burn,"Burn is a next generation tensor library and Deep Learning Framework that doesn't compromise on flexibility, efficiency and portability.",Rust,15434,945,4 stars today,nathanielsimard; laggui; antimora; dependabot; louisfd
20,qdrant/qdrant,https://github.com/qdrant/qdrant,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/",Rust,32389,2388,56 stars today,dependabot; generall; timvisee; agourlay; coszio
21,eclipse-zenoh/zenoh,https://github.com/eclipse-zenoh/zenoh,"zenoh unifies data in motion, data in-use, data at rest and computations. It carefully blends traditional pub/sub with geo-distributed storages, queries and computations, while retaining a level of time and space efficiency that is well beyond any of the mainstream stacks.",Rust,2881,315,6 stars today,Mallets; OlivierHecart; milyin; JEnoch; wyfo
22,facebook/pyrefly,https://github.com/facebook/pyrefly,A fast type checker and language server for Python,Rust,6660,405,10 stars today,stroxler; rchen152; ndmitchell; yangdanny97; kinto0
23,dbt-labs/dbt-core,https://github.com/dbt-labs/dbt-core,dbt enables data analysts and engineers to transform their data using the same practices that software engineers use to build applications.,Rust,13012,2420,11 stars today,drewbanin; beckjake; jtcohen6; emmyoop; gshank
