Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,sartoopjj/thefeed,https://github.com/sartoopjj/thefeed,"DNS-based feed reader and lite messenger for environments where only DNS queries work. Read Telegram channels and public X accounts, and exchange end-to-end-encrypted messages with other users — all over DNS.",Go,1333,82,143 stars today,sartoopjj; Danialsamadi; sepehr-alipour; ChosoMeister; claude
2,everywall/ladder,https://github.com/everywall/ladder,Selfhosted alternative to 12ft.io. and 1ft.io. Proxy to remove CORS headers and modify HTML,Go,8448,485,134 stars today,mms-gianni; joncrangle; deoxykev; boomam; dependabot
3,dapr/dapr,https://github.com/dapr/dapr,"Dapr is a portable runtime for building distributed applications across cloud and edge, combining event-driven architecture with workflow orchestration.",Go,25848,2089,2 stars today,yaron2; JoshVanL; artursouza; dapr-bot; ItalyPaleAle
4,tailscale/tailscale,https://github.com/tailscale/tailscale,"The easiest, most secure way to use WireGuard and 2FA.",Go,32755,2672,35 stars today,bradfitz; danderson; josharian; raggi; andrew-d
5,Armur-Ai/Pentest-Swarm-AI,https://github.com/Armur-Ai/Pentest-Swarm-AI,"Autonomous penetration testing using a swarm of AI agents. Orchestrates recon, classification, exploitation, and reporting specialists with ReAct reasoning — supports bug bounty, continuous monitoring, and CTF modes. Built with Go, Claude API, and 7+ native security tools.",Go,1898,378,22 stars today,AkhilSharma90; Kuro0911; claude; siwacarn; akhilairi
6,google/cadvisor,https://github.com/google/cadvisor,Analyzes resource usage and performance characteristics of running containers.,Go,19219,2473,4 stars today,vmarmol; dashpole; rjnagal; vishh; monnand
7,Agent-Field/agentfield,https://github.com/Agent-Field/agentfield,"Build, run and scale AI agents like API and microservices - observable,auditable and identity-aware from day one.",Go,2214,359,15 stars today,santoshkumarradha; AbirAbbas; github-actions; claude; dependabot
8,netbirdio/netbird,https://github.com/netbirdio/netbird,"Connect your devices into a secure WireGuard®-based overlay network with SSO, MFA and granular access controls.",Go,26145,1427,28 stars today,mlsmaycon; pascal-fischer; lixmal; braginini; pappz
9,seaweedfs/seaweedfs,https://github.com/seaweedfs/seaweedfs,"SeaweedFS is a distributed storage system for object storage (S3), file systems, and Iceberg tables, designed to handle billions of files with O(1) disk access and effortless horizontal scaling.",Go,33058,2857,14 stars today,chrislusf; dependabot; kmlebedev; chrisluuber; gemini-code-assist
10,maximhq/bifrost,https://github.com/maximhq/bifrost,"Fastest enterprise AI gateway (50x faster than LiteLLM) with adaptive load balancer, cluster mode, guardrails, 1000+ models support & <100 µs overhead at 5k RPS.",Go,5942,791,16 stars today,akshaydeo; github-actions; Pratham-Mishra04; impoiler; TejasGhatte
11,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,Production-Grade Container Scheduling and Management,Go,123182,43268,28 stars today,k8s-ci-robot; liggitt; thockin; wojtek-t; brendandburns
12,mayswind/ezbookkeeping,https://github.com/mayswind/ezbookkeeping,"A lightweight, self-hosted personal finance app with a user-friendly interface and powerful bookkeeping features.",Go,5095,572,7 stars today,mayswind; tkymmm; abrugues; Miguelonlonlon; nktlitvinenko
13,weaviate/weaviate,https://github.com/weaviate/weaviate,"Weaviate is an open-source vector database that stores both objects and vectors, allowing for the combination of vector search with structured filtering with the fault tolerance and scalability of a cloud-native database​.",Go,16391,1315,10 stars today,antas-marcin; etiennedi; dirkkul; moogacs; bobvanluijt
14,charmbracelet/crush,https://github.com/charmbracelet/crush,Glamourous agentic coding for all 💘,Go,25563,1860,34 stars today,kujtimiihoxha; andreynering; meowgorithm; aymanbagabas; caarlos0
15,keploy/keploy,https://github.com/keploy/keploy,"Open-source platform for creating safe, isolated production sandboxes for API, integration, and E2E testing.",Go,17710,2249,34 stars today,slayerjain; gouravkrosx; shivamsouravjha; re-Tick; Sarthak160
16,avelino/awesome-go,https://github.com/avelino/awesome-go,"A curated list of awesome Go frameworks, libraries and software",Go,176064,13336,88 stars today,avelino; mholt; kirillDanshin; dmitshur; kazhuravlev
17,smtg-ai/claude-squad,https://github.com/smtg-ai/claude-squad,"Manage multiple AI terminal agents like Claude Code, Codex, OpenCode, and Amp.",Go,7874,563,15 stars today,mufeez-amjad; jayshrivastava; claude; neokim; jennings
18,AdguardTeam/AdGuardHome,https://github.com/AdguardTeam/AdGuardHome,Network-wide ads & trackers blocking DNS server,Go,35022,2402,26 stars today,ainar-g; szolin; IldarKamalov; ameshkov; EugeneOne1
19,charmbracelet/glow,https://github.com/charmbracelet/glow,"Render markdown on the CLI, with pizzazz! 💅🏻",Go,25940,709,13 stars today,meowgorithm; muesli; dependabot; caarlos0; penguwin
20,ossf/scorecard,https://github.com/ossf/scorecard,OpenSSF Scorecard - Security health metrics for Open Source,Go,5538,668,3 stars today,dependabot; naveensrinivasan; azeemshaikh38; spencerschrock; laurentsimon
