Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,openai/codex-plugin-cc,https://github.com/openai/codex-plugin-cc,Use Codex from Claude Code to review code or delegate tasks.,JavaScript,23280,1410,634 stars today,dkundel-openai; VOIDXAI; claude; xiaolai; zeta987
2,JuliusBrussee/caveman,https://github.com/JuliusBrussee/caveman,🪨 why use many token when few token do trick — Claude Code skill that cuts 65% of tokens by talking like caveman,JavaScript,83020,4632,"2,863 stars today",JuliusBrussee; claude; github-actions; sebastianbreguel; vraj00222
3,santifer/career-ops,https://github.com/santifer/career-ops,"AI-powered job search system built on Claude Code. 14 skill modes, Go dashboard, PDF generation, batch processing.",JavaScript,58417,11459,855 stars today,santifer; claude; FReptar0; luochen211; SparshGarg999
4,sveltejs/svelte,https://github.com/sveltejs/svelte,web development for the rest of us,JavaScript,87481,4967,105 stars today,Rich-Harris; dummdidumm; Conduitry; github-actions; trueadm
5,decolua/9router,https://github.com/decolua/9router,"Unlimited FREE AI coding. Connect Claude Code, Codex, Cursor, Cline, Copilot, Antigravity to FREE Claude/GPT/Gemini via 40+ providers. Auto-fallback, RTK -40% tokens, never hit limits.",JavaScript,19691,3186,169 stars today,cursoragent; anuragg-saxenaa; claude; catalinstanciu; Blade096
6,affaan-m/ECC,https://github.com/affaan-m/ECC,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.",JavaScript,225716,34520,628 stars today,affaan-m; claude; pangerlkr; dependabot; greptile-apps
7,vercel/next.js,https://github.com/vercel/next.js,The React Framework,JavaScript,140325,31298,95 stars today,ijjk; timneutkens; sokra; vercel-release-bot; huozhi
8,webpack/webpack,https://github.com/webpack/webpack,"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff.",JavaScript,65832,9344,47 stars today,sokra; alexander-akait; dependabot-preview; TheLarkInn; dependabot
9,ryanmcdermott/clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,Clean Code concepts adapted for JavaScript,JavaScript,94671,12477,164 stars today,ryanmcdermott; vsemozhetbyt; frappacchio; b0yfriend; DavidVujic
10,pbakaus/impeccable,https://github.com/pbakaus/impeccable,The design language that makes your AI harness better at design.,JavaScript,43316,2442,260 stars today,pbakaus; claude; github-actions; abdulwahabone; dependabot
11,tt-a1i/archify,https://github.com/tt-a1i/archify,Any agent Skill: generate beautiful architecture diagrams with dark/light theme toggle and PNG/JPEG/WebP/SVG export,JavaScript,2488,149,215 stars today,tt-a1i; claude
12,fbsamples/whatsapp-business-jaspers-market,https://github.com/fbsamples/whatsapp-business-jaspers-market,Sample Whatsapp App - Jasper's Market,JavaScript,493,354,1 star today,facebook-github-bot; zpao; FindHao
13,nodejs/node,https://github.com/nodejs/node,Node.js JavaScript runtime ✨🐢🚀✨,JavaScript,118053,35885,91 stars today,Trott; ry; bnoordhuis; addaleax; isaacs
14,expressjs/express,https://github.com/expressjs/express,"Fast, unopinionated, minimalist web framework for node.",JavaScript,69234,23990,42 stars today,tj; dougwilson; jonathanong; defunctzombie; UlisesGascon
15,fastify/fastify,https://github.com/fastify/fastify,"Fast and low overhead web framework, for Node.js",JavaScript,36606,2760,47 stars today,delvedor; mcollina; Eomm; Fdawgs; jsumners
16,prettier/prettier,https://github.com/prettier/prettier,Prettier is an opinionated code formatter.,JavaScript,52080,4762,32 stars today,fisker; dependabot; renovate; vjeux; sosukesuzuki
17,GargantuaX/gemini-watermark-remover,https://github.com/GargantuaX/gemini-watermark-remover,"A high-performance, 100% client-side tool for removing Gemini AI image & video watermarks. Built with pure JavaScript using mathematically precise Reverse Alpha Blending. / 基于 JavaScript 的纯浏览器端 Gemini AI 图像和视频无损去水印工具，使用数学精确的反向 Alpha 混合算法",JavaScript,4670,566,7 stars today,GargantuaX; journey-ad; LebToki; Albonire; HopeItBuilds
