Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,gabime/spdlog,https://github.com/gabime/spdlog,Fast C++ logging library.,C++,28737,5136,4 stars today,gabime; Gabi120; sylveon; DanielChabrowski; mguludag
2,facebook/rocksdb,https://github.com/facebook/rocksdb,"A library that provides an embeddable, persistent key-value store for fast storage.",C++,31663,6822,8 stars today,siying; igorcanadi; ajkr; pdillinger; riversand963
3,microsoft/terminal,https://github.com/microsoft/terminal,"The new Windows Terminal and the original Windows console host, all in the same place!",C++,103082,9265,19 stars today,DHowett; zadjii-msft; lhecker; carlos-zamora; miniksa
4,opencv/opencv,https://github.com/opencv/opencv,Open Source Computer Vision Library,C++,87403,56560,17 stars today,alalek; asmorkalov; vpisarev; mshabunin; ilya-lavrenov
5,kamyu104/LeetCode-Solutions,https://github.com/kamyu104/LeetCode-Solutions,🏋️ Python / Modern C++ Solutions of All 3920 LeetCode Problems (Weekly Update),C++,5296,1673,38 stars today,kamyu104; sangheestyle; NYCGithub; RanceJen; archy-rock3t-cloud
6,google/flatbuffers,https://github.com/google/flatbuffers,FlatBuffers: Memory Efficient Serialization Library,C++,25923,3563,28 stars today,dbaileychess; aardappel; vglavnyy; rw; mustiikhalil
7,ztxz16/fastllm,https://github.com/ztxz16/fastllm,fastllm是后端无依赖的高性能大模型推理库。同时支持张量并行推理稠密模型和混合模式推理MOE模型，任意10G以上显卡即可推理满血DeepSeek。双路9004/9005服务器+单显卡部署DeepSeek满血满精度原版模型，单并发20tps；INT4量化模型单并发30tps，多并发可达60+。,C++,4470,449,55 stars today,ztxz16; TylunasLi; huangsheng-tf; fluxlinkage; orca-zhang
8,f3d-app/f3d,https://github.com/f3d-app/f3d,Fast and minimalist 3D viewer.,C++,4375,408,26 stars today,mwestphal; Meakk; snoyer; noclone; Ni-g-3l
9,pybind/pybind11,https://github.com/pybind/pybind11,Seamless operability between C++11 and Python,C++,17845,2302,2 stars today,wjakob; henryiii; rwgk; jagerman; pre-commit-ci
10,microsoft/onnxruntime,https://github.com/microsoft/onnxruntime,"ONNX Runtime: cross-platform, high performance ML inferencing and training accelerator",C++,20456,3899,11 stars today,fs-eire; skottmckay; edgchen1; tianleiwu; yuslepukhin
11,klzgrad/naiveproxy,https://github.com/klzgrad/naiveproxy,Make a fortune quietly,C++,8799,1002,31 stars today,klzgrad; 1715173329; dyhkwong; bashi; fbion
12,catchorg/Catch2,https://github.com/catchorg/Catch2,"A modern, C++-native, test framework for unit-tests, TDD and BDD - using C++14, C++17 and later (C++11 support is in v2.x branch, and C++03 on the Catch1.x branch)",C++,20371,3229,3 stars today,horenmar; philsquared; ChrisThrasher; claremacrae; JoeyGrajciar
13,kvcache-ai/Mooncake,https://github.com/kvcache-ai/Mooncake,"Mooncake is the serving platform for Kimi, a leading LLM service provided by Moonshot AI.",C++,5288,729,6 stars today,stmatengss; xiaguan; alogfans; ShangmingCai; ykwd
14,k2-fsa/sherpa-onnx,https://github.com/k2-fsa/sherpa-onnx,"Speech-to-text, text-to-speech, speaker diarization, speech enhancement, source separation, and VAD using next-gen Kaldi with onnxruntime without Internet connection. Support embedded systems, Android, iOS, HarmonyOS, Raspberry Pi, RISC-V, RK NPU, Axera NPU, Ascend NPU, x86_64 servers, websocket server/client, support 12 programming languages",C++,12130,1376,27 stars today,csukuangfj; pkufool; Wasser1462; ZhaoChaoqun; pingfengluo
15,deskflow/deskflow,https://github.com/deskflow/deskflow,Share a single keyboard and mouse between multiple computers.,C++,25661,4571,22 stars today,sithlord48; nbolton; Jnewbon; SerhiiGadzhilov; speaker
16,Open-Cascade-SAS/OCCT,https://github.com/Open-Cascade-SAS/OCCT,"Open CASCADE Technology (OCCT) is an open-source software development platform for 3D CAD, CAM, CAE.",C++,2433,602,2 stars today,gkv311; dpasukhi; a-betenev; alexander-malyshev; msv68
17,nlohmann/json,https://github.com/nlohmann/json,JSON for Modern C++,C++,49615,7385,9 stars today,nlohmann; dependabot; theodelrieu; falbrechtskirchinger; Teemperor
18,deepseek-ai/FlashMLA,https://github.com/deepseek-ai/FlashMLA,FlashMLA: Efficient Multi-head Latent Attention Kernels,C++,12641,1028,3 stars today,beginlner; interestingLSY; uchihatmtkinu; sijiac; dianzhangchen
19,ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,LLM inference in C/C++,C++,109268,18017,211 stars today,ggerganov; ngxson; slaren; JohannesGaessler; CISC
20,IfcOpenShell/IfcOpenShell,https://github.com/IfcOpenShell/IfcOpenShell,Open source IFC library and geometry engine,C++,2503,904,7 stars today,Moult; Andrej730; aothms; brunoperdigao; myoualid
