Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,"An open-source remote desktop application designed for self-hosting, as an alternative to TeamViewer.",Rust,112119,16764,393 stars today,rustdesk; fufesou; 21pages; Kingtous; Heap-Hop
2,firecrawl/pdf-inspector,https://github.com/firecrawl/pdf-inspector,"Fast Rust library for PDF inspection, classification, and text extraction. Intelligently detects scanned vs text-based PDFs to enable smart routing decisions.",Rust,844,72,119 stars today,abimaelmartell; claude; rth; Jacqkues
3,GyulyVGC/sniffnet,https://github.com/GyulyVGC/sniffnet,Comfortably monitor your Internet traffic 🕵️‍♂️,Rust,34368,1254,204 stars today,GyulyVGC; dependabot; allcontributors; Crirock; colin99d
4,superradcompany/microsandbox,https://github.com/superradcompany/microsandbox,"🧱 secure, local, cross-platform and programmable sandboxes for AI agents",Rust,5539,263,87 stars today,appcypher; toksdotdev; dependabot; github-actions; dijdzv
5,fathyb/carbonyl,https://github.com/fathyb/carbonyl,Chromium running inside your terminal,Rust,18735,522,163 stars today,fathyb; licy183; kianmeng; glensc; reynoldsme
6,dora-rs/dora,https://github.com/dora-rs/dora,"DORA (Dataflow-Oriented Robotic Architecture) is middleware designed to streamline and simplify the creation of AI-based robotic applications. It offers low latency, composable, and distributed dataflow capabilities. Applications are modeled as directed graphs, also referred to as pipelines.",Rust,3610,380,106 stars today,phil-opp; haixuanTao; eduidl; claude; ShashwatPatil
7,max-sixty/worktrunk,https://github.com/max-sixty/worktrunk,"Worktrunk is a CLI for Git worktree management, designed for parallel AI agent workflows",Rust,4616,157,21 stars today,max-sixty; claude; worktrunk-bot; dependabot; github-actions
8,starship/starship,https://github.com/starship/starship,"☄🌌️ The minimal, blazing-fast, and infinitely customizable prompt for any shell!",Rust,56574,2476,60 stars today,renovate; matchai; davidkna; dependabot; dependabot-preview
9,farion1231/cc-switch,https://github.com/farion1231/cc-switch,"A cross-platform desktop All-in-One assistant tool for Claude Code, Codex, OpenCode, openclaw & Gemini CLI.",Rust,46894,2996,362 stars today,farion1231; yovinchen; claude; TinsFox; tianrking
10,openai/codex,https://github.com/openai/codex,Lightweight coding agent that runs in your terminal,Rust,76199,10823,190 stars today,bolinfest; jif-oai; aibrahim-oai; pakrym-oai; etraut-openai
11,longbridge/gpui-component,https://github.com/longbridge/gpui-component,Rust GUI components for building fantastic cross-platform desktop application by using GPUI.,Rust,11076,560,17 stars today,huacnlee; madcodelife; ihavecoke; claude; ylinwind
