Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,google-ai-edge/LiteRT-LM,https://github.com/google-ai-edge/LiteRT-LM,Pas de description,C++,2055,215,483 stars today,ai-edge-bot; protobird-git; whhone; matthewchan-g; hheydary
2,ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,LLM inference in C/C++,C++,102081,16471,267 stars today,ggerganov; ngxson; slaren; JohannesGaessler; CISC
3,telegramdesktop/tdesktop,https://github.com/telegramdesktop/tdesktop,Telegram Desktop messaging app,C++,31199,6552,187 stars today,john-preston; 23rd; ilya-fedin; claude; auchri
4,jrouwe/JoltPhysics,https://github.com/jrouwe/JoltPhysics,A multi core friendly rigid body physics and collision detection library. Written in C++. Suitable for games and VR applications. Used by Horizon Forbidden West and Death Stranding 2.,C++,10086,693,128 stars today,jrouwe; mihe; dependabot; stephengold; SirLynix
5,LizardByte/Sunshine,https://github.com/LizardByte/Sunshine,Self-hosted game stream host for Moonlight.,C++,35835,1819,28 stars today,ReenigneArcher; cgutman; dependabot; LizardByte-bot; loki-47-6F-64
6,amnezia-vpn/amnezia-client,https://github.com/amnezia-vpn/amnezia-client,Amnezia VPN Client (Desktop+Mobile),C++,11152,802,27 stars today,pokamest; Nethius; albexk; outspace; vkamn
7,official-stockfish/Stockfish,https://github.com/official-stockfish/Stockfish,A free and strong UCI chess engine,C++,15203,2848,12 stars today,mcostalba; vondele; snicolet; FauziAkram; Vizvezdenec
8,luanti-org/luanti,https://github.com/luanti-org/luanti,Luanti (formerly Minetest) is an open source voxel game-creation platform with easy modding and game creation,C++,12616,2282,68 stars today,celeron55; sfan5; nerzhul; paramat; SmallJoker
9,TrinityCore/TrinityCore,https://github.com/TrinityCore/TrinityCore,"TrinityCore Open Source MMO Framework (master = 12.0.1.66709, 3.3.5 = 3.3.5a.12340, cata classic = 4.4.2.60895)",C++,10497,6294,5 stars today,Shauren; Vincent-Michael; DDuarte; Aokromes; Killyana
10,esphome/esphome,https://github.com/esphome/esphome,"ESPHome is a system to control your ESP32, ESP8266, BK72xx, RP2040 by simple yet powerful configuration files and control them remotely through Home Automation systems.",C++,10838,5164,9 stars today,jesserockz; bdraco; OttoWinter; dependabot; swoboda1337
11,azerothcore/azerothcore-wotlk,https://github.com/azerothcore/azerothcore-wotlk,Complete Open Source and Modular solution for MMO,C++,8156,3272,4 stars today,github-actions; Nyeriah; Kitzunu; UltraNix; Gultask
12,OrcaSlicer/OrcaSlicer,https://github.com/OrcaSlicer/OrcaSlicer,"G-code generator for 3D printers (Bambu, Prusa, Voron, VzBot, RatRig, Creality, etc.)",C++,13199,1987,15 stars today,SoftFever; Noisyfox; XinZhangBambu; walterwongbbl; zhimin-zeng-bambulab
13,love2d/love,https://github.com/love2d/love,LÖVE is an awesome 2D game framework for Lua.,C++,8131,574,211 stars today,slime73; bartbes; bmelts; nikeinikei; MikuAuahDark
14,google-ai-edge/LiteRT,https://github.com/google-ai-edge/LiteRT,"LiteRT, successor to TensorFlow Lite. is Google's On-device framework for high-performance ML & GenAI deployment on edge platforms, via efficient conversion, runtime, and optimization",C++,2094,266,28 stars today,ai-edge-bot; LukeBoyer; terryheo; qukhan; YunanAZ
15,MaaXYZ/MaaFramework,https://github.com/MaaXYZ/MaaFramework,基于图像识别的自动化黑盒测试框架 | An automation black-box testing framework based on image recognition,C++,3637,398,9 stars today,MistEO; neko-para; moomiji; github-actions; weinibuliu
16,epezent/implot,https://github.com/epezent/implot,Immediate Mode Plotting,C++,6012,664,3 stars today,epezent; brenocq; ozlb; ocornut; sergeyn
17,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone,C++,194513,75253,42 stars today,tensorflower-gardener; ezhulenev; akuegel; hawkinsp; mihaimaruseac
18,google/gemma.cpp,https://github.com/google/gemma.cpp,"lightweight, standalone C++ inference engine for Google's Gemma models.",C++,6813,613,10 stars today,jan-wassenberg; copybara-github; danielkeysers; ufownl; austinvhuang
19,FreeCAD/FreeCAD,https://github.com/FreeCAD/FreeCAD,"Official source code of FreeCAD, a free and opensource multiplatform 3D parametric modeler.",C++,30129,5384,29 stars today,wwmayer; yorikvanhavre; berndhahnebach; chennes; WandererFan
20,PCSX2/pcsx2,https://github.com/PCSX2/pcsx2,PCSX2 - The Playstation 2 Emulator,C++,14671,1928,8 stars today,gregory38; stenzek; refractionpcsx2; lightningterror; TellowKrinkle
21,google-ai-edge/mediapipe,https://github.com/google-ai-edge/mediapipe,"Cross-platform, customizable ML solutions for live and streaming media.",C++,34569,5882,18 stars today,schmidt-sebastian; priankakariat; kinarr; kuaashish; camillol
22,MaaAssistantArknights/MaaAssistantArknights,https://github.com/MaaAssistantArknights/MaaAssistantArknights,"《明日方舟》小助手，全日常一键长草！| A one-click tool for the daily tasks of Arknights, supporting all clients.",C++,20211,2539,13 stars today,MistEO; ABA2396; status102; Constrat; github-actions
23,qbittorrent/qBittorrent,https://github.com/qbittorrent/qBittorrent,qBittorrent BitTorrent client,C++,36375,4609,21 stars today,Chocobo1; sledgehammer999; glassez; Piccirello; zeule
24,openscad/openscad,https://github.com/openscad/openscad,OpenSCAD - The Programmers Solid 3D CAD Modeller,C++,9127,1492,4 stars today,kintel; t-paul; donbright; thehans; MichaelPFrey
