Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,google-ai-edge/LiteRT-LM,https://github.com/google-ai-edge/LiteRT-LM,Pas de description,C++,2588,253,528 stars today,ai-edge-bot; protobird-git; whhone; matthewchan-g; hheydary
2,tdlib/td,https://github.com/tdlib/td,Cross-platform library for building Telegram clients,C++,8650,2013,4 stars today,levlam; arseny30; AYMENJD; FrayxRulez; isopen
3,ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,LLM inference in C/C++,C++,102381,16531,476 stars today,ggerganov; ngxson; slaren; JohannesGaessler; CISC
4,jrouwe/JoltPhysics,https://github.com/jrouwe/JoltPhysics,A multi core friendly rigid body physics and collision detection library. Written in C++. Suitable for games and VR applications. Used by Horizon Forbidden West and Death Stranding 2.,C++,10114,694,45 stars today,jrouwe; mihe; dependabot; stephengold; SirLynix
5,shadps4-emu/shadPS4,https://github.com/shadps4-emu/shadPS4,"PlayStation 4 emulator for Windows, Linux, macOS and FreeBSD written in C++",C++,30692,2082,11 stars today,georgemoralis; squidbus; raphaelthegreat; psucien; StevenMiller123
6,nomic-ai/gpt4all,https://github.com/nomic-ai/gpt4all,GPT4All: Run Local LLMs on Any Device. Open-source and available for commercial use.,C++,77307,8345,51 stars today,manyoso; cebtenzzre; AndriyMulyar; zanussbaum; apage43
7,luanti-org/luanti,https://github.com/luanti-org/luanti,Luanti (formerly Minetest) is an open source voxel game-creation platform with easy modding and game creation,C++,12662,2285,32 stars today,celeron55; sfan5; nerzhul; paramat; SmallJoker
8,telegramdesktop/tdesktop,https://github.com/telegramdesktop/tdesktop,Telegram Desktop messaging app,C++,31267,6559,60 stars today,john-preston; 23rd; ilya-fedin; claude; auchri
9,meshtastic/firmware,https://github.com/meshtastic/firmware,"The official firmware for Meshtastic, an open-source, off-grid mesh communication system.",C++,7204,2211,7 stars today,thebentern; geeksville; caveman99; mc-hamster; jp-bennett
10,godotengine/godot,https://github.com/godotengine/godot,Godot Engine – Multi-platform 2D and 3D game engine,C++,109123,24898,71 stars today,akien-mga; Repiteo; reduz; Calinou; bruvzg
11,love2d/love,https://github.com/love2d/love,LÖVE is an awesome 2D game framework for Lua.,C++,8157,574,43 stars today,slime73; bartbes; bmelts; nikeinikei; MikuAuahDark
12,klzgrad/naiveproxy,https://github.com/klzgrad/naiveproxy,Make a fortune quietly,C++,7977,971,41 stars today,klzgrad; 1715173329; dyhkwong; bashi; fbion
13,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone,C++,194574,75258,70 stars today,tensorflower-gardener; ezhulenev; akuegel; hawkinsp; mihaimaruseac
14,daijro/camoufox,https://github.com/daijro/camoufox,🦊 Anti-detect browser,C++,6815,594,68 stars today,daijro; heydryft; claude; icepaq; D4Vinci
15,duckdb/duckdb,https://github.com/duckdb/duckdb,DuckDB is an analytical in-process SQL database management system,C++,37266,3101,32 stars today,Mytherin; Tishj; pdet; hannes; taniabogatsch
16,google-ai-edge/LiteRT,https://github.com/google-ai-edge/LiteRT,"LiteRT, successor to TensorFlow Lite. is Google's On-device framework for high-performance ML & GenAI deployment on edge platforms, via efficient conversion, runtime, and optimization",C++,2120,267,23 stars today,ai-edge-bot; LukeBoyer; terryheo; qukhan; YunanAZ
17,protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,Protocol Buffers - Google's data interchange format,C++,71049,16094,7 stars today,protobuf-github-bot; haberman; protobuf-team-bot; mkruskal-google; xfxyjwf
18,leejet/stable-diffusion.cpp,https://github.com/leejet/stable-diffusion.cpp,"Diffusion model(SD,Flux,Wan,Qwen Image,Z-Image,...) inference in pure C/C++",C++,5706,581,7 stars today,leejet; wbruna; stduhpf; rmatif; Green-Sky
19,google/gemma.cpp,https://github.com/google/gemma.cpp,"lightweight, standalone C++ inference engine for Google's Gemma models.",C++,6820,614,10 stars today,jan-wassenberg; copybara-github; danielkeysers; ufownl; austinvhuang
20,ROCm/rocm-systems,https://github.com/ROCm/rocm-systems,super repo for rocm systems projects,C++,329,196,3 stars today,lmoriche; kiritigowda; marifamd; dgaliffiAMD; jrmadsen
21,esphome/esphome,https://github.com/esphome/esphome,"ESPHome is a system to control your ESP32, ESP8266, BK72xx, RP2040 by simple yet powerful configuration files and control them remotely through Home Automation systems.",C++,10848,5169,5 stars today,jesserockz; bdraco; OttoWinter; dependabot; swoboda1337
22,PX4/PX4-Autopilot,https://github.com/PX4/PX4-Autopilot,PX4 Autopilot Software,C++,11458,15268,9 stars today,LorenzMeier; dagar; bkueng; julianoes; MaEtUgR
