Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,PostHog/posthog,https://github.com/PostHog/posthog,"🦔 PostHog is the leading platform for building self-driving products. Our developer tools – AI observability, analytics, session replay, flags, experiments, error tracking, logs, and more – capture all the context agents need to diagnose problems, uncover opportunities, and ship fixes. Steer it all from Slack, web, desktop, or the MCP.",Python,36214,3010,438 stars today,github-actions; pauldambra; Twixes; mariusandra; claude
2,tirth8205/code-review-graph,https://github.com/tirth8205/code-review-graph,"Local-first code intelligence graph for MCP and CLI. Builds a persistent map of your codebase so AI coding tools read only what matters, with benchmarked context reductions on reviews and large-repo workflows.",Python,19774,2109,74 stars today,tirth8205; claude; michael-denyer; gzenz; Minidoracat
3,RyanCodrai/turbovec,https://github.com/RyanCodrai/turbovec,"A vector index built on TurboQuant, written in Rust with Python bindings",Python,13337,1179,280 stars today,RyanCodrai; claude; faysou; nicolas-geysse; Pringled
4,HKUDS/DeepTutor,https://github.com/HKUDS/DeepTutor,DeepTutor: Lifelong Personalized Tutoring. https://deeptutor.info/.,Python,27391,3649,531 stars today,pancacake; Pinkllow; github-actions; claude; tusharkhatriofficial
5,aws/agent-toolkit-for-aws,https://github.com/aws/agent-toolkit-for-aws,"Official, AWS-supported MCP servers, skills, and plugins to help AI agents build on AWS",Python,1946,176,34 stars today,arnewouters; rshevchuk-git; anasstahr; kelvinau; bfreiberg
6,Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,"100+ AI Agent & RAG apps you can actually run — clone, customize, ship.",Python,123630,18220,951 stars today,Shubhamsaboo; Madhuvod; claude; onestardao; libw0430
7,android/skills,https://github.com/android/skills,Pas de description,Python,6247,354,14 stars today,android-devrel-github-bot; JoseAlcerreca; simona-anomis; bentrengrove; gemini-code-assist
8,rohitg00/ai-engineering-from-scratch,https://github.com/rohitg00/ai-engineering-from-scratch,Learn it. Build it. Ship it for others.,Python,38792,6504,232 stars today,rohitg00; github-actions; abhinav-m22; thereisnotime; pzy0006
9,Graphify-Labs/graphify,https://github.com/Graphify-Labs/graphify,"AI coding assistant skill (Claude Code, Codex, OpenCode, Cursor, Gemini CLI, and more). Turn any folder of code, SQL schemas, R scripts, shell scripts, docs, papers, images, or videos into a queryable knowledge graph. App code + database schema + infrastructure in one graph.",Python,90306,8815,"1,360 stars today",safishamsi; claude; TPAteeq; oleksii-tumanov; Synvoya
10,ROCm/TheRock,https://github.com/ROCm/TheRock,The HIP Environment and ROCm Kit - A lightweight open source build system for HIP and ROCm,Python,1149,288,5 stars today,ScottTodd; marbre; geomin12; claude; stellaraccident
11,521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,"分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub.",Python,165742,12342,208 stars today,521xueweihan; yaowenqiang; daixiang0; zirnc; hibobby
12,PurpleAILAB/Decepticon,https://github.com/PurpleAILAB/Decepticon,Autonomous Hacking Agent for Red Team,Python,4800,937,28 stars today,PurpleCHOIms; NetVar1337; claude; dependabot; Lempkey
13,open-telemetry/semantic-conventions-genai,https://github.com/open-telemetry/semantic-conventions-genai,Pas de description,Python,170,58,6 stars today,trask; joaopgrassi; lmolkova; arminru; jsuereth
14,ccxt/ccxt,https://github.com/ccxt/ccxt,A cryptocurrency trading API with more than 100 crypto and prediction exchanges in JavaScript / TypeScript / Python / C# / PHP / Go / Java,Python,43323,8743,7 stars today,kroitor; github-actions; carlosmiei; ttodua; frosty00
