Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,anthropics/claude-plugins-official,https://github.com/anthropics/claude-plugins-official,"Official, Anthropic-managed directory of high quality Claude Code Plugins.",Python,26586,2862,"2,193 stars today",bryan-anthropic; tobinsouth; claude; k6l3; noahzweben
2,rohitg00/ai-engineering-from-scratch,https://github.com/rohitg00/ai-engineering-from-scratch,Learn it. Build it. Ship it for others.,Python,13926,2603,"1,521 stars today",rohitg00; abhinav-m22; thereisnotime; pzy0006; abhishek-marathe04
3,Fincept-Corporation/FinceptTerminal,https://github.com/Fincept-Corporation/FinceptTerminal,"FinceptTerminal is a modern finance application offering advanced market analytics, investment research, and economic data tools, designed for interactive exploration and data-driven decision-making in a user-friendly environment.",Python,23169,3197,545 stars today,tilakpatel22; claude; Jaimin-ptl07; github-actions; rudrasheth
4,mukul975/Anthropic-Cybersecurity-Skills,https://github.com/mukul975/Anthropic-Cybersecurity-Skills,"754 structured cybersecurity skills for AI agents · Mapped to 5 frameworks: MITRE ATT&CK, NIST CSF 2.0, MITRE ATLAS, D3FEND & NIST AI RMF · agentskills.io standard · Works with Claude Code, GitHub Copilot, Codex CLI, Cursor, Gemini CLI & 20+ platforms · 26 security domains · Apache 2.0",Python,7522,1014,281 stars today,mukul975; juliosuas; claude; claude
5,odoo/odoo,https://github.com/odoo/odoo,Odoo. Open Source Apps To Grow Your Business.,Python,51521,32531,386 stars today,tde-banana-odoo; fpodoo; xmo-odoo; KangOl; odony
6,NVlabs/LongLive,https://github.com/NVlabs/LongLive,LongLive 2.0: Infra - Long Video Gen,Python,1842,170,94 stars today,yukang2017; AndysonYs; yondonfu; sanshuiii; cmyk-26nv
7,yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,A feature-rich command-line audio/video downloader,Python,165014,13861,759 stars today,dstftw; phihag; pukkandan; remitamine; jaimeMF
8,NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,The agent that grows with you,Python,164574,27052,"1,331 stars today",teknium1; OutThisLife; kshitijk4poor; claude; 0xbyt4
9,Alishahryar1/free-claude-code,https://github.com/Alishahryar1/free-claude-code,"Use claude-code for free in the terminal, VSCode extension or discord like OpenClaw (voice supported)",Python,28661,4294,565 stars today,Alishahryar1; cursoragent; claude; dependabot; rishiskhare
10,databricks-solutions/ai-dev-kit,https://github.com/databricks-solutions/ai-dev-kit,Databricks Toolkit for Coding Agents provided by Field Engineering,Python,1556,334,4 stars today,calreynolds; claude; dustinvannoy-db; malcolndandaro; cursoragent
11,plastic-labs/honcho,https://github.com/plastic-labs/honcho,Memory library for building stateful agents,Python,4117,480,112 stars today,VVoruganti; Rajat-Ahuja1997; dr-frmr; vintrocode; ajspig
12,google-research/timesfm,https://github.com/google-research/timesfm,TimesFM (Time Series Foundation Model) is a pretrained time-series foundation model developed by Google Research for time-series forecasting.,Python,20080,1950,63 stars today,rajatsen91; siriuz42; misha-chertushkin; darkpowerxo; JustinGuese
13,crewAIInc/crewAI,https://github.com/crewAIInc/crewAI,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.",Python,52042,7211,53 stars today,joaomdmoura; greysonlalonde; lorenzejay; bhancockio; lucasgomide
14,pydantic/pydantic-ai,https://github.com/pydantic/pydantic-ai,"AI Agent Framework, the Pydantic way",Python,17244,2125,19 stars today,DouweM; Kludex; samuelcolvin; dmontagu; claude
15,OpenPipe/ART,https://github.com/OpenPipe/ART,"Agent Reinforcement Trainer: train multi-step agents for real-world tasks using GRPO. Give your agents on-the-job training. Reinforcement learning for Qwen3.6, GPT-OSS, Llama, and more!",Python,9808,867,44 stars today,bradhilton; arcticfly; corbt; saum7800; claude
