Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,openai/codex,https://github.com/openai/codex,Lightweight coding agent that runs in your terminal,Rust,115227,17568,"2,715 stars today",jif-oai; bolinfest; aibrahim-oai; etraut-openai; pakrym-oai
2,AprilNEA/OpenLogi,https://github.com/AprilNEA/OpenLogi,"⚡️A native, local-first alternative to Logitech Options+, written in Rust 🦀 — remap buttons, DPI, and SmartShift over HID++. No account, no telemetry.",Rust,14963,403,"1,009 stars today",AprilNEA; davidbudnick; aprilnea; cserby; github-actions
3,block/buzz,https://github.com/block/buzz,A hive mind communication platform,Rust,30119,3829,410 stars today,wesbillman; wpfleger96; tlongwell-block; claude; klopez4212
4,tinyhumansai/openhuman,https://github.com/tinyhumansai/openhuman,"Your Personal AI super intelligence. A brain that builds a local-first memory of your life, a fantastic orchestrator of agent fleets and workflows, and a deep researcher.",Rust,36761,3670,39 stars today,senamakel; medullabot; graycyrus; claude; M3gA-Mind
5,dani-garcia/vaultwarden,https://github.com/dani-garcia/vaultwarden,"Unofficial Bitwarden compatible server written in Rust, formerly known as bitwarden_rs",Rust,65965,3126,78 stars today,dani-garcia; BlackDex; jjlin; mprasil; stefan0xC
6,nautechsystems/nautilus_trader,https://github.com/nautechsystems/nautilus_trader,Production-grade Rust-native trading engine with deterministic event-driven architecture,Rust,27521,3556,174 stars today,cjdsellers; limx0; filipmacek; faysou; davidsblom
7,biomejs/biome,https://github.com/biomejs/biome,"A toolchain for web projects, aimed to provide functionalities to maintain them. Biome offers formatter and linter, usable via CLI and LSP.",Rust,25630,1200,9 stars today,ematipico; Conaclos; sebmck; renovate; dyc3
8,vercel/turborepo,https://github.com/vercel/turborepo,"Build system optimized for JavaScript and TypeScript, written in Rust",Rust,30991,2423,15 stars today,anthonyshew; sokra; chris-olszewski; tknickman; jaredpalmer
9,sinelaw/fresh,https://github.com/sinelaw/fresh,"Terminal based IDE & text editor: easy, powerful and fast",Rust,8478,316,27 stars today,claude; sinelaw; PavelLoparev; asukaminato0721; dependabot
10,slint-ui/slint,https://github.com/slint-ui/slint,"Slint is an open-source declarative GUI toolkit to build native user interfaces for Rust, C++, JavaScript, or Python apps.",Rust,23542,970,15 stars today,tronical; ogoffart; hunger; NigelBreslaw; dependabot
11,us/crw,https://github.com/us/crw,"Fast, lightweight Firecrawl/Tavily alternative in Rust. Web scraper, crawler & search API with MCP server for AI agents. Drop-in Firecrawl-compatible API (/scrape, /crawl, /search). 2.3x faster than Tavily, 1.5x faster than Firecrawl in 1K-URL benchmarks. 6 MB RAM, single binary. Self-host or use managed cloud.",Rust,702,51,38 stars today,us; github-actions; dependabot; claude; santhreal
12,windmill-labs/windmill,https://github.com/windmill-labs/windmill,"Open-source developer platform to power your entire infra and turn scripts into webhooks, workflows and UIs. Fastest workflow engine (13x vs Airflow). Open-source alternative to Retool and Temporal.",Rust,17647,1080,20 stars today,rubenfiszel; claude; hugocasa; fatonramadani; centdix
13,oven-sh/bun,https://github.com/oven-sh/bun,"Incredibly fast JavaScript runtime, bundler, test runner, and package manager – all in one",Rust,95615,4993,43 stars today,Jarred-Sumner; robobun; dylan-conway; autofix-ci; nektro
14,gitbutlerapp/gitbutler,https://github.com/gitbutlerapp/gitbutler,"The GitButler version control client, backed by Git, powered by Tauri/Rust/Svelte",Rust,21554,1012,8 stars today,estib-vega; OliverJAsh; mtsgrd; Byron; PavelLaptev
15,oxc-project/oxc,https://github.com/oxc-project/oxc,⚓ A collection of high-performance JavaScript tools.,Rust,22453,1234,12 stars today,Boshen; overlookmotel; camc314; Dunqing; leaysgur
16,ruvnet/RuView,https://github.com/ruvnet/RuView,"π RuView turns commodity WiFi signals into real-time spatial intelligence, vital sign monitoring, and presence detection — all without a single pixel of video.",Rust,91409,12144,111 stars today,ruvnet; claude; proffesor-for-testing; dependabot; github-actions
17,rust-lang/rust-analyzer,https://github.com/rust-lang/rust-analyzer,A Rust compiler front-end for IDEs,Rust,16781,2200,5 stars today,bors; matklad; bors; Veykril; github-merge-queue
18,gfx-rs/wgpu,https://github.com/gfx-rs/wgpu,"A cross-platform, safe, pure-Rust graphics API.",Rust,17847,1407,7 stars today,kvark; bors; cwfitzgerald; jimblandy; teoxoy
