Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,Tencent/BrowserSkill,https://github.com/Tencent/BrowserSkill,"Let AI agents use your real, logged-in browser without interrupting your work. CLI + extension for browser automation across any shell-capable AI agent.",TypeScript,4373,306,"1,302 stars today",TencentXiaowei; Ljy-0827; iuyo5678; BB-fat; cursoragent
2,anthropics/claude-code,https://github.com/anthropics/claude-code,"Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and helps you code faster by executing routine tasks, explaining complex code, and handling git workflows - all through natural language commands.",TypeScript,145924,23647,538 stars today,actions-user; poteat; bcherny; claude; ant-kurt
3,jamiepine/voicebox,https://github.com/jamiepine/voicebox,"The open-source AI voice studio. Clone, dictate, create.",TypeScript,54911,6832,667 stars today,jamiepine; claude; tomasmach; mvanhorn; selop
4,ever-co/ever-gauzy,https://github.com/ever-co/ever-gauzy,Ever® Gauzy™ - Open Business Management Platform (ERP/CRM/HRM/ATS/PM) - https://gauzy.co,TypeScript,7593,1127,470 stars today,rahul-rocket; evereq; adkif; claude; AlexTasev
5,cline/cline,https://github.com/cline/cline,"Autonomous coding agent as an SDK, IDE extension, or CLI assistant.",TypeScript,68593,7418,380 stars today,saoudrizwan; abeatrix; celestial-vault; arafatkatze; BarreiroT
6,n8n-io/n8n,https://github.com/n8n-io/n8n,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",TypeScript,205068,60748,281 stars today,janober; claude; ivov; netroy; RicardoE105
7,supabase/supabase,https://github.com/supabase/supabase,"The Postgres development platform. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications.",TypeScript,109929,14174,586 stars today,joshenlim; kiwicopple; MildTomato; saltcod; alaister
8,CodebuffAI/freebuff,https://github.com/CodebuffAI/freebuff,The free coding agent,TypeScript,12280,1314,97 stars today,github-actions; jahooma; brandonkachen; charleslien; venkr
9,EveryInc/compound-engineering-plugin,https://github.com/EveryInc/compound-engineering-plugin,"Official Compound Engineering plugin for Claude Code, Codex, Cursor, and more",TypeScript,25139,2059,46 stars today,tmchow; claude; kieranklaassen; github-actions; mvanhorn
10,freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free.",TypeScript,455701,46559,111 stars today,ojeytonwilliams; raisedadead; camperbot; renovate; renovate-bot
11,vitest-dev/vitest,https://github.com/vitest-dev/vitest,Next generation testing framework powered by Vite.,TypeScript,17118,2003,37 stars today,sheremet-va; antfu; hi-ogawa; AriPerkkio; renovate
12,Stirling-Tools/Stirling-PDF,https://github.com/Stirling-Tools/Stirling-PDF,#1 PDF Application on GitHub that lets you edit PDFs on any device anywhere,Java,92457,8759,128 stars today,Frooodle; dependabot; Ludy87; jbrunton96; reecebrowne
13,vercel/eve,https://github.com/vercel/eve,The Open Framework for Building Agents,TypeScript,5243,566,173 stars today,AndrewBarba; ruiconti; github-actions; cmpadden; ctgowrie
14,danny-avila/LibreChat,https://github.com/danny-avila/LibreChat,"Enhanced ChatGPT Clone: Features Agents, MCP, Skills, DeepSeek, Anthropic, AWS, OpenAI, Responses API, Azure, Groq, o1, GPT-5, Mistral, OpenRouter, Vertex AI, Gemini, Artifacts, AI model switching, message search, Code Interpreter, langchain, DALL-E-3, OpenAPI Actions, Functions, Secure Multi-User Auth, Presets, open-source for self-hosting. Active",TypeScript,44250,9096,320 stars today,danny-avila; berry-13; github-actions; dustinhealy; wtlyu
15,actualbudget/actual,https://github.com/actualbudget/actual,A local-first personal finance app,TypeScript,28982,2992,65 stars today,MatissJanis; matt-fidd; joel-jeremy; j-f1; github-actions
16,fosrl/pangolin,https://github.com/fosrl/pangolin,"Modern networking and security platform providing secure access and connectivity to apps, infrastructure, and AI workloads. Connect and protect your users.",TypeScript,22799,788,55 stars today,oschwartz10612; miloschwartz; Fredkiss3; dependabot; Lokowitz
17,rowboatlabs/rowboat,https://github.com/rowboatlabs/rowboat,The multiplayer personal assistant for work,TypeScript,17885,1779,304 stars today,ramnique; arkml; claude; akhisud3195; tusharmagar
18,wonderwhy-er/DesktopCommanderMCP,https://github.com/wonderwhy-er/DesktopCommanderMCP,"This is MCP server for Claude that gives it terminal control, file system search and diff file editing capabilities",TypeScript,9628,1191,39 stars today,wonderwhy-er; serg33v; edgarsskore; claude; dmitry-ottic-ai
19,immich-app/immich,https://github.com/immich-app/immich,High performance self-hosted photo and video management solution.,TypeScript,114485,6983,100 stars today,alextran1502; jrasm91; renovate; danieldietzler; shenlong-tanwen
