Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,ruvnet/RuView,https://github.com/ruvnet/RuView,"π RuView: WiFi DensePose turns commodity WiFi signals into real-time human pose estimation, vital sign monitoring, and presence detection — all without a single pixel of video.",Rust,47570,6395,149 stars today,ruvnet; claude; fr4iser90; MaTriXy; TropicalDog17
2,starship/starship,https://github.com/starship/starship,"☄🌌️ The minimal, blazing-fast, and infinitely customizable prompt for any shell!",Rust,56640,2481,79 stars today,renovate; matchai; davidkna; dependabot; dependabot-preview
3,atuinsh/atuin,https://github.com/atuinsh/atuin,✨ Making your shell magical,Rust,29365,835,92 stars today,ellie; dependabot; BinaryMuse; conradludgate; akinomyoga
4,dandavison/delta,https://github.com/dandavison/delta,"A syntax-highlighting pager for git, diff, grep, rg --json, and blame output",Rust,30326,523,95 stars today,dandavison; th1000s; dependabot-preview; dependabot; nickelc
5,ajeetdsouza/zoxide,https://github.com/ajeetdsouza/zoxide,A smarter cd command. Supports all major shells.,Rust,35810,797,79 stars today,ajeetdsouza; dependabot; cole-h; alin23; sitiom
6,dora-rs/dora,https://github.com/dora-rs/dora,"DORA (Dataflow-Oriented Robotic Architecture) is middleware designed to streamline and simplify the creation of AI-based robotic applications. It offers low latency, composable, and distributed dataflow capabilities. Applications are modeled as directed graphs, also referred to as pipelines.",Rust,3657,382,38 stars today,phil-opp; haixuanTao; eduidl; claude; ShashwatPatil
7,GyulyVGC/sniffnet,https://github.com/GyulyVGC/sniffnet,Comfortably monitor your Internet traffic 🕵️‍♂️,Rust,34472,1258,145 stars today,GyulyVGC; dependabot; allcontributors; Crirock; colin99d
8,fathyb/carbonyl,https://github.com/fathyb/carbonyl,Chromium running inside your terminal,Rust,18787,527,73 stars today,fathyb; licy183; kianmeng; glensc; reynoldsme
9,tw93/Kaku,https://github.com/tw93/Kaku,"🎃 A fast, out-of-the-box terminal built for AI coding.",Rust,4447,224,220 stars today,wez; tw93; github-actions; bew; tzx
10,Pumpkin-MC/Pumpkin,https://github.com/Pumpkin-MC/Pumpkin,Empowering everyone to host fast and efficient Minecraft servers.,Rust,7458,500,9 stars today,Snowiiii; kralverde; Bryntet; lukas0008; Purdze
11,sxyazi/yazi,https://github.com/sxyazi/yazi,"💥 Blazing fast terminal file manager written in Rust, based on async I/O.",Rust,36756,820,98 stars today,sxyazi; jnsgruk; ndtoan96; mikavilpas; XYenon
12,sharkdp/bat,https://github.com/sharkdp/bat,A cat(1) clone with wings.,Rust,58372,1532,63 stars today,sharkdp; keith-hall; dependabot; Enselic; eth-p
13,rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,"An open-source remote desktop application designed for self-hosting, as an alternative to TeamViewer.",Rust,112339,16789,408 stars today,rustdesk; fufesou; 21pages; Kingtous; Heap-Hop
14,superradcompany/microsandbox,https://github.com/superradcompany/microsandbox,"🧱 secure, local, cross-platform and programmable sandboxes for AI agents",Rust,5576,264,39 stars today,appcypher; toksdotdev; dependabot; github-actions; dijdzv
15,embassy-rs/embassy,https://github.com/embassy-rs/embassy,"Modern embedded framework, using Rust and async.",Rust,9085,1449,2 stars today,Dirbaio; xoviat; lulf; bors; jamesmunns
16,gleam-lang/gleam,https://github.com/gleam-lang/gleam,"⭐️ A friendly language for building type-safe, scalable systems!",Rust,21372,945,2 stars today,lpil; giacomocavalieri; GearsDatapacks; tomwhatmore; Acepie
