Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,paxx12/SnapmakerU1-Extended-Firmware,https://github.com/paxx12/SnapmakerU1-Extended-Firmware,Custom and repackaged Snapmaker U1 firmware,C,470,60,9 stars today,paxx12; horzadome; QuinnDamerell; justinh-rahb; suchmememanyskill
2,zephyrproject-rtos/zephyr,https://github.com/zephyrproject-rtos/zephyr,"Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures.",C,14815,8867,11 stars today,nashif; jukkar; galak; gmarull; cvinayak
3,PufferAI/PufferLib,https://github.com/PufferAI/PufferLib,Simplifying reinforcement learning for complex game environments,C,5310,415,12 stars today,jsuarez5341; l1onh3art88; kywch; PLAZMAMA; Kinvert
4,git/git,https://github.com/git/git,Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.,C,59930,27701,29 stars today,gitster; peff; dscho; pks-t; avar
5,taosdata/TDengine,https://github.com/taosdata/TDengine,"High-performance, scalable time-series database designed for Industrial IoT (IIoT) scenarios",C,24791,5003,5 stars today,guanshengliang; hjxilinx; hzcheng; dapan1121; yihaoDeng
6,portapack-mayhem/mayhem-firmware,https://github.com/portapack-mayhem/mayhem-firmware,The firmware for the HackRF+PortaPack H1/H2/H4/H4M,C,4986,852,4 stars today,jboone; eried; gullradriel; NotherNgineer; furrtek
7,hathach/tinyusb,https://github.com/hathach/tinyusb,An open source cross-platform USB stack for embedded system,C,6640,1385,4 stars today,hathach; HiFiPhile; pigrew; kkitayam; cr1901
8,nginx/nginx,https://github.com/nginx/nginx,The official NGINX Open Source repository.,C,29782,7824,10 stars today,mdounin; arut; vl-homutov; VBart; pluknet
9,openssl/openssl,https://github.com/openssl/openssl,TLS/SSL and crypto library,C,29842,11156,20 stars today,levitte; mattcaswell; dot-asm; paulidale; snhenson
10,nanopb/nanopb,https://github.com/nanopb/nanopb,Protocol Buffers with small code size,C,5276,998,3 stars today,PetteriAimonen; kylemanna; oliverlee; joshstrohminger; theunkn0wn1
11,Cyan4973/xxHash,https://github.com/Cyan4973/xxHash,Extremely fast non-cryptographic hash algorithm,C,10954,890,3 stars today,Cyan4973; easyaspi314; t-mat; dependabot; WayneD
12,DoctorWkt/acwj,https://github.com/DoctorWkt/acwj,A Compiler Writing Journey,C,13112,1181,80 stars today,the-grue; DoctorWkt; caballeto; davidbuzz; zuluoaaa
13,containers/bubblewrap,https://github.com/containers/bubblewrap,Low-level unprivileged sandboxing tool used by Flatpak and similar projects,C,6294,299,25 stars today,smcv; alexlarsson; cgwalters; giuseppe; pwithnall
14,sonic-net/sonic-buildimage,https://github.com/sonic-net/sonic-buildimage,Scripts which perform an installable binary image build for SONiC,C,943,1772,0 stars today,mssonicbld; lguohan; jleveque; qiluo-msft; saiarcot895
15,libarchive/libarchive,https://github.com/libarchive/libarchive,Multi-format archive and compression library,C,3451,904,2 stars today,kientzle; ggcueroad; mmatuska; amejia1; stoeckmann
16,the-tcpdump-group/libpcap,https://github.com/the-tcpdump-group/libpcap,the LIBpcap interface to various kernel packet capture mechanism,C,3080,926,1 star today,guyharris; infrastation; yuguy; fxlb; mcr
