Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,microsoft/PowerToys,https://github.com/microsoft/PowerToys,Microsoft PowerToys is a collection of utilities that supercharge productivity and customization on Windows,C,136444,8365,39 stars today,crutkas; bao-qian; qianlifeng; jaimecbernardo; niels9001
2,apache/httpd,https://github.com/apache/httpd,Mirror of Apache HTTP Server. Issues: http://issues.apache.org,C,4125,1413,4 stars today,wrowe; trawick; rbowen; notroj; jimjag
3,nginx/nginx,https://github.com/nginx/nginx,The official NGINX Open Source repository.,C,31264,8197,22 stars today,mdounin; arut; vl-homutov; VBart; pluknet
4,git/git,https://github.com/git/git,Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.,C,61977,28126,15 stars today,gitster; peff; dscho; pks-t; avar
5,redcanaryco/atomic-red-team,https://github.com/redcanaryco/atomic-red-team,Small and highly portable detection tests based on MITRE's ATT&CK.,C,12212,3163,12 stars today,clr2of8; MHaggis; cyberbuff; patel-bhavin; josehelps
6,madler/zlib,https://github.com/madler/zlib,A massively spiffy yet delicately unobtrusive compression library.,C,6968,2805,4 stars today,madler; nmoinvaz; Chi-Iroh; DimitriPapadopoulos; Vollstrecker
7,pgbouncer/pgbouncer,https://github.com/pgbouncer/pgbouncer,lightweight connection pooler for PostgreSQL,C,4245,578,3 stars today,markokr; petere; JelteF; eulerto; emelsimsek
8,DeusData/codebase-memory-mcp,https://github.com/DeusData/codebase-memory-mcp,"High-performance code intelligence MCP server. Indexes codebases into a persistent knowledge graph — average repo in milliseconds. 158 languages, sub-ms queries, 99% fewer tokens. Single static binary, zero dependencies.",C,30189,2408,475 stars today,DeusData; shanemccarron-maker; claude; dependabot; mvanhorn
9,wolfSSL/wolfssl,https://github.com/wolfSSL/wolfssl,"The wolfSSL library is a small, fast, portable implementation of TLS/SSL for embedded devices to the cloud. wolfSSL supports up to TLS 1.3 and DTLS 1.3! Update to wolfSSL 5.9.1 for the latest CVE fixes.",C,2869,1007,0 stars today,dgarske; toddouska; JacobBarthelmeh; douzzer; SparkiDev
10,coturn/coturn,https://github.com/coturn/coturn,coturn TURN server project,C,14188,2265,1 star today,misi; eakraly; tyranron; mom040267; ggarber
11,HarbourMasters/Shipwright,https://github.com/HarbourMasters/Shipwright,Pas de description,C,5092,781,5 stars today,briaguya0; serprex; Malkierian; Archez; garrettjoecox
12,containers/bubblewrap,https://github.com/containers/bubblewrap,Low-level unprivileged sandboxing tool used by Flatpak and similar projects,C,7926,363,8 stars today,smcv; alexlarsson; cgwalters; giuseppe; pwithnall
13,FreeRTOS/FreeRTOS-Kernel,https://github.com/FreeRTOS/FreeRTOS-Kernel,"FreeRTOS kernel files only, submoduled into https://github.com/FreeRTOS/FreeRTOS and various other repos.",C,4339,1571,2 stars today,RichardBarry; aggarg; kar-rahul-aws; chinglee-iot; Skptak
14,karpathy/llama2.c,https://github.com/karpathy/llama2.c,Inference Llama 2 in one file of pure C,C,19717,2573,4 stars today,karpathy; mpcusack-color; atamurad; richinseattle; tairov
15,Filoppi/Luma-Framework,https://github.com/Filoppi/Luma-Framework,"Luma is DX11 games modding framework based on the ReShade Addon system. Multiple mods are currently included, the biggest one being Prey (2017), which refactors its post processing rendering phase (e.g. adding HDR support, DLSS). Mod list here: https://github.com/Filoppi/Luma-Framework/wiki",C,674,31,3 stars today,Filoppi; Izueh; garamond13; kstuedem; ersh1
16,libgit2/libgit2,https://github.com/libgit2/libgit2,"A cross-platform, linkable library implementation of Git that you can use in your application.",C,10524,2609,0 stars today,ethomson; carlosmn; pks-t; arrbee; nulltoken
17,pbatard/rufus,https://github.com/pbatard/rufus,The Reliable USB Formatting Utility,C,36854,3111,17 stars today,pbatard; bovirus; ThiloL; MehmetaliKuran; Sopor
18,CTCaer/hekate,https://github.com/CTCaer/hekate,hekate - A GUI based Nintendo Switch Bootloader,C,8514,668,4 stars today,CTCaer; rajkosto; balika011; nicholemattera; st4rk
19,ThrowTheSwitch/Unity,https://github.com/ThrowTheSwitch/Unity,Simple unit testing for C,C,5299,1123,3 stars today,mvandervoord; jsalling; farrrb; jlindgren90; dreamer-coding
