Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,TencentCloud/TencentDB-Agent-Memory,https://github.com/TencentCloud/TencentDB-Agent-Memory,"TencentDB Agent Memory delivers fully local long-term memory for AI Agents via a 4-tier progressive pipeline, with zero external API dependencies.",TypeScript,7742,715,318 stars today,Yuntong8888; Maxwell-Code07; Huang10q; YOMXXX; akhilesharora
2,prisma/prisma,https://github.com/prisma/prisma,"Next-generation ORM for Node.js & TypeScript | PostgreSQL, MySQL, MariaDB, SQL Server, SQLite, MongoDB and CockroachDB",TypeScript,46610,2283,46 stars today,timsuchanek; prisma-bot; Jolg42; renovate; nikolasburk
3,wonderwhy-er/DesktopCommanderMCP,https://github.com/wonderwhy-er/DesktopCommanderMCP,"This is MCP server for Claude that gives it terminal control, file system search and diff file editing capabilities",TypeScript,6404,750,28 stars today,wonderwhy-er; serg33v; edgarsskore; claude; dmitry-ottic-ai
4,dream-num/univer,https://github.com/dream-num/univer,Univer is a full-stack framework for creating and editing spreadsheets / word processor / presentation on both web and server.,TypeScript,13735,1231,131 stars today,jikkai; wzhudev; Dushusir; DR-Univer; wpxp123456
5,hcengineering/platform,https://github.com/hcengineering/platform,"Huly — All-in-One Project Management Platform (alternative to Linear, Jira, Slack, Notion, Motion)",TypeScript,26814,2013,42 stars today,haiodo; BykhovDenis; aonnikov; SasLord; kristina-fefelova
6,puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,JavaScript API for Chrome and Firefox,TypeScript,95309,9481,26 stars today,OrKoN; release-please; aslushnikov; dependabot; Lightning00Blade
7,dyad-sh/dyad,https://github.com/dyad-sh/dyad,"Local, open-source AI app builder for power users ✨ v0 / Lovable / Replit / Bolt alternative 🌟 Star if you like it!",TypeScript,20874,2509,20 stars today,wwwillchen; claude; azizmejri1; wwwillchen-bot; keppo-bot
8,SigNoz/signoz,https://github.com/SigNoz/signoz,"SigNoz is an open-source observability platform native to OpenTelemetry with logs, traces and metrics in a single application. An open-source alternative to DataDog, NewRelic, etc. 🔥 🖥. 👉 Open source Application Performance Monitoring (APM) & Observability tool",TypeScript,28523,2293,107 stars today,srikanthccv; palashgdev; ankitnayan; vikrantgupta25; prashant-shahi
9,browseros-ai/BrowserOS,https://github.com/browseros-ai/BrowserOS,"🌐 The open-source Agentic browser; alternative to ChatGPT Atlas, Perplexity Comet, Dia.",TypeScript,11722,1196,22 stars today,shadowfax92; felarof99; DaniAkash; shivammittal274; claude
10,Egonex-AI/Understand-Anything,https://github.com/Egonex-AI/Understand-Anything,"Graphs that teach > graphs that impress. Turn any code into an interactive knowledge graph you can explore, search, and ask questions about. Works with Claude Code, Codex, Cursor, Copilot, Gemini CLI, and more.",TypeScript,72086,6020,336 stars today,Lum1104; claude; thejesh23; ZebangCheng; berkcangumusisik
11,makenotion/notion-mcp-server,https://github.com/makenotion/notion-mcp-server,Official Notion MCP Server,TypeScript,4496,595,6 stars today,mquan; ksinder; claude; joshcanhelp; dgageot
12,tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,A utility-first CSS framework for rapid UI development.,TypeScript,95780,5325,53 stars today,adamwathan; RobinMalfait; depfu; thecrypticace; reinink
13,nrwl/nx,https://github.com/nrwl/nx,"The Monorepo Platform that amplifies both developers and AI agents. Nx optimizes your builds, scales your CI, and fixes failed PRs automatically. Ship in half the time.",TypeScript,29065,2763,19 stars today,FrozenPandaz; vsavkin; jaysoo; leosvelperez; Coly010
14,cline/cline,https://github.com/cline/cline,"Autonomous coding agent as an SDK, IDE extension, or CLI assistant.",TypeScript,64467,6875,51 stars today,saoudrizwan; abeatrix; celestial-vault; arafatkatze; sjf
15,google-labs-code/stitch-skills,https://github.com/google-labs-code/stitch-skills,"A library of Agent Skills designed to work with the Stitch MCP server. Each skill follows the Agent Skills open standard, for compatibility with coding agents such as Antigravity, Gemini CLI, Claude Code, Cursor.",TypeScript,6444,771,24 stars today,JLXIA; davideast; dalmaer; meeChn; vinothsubramanian
16,nestjs/nest,https://github.com/nestjs/nest,"A progressive Node.js framework for building efficient, scalable, and enterprise-grade server-side applications with TypeScript/JavaScript 🚀",TypeScript,76094,8332,36 stars today,kamilmysliwiec; dependabot; renovate-bot; renovate; micalevisk
