Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,FreeRTOS/FreeRTOS-Kernel,https://github.com/FreeRTOS/FreeRTOS-Kernel,"FreeRTOS kernel files only, submoduled into https://github.com/FreeRTOS/FreeRTOS and various other repos.",C,4211,1541,10 stars today,RichardBarry; aggarg; kar-rahul-aws; chinglee-iot; Skptak
2,DaveGamble/cJSON,https://github.com/DaveGamble/cJSON,Ultralightweight JSON parser in ANSI C,C,12758,3488,4 stars today,FSMaxB; Alanscut; DaveGamble; kbranigan; gatzka
3,RsyncProject/rsync,https://github.com/RsyncProject/rsync,An open source utility that provides fast incremental file transfer. It also has useful features for backup and restore operations among many other use cases.,C,4679,525,27 stars today,WayneD; tridge; claude; mattmccutchen; dev-zero
4,zephyrproject-rtos/zephyr,https://github.com/zephyrproject-rtos/zephyr,"Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures.",C,15493,9282,21 stars today,nashif; jukkar; galak; gmarull; cvinayak
5,xiaojieonly/Ehviewer_CN_SXJ,https://github.com/xiaojieonly/Ehviewer_CN_SXJ,ehviewer，用爱发电，快乐前行,C,24349,640,36 stars today,xiaojieonly; UjuiUjuMandan; wyapx; zhao-ng327; eithwa
6,DeusData/codebase-memory-mcp,https://github.com/DeusData/codebase-memory-mcp,"High-performance code intelligence MCP server. Indexes codebases into a persistent knowledge graph — average repo in milliseconds. 158 languages, sub-ms queries, 99% fewer tokens. Single static binary, zero dependencies.",C,2906,302,32 stars today,DeusData; claude; shanemccarron-maker; dependabot; dLo999
7,86Box/86Box,https://github.com/86Box/86Box,Emulator of x86-based machines.,C,4275,516,14 stars today,OBattler; richardg867; jriwanek; TC1995; starfrost013
8,allinurl/goaccess,https://github.com/allinurl/goaccess,GoAccess is a real-time web log analyzer and interactive viewer that runs in a terminal in *nix systems or through your browser.,C,20612,1184,7 stars today,allinurl; cgzones; haricot; Sea-n; da2x
9,OpenTenBase/OpenTenBase,https://github.com/OpenTenBase/OpenTenBase,OpenTenBase is an enterprise-level distributed HTAP open source database.,C,437,323,4 stars today,JennyJennyChen; s36326; robertmhaas; bethding-database; bartdong
10,vanhauser-thc/thc-hydra,https://github.com/vanhauser-thc/thc-hydra,hydra,C,11870,2550,19 stars today,vanhauser-thc; dmaciejak; Diadlo; e2002e; JesusChapman
11,libuv/libuv,https://github.com/libuv/libuv,Cross-platform asynchronous I/O,C,26878,3876,3 stars today,bnoordhuis; piscisaureus; saghul; ry; cjihrig
12,valkey-io/valkey,https://github.com/valkey-io/valkey,A flexible distributed key-value database that is optimized for caching and other realtime workloads.,C,26001,1164,22 stars today,antirez; oranagra; enjoy-binbin; pietern; madolson
13,pgvector/pgvector,https://github.com/pgvector/pgvector,Open-source vector similarity search for Postgres,C,21571,1192,17 stars today,ankane; hlinnaka; jkatz; lychen0618; binarycleric
14,openssl/openssl,https://github.com/openssl/openssl,General purpose TLS and crypto library,C,30252,11292,4 stars today,levitte; mattcaswell; dot-asm; paulidale; snhenson
15,SchedMD/slurm,https://github.com/SchedMD/slurm,Slurm: A Highly Scalable Workload Manager,C,4021,845,3 stars today,dannyauble; jette; wickberg; naterini; gaijin03
16,eclipse-mosquitto/mosquitto,https://github.com/eclipse-mosquitto/mosquitto,Eclipse Mosquitto - An open source MQTT broker,C,10941,2612,5 stars today,ralight; keptt; karlp; NorbertHeusser; PierreF
17,RfidResearchGroup/ChameleonUltra,https://github.com/RfidResearchGroup/ChameleonUltra,"The new generation chameleon based on NRF52840 makes the performance of card emulation more stable. And gave the chameleon the ability to read, write, and decrypt cards.",C,2609,386,6 stars today,doegox; xianglin1998; GameTec-live; nieldk; turbocool3r
18,RT-Thread/rt-thread,https://github.com/RT-Thread/rt-thread,RT-Thread is an open source IoT Real-Time Operating System (RTOS). https://rt-thread.github.io/rt-thread/,C,12019,5406,4 stars today,BernardXiong; mysterywolf; Guozhanxin; aozima; armink
