Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,thunderbird/thunderbolt,https://github.com/thunderbird/thunderbolt,AI You Control: Choose your models. Own your data. Eliminate vendor lock-in.,TypeScript,1609,82,447 stars today,cjroth; raivieiraadriano92; ital0; darkbanjo; arienemaiara
2,thedotmack/claude-mem,https://github.com/thedotmack/claude-mem,"A Claude Code plugin that automatically captures everything Claude does during your coding sessions, compresses it with AI (using Claude's agent-sdk), and injects relevant context back into future sessions.",TypeScript,62534,5225,"1,033 stars today",thedotmack; claude; Copilot; ousamabenyounes; rodboev
3,DaKheera47/job-ops,https://github.com/DaKheera47/job-ops,"job-ops: DevOps principles applied to job hunting. A self-hosted pipeline to track, analyze, and assist your application process",TypeScript,2784,311,72 stars today,DaKheera47; Copilot; github-actions; Mr-Nobody1; anasyd
4,jamiepine/voicebox,https://github.com/jamiepine/voicebox,The open-source voice synthesis studio,TypeScript,20618,2361,697 stars today,jamiepine; claude; tomasmach; mvanhorn; selop
5,assistant-ui/assistant-ui,https://github.com/assistant-ui/assistant-ui,Typescript/React Library for AI Chat💬🚀,TypeScript,9549,980,15 stars today,Yonom; github-actions; okisdev; AVGVSTVS96; petekp
6,ChromeDevTools/chrome-devtools-mcp,https://github.com/ChromeDevTools/chrome-devtools-mcp,Chrome DevTools for coding agents,TypeScript,36091,2208,367 stars today,OrKoN; dependabot; Lightning00Blade; browser-automation-bot; szuend
7,Fission-AI/OpenSpec,https://github.com/Fission-AI/OpenSpec,Spec-driven development (SDD) for AI coding assistants.,TypeScript,41086,2824,139 stars today,TabishB; github-actions; claude; openspec-release-bot; fsilvaortiz
8,lukilabs/craft-agents-oss,https://github.com/lukilabs/craft-agents-oss,Pas de description,TypeScript,4377,645,139 stars today,github-actions; balintorosz; rjulius23; eachann1024; fagemx
9,bitwarden/ai-plugins,https://github.com/bitwarden/ai-plugins,AI plugin marketplace.,TypeScript,72,7,4 stars today,withinfocus; theMickster; SaintPatrck; vgrassia; kdenney
10,resend/react-email,https://github.com/resend/react-email,💌 Build and send emails using React,TypeScript,18641,996,172 stars today,gabrielmfern; renovate; github-actions; bukinoshita; zenorocha
11,homarr-labs/homarr,https://github.com/homarr-labs/homarr,"A modern and easy to use dashboard. 40+ integrations. 10K+ icons built in. Authentication out of the box. No YAML, drag and drop configuration.",TypeScript,3475,208,8 stars today,homarr-renovate; Meierschlumpf; manuel-rw; homarr-crowdin; homarr-releases
12,twentyhq/twenty,https://github.com/twentyhq/twenty,"Building a modern alternative to Salesforce, powered by the community.",TypeScript,44655,6073,110 stars today,charlesBochet; github-actions; FelixMalfait; lucasbordeau; Weiko
13,koala73/worldmonitor,https://github.com/koala73/worldmonitor,"Real-time global intelligence dashboard. AI-powered news aggregation, geopolitical monitoring, and infrastructure tracking in a unified situational awareness interface",TypeScript,49017,8024,307 stars today,koala73; claude; SebastienMelki; NewCoder3294; lspassos1
14,actions/checkout,https://github.com/actions/checkout,Action for checking out a repo,TypeScript,7783,2463,7 stars today,ericsciple; dependabot; cory-miller; jww3; thboop
15,anomalyco/opencode,https://github.com/anomalyco/opencode,The open source coding agent.,TypeScript,145573,16512,525 stars today,thdxr; adamdotdevin; rekram1-node; actions-user; iamdavidhill
