Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,yorukot/superfile,https://github.com/yorukot/superfile,Pretty fancy and modern terminal file manager,Go,21517,698,662 stars today,yorukot; lazysegtree; renovate; nonepork; AnshumanNeon
2,alibaba/open-code-review,https://github.com/alibaba/open-code-review,"Open-source & free — Battle-tested at Alibaba's scale. Hybrid architecture code review tool: deterministic pipelines + LLM Agent, precise line-level comments, built-in fine-tuned ruleset (NPE, thread-safety, XSS, SQL injection), OpenAI & Anthropic compatible.",Go,15534,1052,918 stars today,lizhengfeng101; chethanuk; stay-foolish-forever; claude; MuoDoo
3,larksuite/cli,https://github.com/larksuite/cli,"The official Lark/Feishu CLI tool, maintained by the larksuite team — built for humans and AI Agents. Covers core business domains including Messenger, Docs, Base, Sheets, Calendar, Mail, Tasks, Meetings, and more, with 200+ commands and 20+ AI Agent Skills.",Go,15929,1188,46 stars today,liangshuo-1; fangshuyu-768; ethan-zhx; wittam-01; evandance
4,benbjohnson/litestream,https://github.com/benbjohnson/litestream,Streaming replication for SQLite.,Go,14112,382,54 stars today,benbjohnson; corylanou; claude; hifi; dependabot
5,google/gvisor,https://github.com/google/gvisor,Application Kernel for Containers,Go,18898,1805,7 stars today,gvisor-bot; ayushr2; avagin; fvoznika; EtiennePerot
6,google/adk-go,https://github.com/google/adk-go,"An open-source, code-first Go toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control.",Go,8549,849,11 stars today,dpasiukevich; baptmont; kdroste-google; yarolegovich; hyangah
7,Ed1s0nZ/CyberStrikeAI,https://github.com/Ed1s0nZ/CyberStrikeAI,"The system of action for AI-native cybersecurity—where intent becomes governed execution, evidence becomes operational memory, and every operation improves the next.",Go,5348,854,19 stars today,Ed1s0nZ; ruanmingchen; donnel666; claude; chhs1129
8,GoogleCloudPlatform/microservices-demo,https://github.com/GoogleCloudPlatform/microservices-demo,"Sample cloud-first application with 10 microservices showcasing Kubernetes, Istio, and gRPC.",Go,20759,10250,35 stars today,renovate-bot; ahmetb; dependabot; NimJay; mathieu-benoit
9,black-ant/Ant-Browser,https://github.com/black-ant/Ant-Browser,指纹浏览器,Go,1481,237,22 stars today,black-ant; voidvon; UltraSoundX; claude; asmoyou
10,woodpecker-ci/woodpecker,https://github.com/woodpecker-ci/woodpecker,"Woodpecker is a simple, yet powerful CI/CD engine with great extensibility.",Go,7577,638,19 stars today,bradrydzewski; renovate; 6543; qwerty287; anbraten
11,hashicorp/terraform-provider-aws,https://github.com/hashicorp/terraform-provider-aws,The AWS Provider enables Terraform to manage AWS resources.,Go,11004,10272,0 stars today,ewbankkit; YakDriver; gdavison; bflad; jar-b
12,moby/moby,https://github.com/moby/moby,The Moby Project - a collaborative project for the container ecosystem to assemble container-based systems,Go,71916,19072,9 stars today,thaJeztah; cpuguy83; crosbymichael; vvoland; vdemeester
13,micro-editor/micro,https://github.com/micro-editor/micro,A modern and intuitive terminal-based text editor,Go,29218,1346,27 stars today,zyedidia; JoeKar; dmaluka; CamilleScholtz; boombuler
14,knadh/listmonk,https://github.com/knadh/listmonk,"High performance, self-hosted, newsletter and mailing list manager with a modern dashboard. Single binary app.",Go,22521,2455,38 stars today,knadh; github-actions; dependabot; mr-karan; MaximilianKohler
15,alibaba/skill-up,https://github.com/alibaba/skill-up,An evaluation and evolution tool for Agent Skills.,Go,241,14,31 stars today,roark47; zpzjzj; claude; dependabot; jwx0925
16,ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,Go implementation of the Ethereum protocol,Go,51232,22028,8 stars today,obscuren; karalabe; fjl; holiman; rjl493456442
17,Mininglamp-OSS/octo-server,https://github.com/Mininglamp-OSS/octo-server,"🐙 The Go backend powering OCTO — an open workplace built for humans × AI agents. REST & WebSocket APIs, Lobster (AI agent) orchestration, and WuKongIM real-time messaging control plane.",Go,454,78,29 stars today,yujiawei; lml2468; an9xyz; claude; multica-agent
18,spf13/viper,https://github.com/spf13/viper,Go configuration with fangs,Go,30398,2212,10 stars today,sagikazarmark; dependabot; spf13; bep; spacez320
19,sipeed/picoclaw,https://github.com/sipeed/picoclaw,"Tiny, Fast, and Deployable anywhere — automate the mundane, unleash your creativity",Go,29752,4348,16 stars today,afjcjsbx; alexhoshina; claude; dependabot; lxowalle
20,mikefarah/yq,https://github.com/mikefarah/yq,"yq is a portable command-line YAML, JSON, XML, CSV, TOML, HCL and properties processor",Go,15756,803,6 stars today,mikefarah; dependabot; kenjones-cisco; stevenwdv; Copilot
21,livekit/livekit,https://github.com/livekit/livekit,End-to-end realtime stack for connecting humans and AI,Go,20010,2197,20 stars today,boks1971; davidzhao; cnderrauber; paulwe; renovate
