Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,BatchDrake/SigDigger,https://github.com/BatchDrake/SigDigger,"Qt-based digital signal analyzer, using Suscan core and Sigutils DSP library",C++,1984,212,303 stars today,BatchDrake; sultanqasim; arf20; melroy89; jedi7
2,hyprwm/Hyprland,https://github.com/hyprwm/Hyprland,"Hyprland is an independent, highly customizable, dynamic tiling Wayland compositor that doesn't sacrifice on its looks.",C++,35453,1703,24 stars today,vaxerski; fufexan; gulafaran; MightyPlaza; UjinT34
3,MaaAssistantArknights/MaaAssistantArknights,https://github.com/MaaAssistantArknights/MaaAssistantArknights,"《明日方舟》小助手，全日常一键长草！| A one-click tool for the daily tasks of Arknights, supporting all clients.",C++,20582,2574,28 stars today,MistEO; ABA2396; status102; Constrat; github-actions
4,CleverRaven/Cataclysm-DDA,https://github.com/CleverRaven/Cataclysm-DDA,Cataclysm - Dark Days Ahead. A turn-based survival game set in a post-apocalyptic world.,C++,12292,4488,6 stars today,ZhilkinSerg; kevingranade; Rivet-the-Zombie; Maleclypse; BevapDin
5,ocornut/imgui,https://github.com/ocornut/imgui,Dear ImGui: Bloat-free Graphical User interface for C++ with minimal dependencies,C++,72963,11750,21 stars today,ocornut; rokups; thedmd; cfillion; bkaradzic
6,wled/WLED,https://github.com/wled/WLED,Control WS2812B and many more types of digital RGB LEDs with an ESP32 over WiFi!,C++,17913,4122,7 stars today,blazoncek; Aircoookie; netmindz; softhack007; DedeHai
7,xbmc/xbmc,https://github.com/xbmc/xbmc,"Kodi is an award-winning free and open source home theater/media center software and entertainment hub for digital media. With its beautiful interface and powerful skinning engine, it's available for Android, BSD, Linux, macOS, iOS, tvOS and Windows.",C++,20710,6530,4 stars today,ksooo; FernetMenta; Montellese; MartijnKaijser; Memphiz
8,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone,C++,194981,75341,28 stars today,tensorflower-gardener; ezhulenev; akuegel; hawkinsp; mihaimaruseac
9,electron/electron,https://github.com/electron/electron,"Build cross-platform desktop apps with JavaScript, HTML, and CSS",C++,121131,17165,24 stars today,zcbenz; kevinsawicki; codebytere; MarshallOfSound; nornagon
10,stenzek/duckstation,https://github.com/stenzek/duckstation,Fast PlayStation 1 emulator for x86-64/AArch32/AArch64/RV64,C++,10093,910,11 stars today,stenzek; andercard0; Pesa; zkdpower; ggrtk
11,WasmEdge/WasmEdge,https://github.com/WasmEdge/WasmEdge,"WasmEdge is a lightweight, high-performance, and extensible WebAssembly runtime for cloud native, edge, and decentralized applications. It powers serverless apps, embedded functions, microservices, smart contracts, and IoT devices.",C++,10574,1043,1 star today,q82419; hydai; ibmibmibm; dm4; apepkuss
12,HIllya51/LunaTranslator,https://github.com/HIllya51/LunaTranslator,视觉小说翻译器 / Visual Novel Translator,C++,11384,1069,10 stars today,HIllya51; chlbc; chaihahaha; dependabot; sakura-umi
13,AaronFeng753/Waifu2x-Extension-GUI,https://github.com/AaronFeng753/Waifu2x-Extension-GUI,"Video, Image and GIF upscale/enlarge(Super-Resolution) and Video frame interpolation. Achieved with Waifu2x, Real-ESRGAN, Real-CUGAN, RTX Video Super Resolution VSR, SRMD, RealSR, Anime4K, RIFE, IFRNet, CAIN, DAIN, and ACNet.",C++,16502,1041,4 stars today,AaronFeng753; Nova-Aurora; User198263321; CaptainStabs
14,hyprwm/hyprland-plugins,https://github.com/hyprwm/hyprland-plugins,Official plugins for Hyprland,C++,1389,186,2 stars today,vaxerski; fufexan; matt1432; awerty-noob; amadejkastelic
15,geode-sdk/geode,https://github.com/geode-sdk/geode,The ultimate Geometry Dash modding framework,C++,2353,449,9 stars today,altalk23; HJfod; matcool; dankmeme01; cgytrus
16,BruceDevices/firmware,https://github.com/BruceDevices/firmware,Predatory ESP32 Firmware,C++,5505,1859,10 stars today,bmorcelli; pr3y; rennancockles; Tawank; valentin8709
17,LadybirdBrowser/ladybird,https://github.com/LadybirdBrowser/ladybird,Truly independent web browser,C++,62693,2973,68 stars today,awesomekling; trflynn89; AtkinsSJ; linusg; alimpfard
18,FastFlowLM/FastFlowLM,https://github.com/FastFlowLM/FastFlowLM,Run LLMs on AMD Ryzen™ AI NPUs in minutes. Just like Ollama - but purpose-built and deeply optimized for the AMD NPUs.,C++,1302,87,16 stars today,ngdxzy; ZaneNi; twflm; superm1; joeldushouyu
