Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,FreeCAD/FreeCAD,https://github.com/FreeCAD/FreeCAD,"Official source code of FreeCAD, a free and opensource multiplatform 3D parametric modeler.",C++,29904,5349,70 stars today,wwmayer; yorikvanhavre; berndhahnebach; chennes; WandererFan
2,ocornut/imgui,https://github.com/ocornut/imgui,Dear ImGui: Bloat-free Graphical User interface for C++ with minimal dependencies,C++,72267,11654,22 stars today,ocornut; rokups; thedmd; cfillion; bkaradzic
3,ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,LLM inference in C/C++,C++,99903,16004,187 stars today,ggerganov; ngxson; slaren; JohannesGaessler; CISC
4,godotengine/godot,https://github.com/godotengine/godot,Godot Engine – Multi-platform 2D and 3D game engine,C++,108677,24808,62 stars today,akien-mga; Repiteo; reduz; Calinou; bruvzg
5,azerothcore/azerothcore-wotlk,https://github.com/azerothcore/azerothcore-wotlk,Complete Open Source and Modular solution for MMO,C++,8133,3260,3 stars today,github-actions; Nyeriah; Kitzunu; UltraNix; Gultask
6,bambulab/BambuStudio,https://github.com/bambulab/BambuStudio,PC Software for BambuLab and other 3D printers,C++,4192,659,6 stars today,Haidiye00; bambu123; walterwongbbl; zhimin-zeng-bambulab; XunZhangBambu
7,harfbuzz/harfbuzz,https://github.com/harfbuzz/harfbuzz,HarfBuzz text shaping engine,C++,5457,723,24 stars today,behdad; ebraminio; garretrieger; khaledhosny; blueshade7
8,hyprwm/Hyprland,https://github.com/hyprwm/Hyprland,"Hyprland is an independent, highly customizable, dynamic tiling Wayland compositor that doesn't sacrifice on its looks.",C++,34780,1645,23 stars today,vaxerski; fufexan; gulafaran; MightyPlaza; UjinT34
9,HIllya51/LunaTranslator,https://github.com/HIllya51/LunaTranslator,视觉小说翻译器 / Visual Novel Translator,C++,11016,1046,14 stars today,HIllya51; chlbc; chaihahaha; dependabot; sakura-umi
10,ikawrakow/ik_llama.cpp,https://github.com/ikawrakow/ik_llama.cpp,llama.cpp fork with additional SOTA quants and improved performance,C++,1916,246,10 stars today,ikawrakow; firecoperana; saood06; Nexesenex; 0cc4m
11,praydog/REFramework,https://github.com/praydog/REFramework,"Mod loader, scripting platform, and VR support for all RE Engine games",C++,4883,528,7 stars today,praydog; cursey; angelfor3v3r; Strackeror; hcdd0304
12,azahar-emu/azahar,https://github.com/azahar-emu/azahar,An open-source 3DS emulator project based on Citra.,C++,6892,448,14 stars today,bunnei; wwylele; lioncash; yuriks; OpenSauce04
13,xbmc/xbmc,https://github.com/xbmc/xbmc,"Kodi is an award-winning free and open source home theater/media center software and entertainment hub for digital media. With its beautiful interface and powerful skinning engine, it's available for Android, BSD, Linux, macOS, iOS, tvOS and Windows.",C++,20587,6514,6 stars today,ksooo; FernetMenta; Montellese; MartijnKaijser; Memphiz
14,NVIDIA-RTX/NVRHI,https://github.com/NVIDIA-RTX/NVRHI,Pas de description,C++,1856,200,7 stars today,apanteleev; nv-jdeligiannis; calhsu-nvidia; nvanji; cfernandezag
15,HailToDodongo/pyrite64,https://github.com/HailToDodongo/pyrite64,N64 Game-Engine and Editor using libdragon & tiny3d,C++,2808,110,28 stars today,HailToDodongo; thekovic; Q-Bert-Reynolds; Byterset; rasky
16,TrinityCore/TrinityCore,https://github.com/TrinityCore/TrinityCore,"TrinityCore Open Source MMO Framework (master = 12.0.1.66709, 3.3.5 = 3.3.5a.12340, cata classic = 4.4.2.60895)",C++,10483,6292,2 stars today,Shauren; Vincent-Michael; DDuarte; Aokromes; Killyana
17,78/xiaozhi-esp32,https://github.com/78/xiaozhi-esp32,An MCP-based chatbot | 一个基于MCP的聊天机器人,C++,25196,5426,25 stars today,78; laride; Y1hsiaochunnn; Kevincoooool; txp666
18,kiwibrowser/src.next,https://github.com/kiwibrowser/src.next,"Source-code for Kiwi Next, a Kiwi Browser auto-rebased with latest Chromium",C++,3600,599,4 stars today,kiwibrowser; Delphox; d3ward; DUOLabs333; github-actions
19,Chatterino/chatterino2,https://github.com/Chatterino/chatterino2,Chat client for https://twitch.tv,C++,2447,555,1 star today,pajlada; fourtf; Nerixyz; dependabot; zneix
20,aseprite/aseprite,https://github.com/aseprite/aseprite,"Animated sprite editor & pixel art tool (Windows, macOS, Linux)",C++,36291,7906,9 stars today,dacap; martincapello; Gasparoken; ckaiser; iamOgunyinka
21,qbittorrent/qBittorrent,https://github.com/qbittorrent/qBittorrent,qBittorrent BitTorrent client,C++,36224,4601,27 stars today,Chocobo1; sledgehammer999; glassez; Piccirello; zeule
22,tesseract-ocr/tesseract,https://github.com/tesseract-ocr/tesseract,Tesseract Open Source OCR Engine (main repository),C++,73204,10567,26 stars today,stweil; egorpugin; zdenop; Shreeshrii; amitdo
