Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,santifer/career-ops,https://github.com/santifer/career-ops,"AI-powered job search system built on Claude Code. 14 skill modes, Go dashboard, PDF generation, batch processing.",JavaScript,56852,11251,216 stars today,santifer; claude; FReptar0; luochen211; SparshGarg999
2,rohitg00/pro-workflow,https://github.com/rohitg00/pro-workflow,"Claude Code learns from your corrections: self-correcting memory that compounds over 50+ sessions. Context engineering, parallel worktrees, agent teams, and 17 battle-tested skills.",JavaScript,2527,240,43 stars today,rohitg00; dependabot; popey; neilkuan; coderabbitai
3,drawdb-io/drawdb,https://github.com/drawdb-io/drawdb,"Free, simple, and intuitive online database diagram editor and SQL generator.",JavaScript,37905,3070,126 stars today,1ilit; dependabot; picimako; haecheonlee; KARM99
4,pashov/skills,https://github.com/pashov/skills,Pashov Audit Group Skills,JavaScript,922,172,9 stars today,claude; pashov; 0xfirefistt; Daneided; kartojal
5,decolua/9router,https://github.com/decolua/9router,"Unlimited FREE AI coding. Connect Claude Code, Codex, Cursor, Cline, Copilot, Antigravity to FREE Claude/GPT/Gemini via 40+ providers. Auto-fallback, RTK -40% tokens, never hit limits.",JavaScript,19106,3091,161 stars today,cursoragent; anuragg-saxenaa; claude; catalinstanciu; Blade096
6,chinese-poetry/chinese-poetry,https://github.com/chinese-poetry/chinese-poetry,"The most comprehensive database of Chinese poetry 🧶最全中华古诗词数据库, 唐宋两朝近一万四千古诗人, 接近5.5万首唐诗加26万宋诗. 两宋时期1564位词人，21050首词。",JavaScript,52138,10524,23 stars today,jackeyGao; FleetingWang; HongzhiW; vi-ss; liuxsdev
7,Mathieu2301/TradingView-API,https://github.com/Mathieu2301/TradingView-API,📈 Get real-time stocks from TradingView,JavaScript,4105,773,27 stars today,Mathieu2301; clins1994; brandonros; OguzBey; dependabot
8,poloclub/transformer-explainer,https://github.com/poloclub/transformer-explainer,Transformer Explained Visually: Learn How LLM Transformer Models Work with Interactive Visualization,JavaScript,8051,883,72 stars today,aereeeee; karpekov; dependabot; polochau; DennisTraub
9,tt-a1i/archify,https://github.com/tt-a1i/archify,Any agent Skill: generate beautiful architecture diagrams with dark/light theme toggle and PNG/JPEG/WebP/SVG export,JavaScript,1622,109,67 stars today,tt-a1i; claude
10,earthtojake/text-to-cad,https://github.com/earthtojake/text-to-cad,"A collection of agent skills for CAD, robotics and hardware design",JavaScript,7350,867,90 stars today,earthtojake; claude; github-actions; arronzhang; vasco3
11,zarazhangrui/follow-builders,https://github.com/zarazhangrui/follow-builders,"AI builders digest — monitors top AI builders on X and YouTube podcasts, remixes their content into digestible summaries. Follow builders, not influencers.",JavaScript,5525,702,30 stars today,github-actions; claude; zarazhangrui
12,datawhalechina/easy-vibe,https://github.com/datawhalechina/easy-vibe,💻 vibe coding 2026 | Your First Modern Coding course beginners to master step by step.,JavaScript,17583,1663,100 stars today,sanbuphy; claude; GeoDaoyu; SherryTECNU; 1985312383
13,fleetbase/fleetbase,https://github.com/fleetbase/fleetbase,Modular logistics and supply chain operating system (LSOS),JavaScript,2015,681,14 stars today,roncodes; shivthakker; ekini; TemuulenBM; tortuvshin
