Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,google/ax,https://github.com/google/ax,Google's open agentic orchestration runtime,Go,11582,556,"1,379 stars today",rakyll; joycel-github; wjjclaud; anj-s; zbl94
2,openbao/openbao,https://github.com/openbao/openbao,"OpenBao is a software solution to manage, store, and distribute sensitive data including secrets, certificates, and keys.",Go,7765,587,49 stars today,jefferai; vishalnayak; cipherboy; hc-github-team-secure-vault-core; armon
3,vshulcz/deja-vu,https://github.com/vshulcz/deja-vu,"One memory shared by Claude Code, Codex, Cursor, Copilot CLI, OpenClaw and 29 more coding agents, built from the session history already on disk. A fix found in one agent comes back in any of them, including months of sessions from before you installed it. No LLM, no embeddings, one local Go binary.",Go,1021,101,39 stars today,vshulcz; Sora-bluesky; vaibhav8a; claude; AliceLJY
4,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,Production-Grade Container Scheduling and Management,Go,127997,45218,39 stars today,k8s-ci-robot; liggitt; thockin; wojtek-t; brendandburns
5,Armur-Ai/Pentest-Swarm-AI,https://github.com/Armur-Ai/Pentest-Swarm-AI,"Autonomous penetration testing using a swarm of AI agents. Orchestrates recon, classification, exploitation, and reporting specialists with ReAct reasoning — supports bug bounty, continuous monitoring, and CTF modes. Built with Go and 7+ native security tools.",Go,2622,480,34 stars today,AkhilSharma90; claude; Kuro0911; siwacarn; akhilairi
6,DataDog/datadog-agent,https://github.com/DataDog/datadog-agent,Main repository for Datadog Agent,Go,3753,1497,9 stars today,paulcacheux; pgimalac; hush-hush; chouetz; dependabot
7,microsoft/TypeScript,https://github.com/microsoft/TypeScript,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.,Go,111207,14916,26 stars today,ahejlsberg; sheetalkamat; DanielRosenwasser; sandersn; mhegazy
8,seaweedfs/seaweedfs,https://github.com/seaweedfs/seaweedfs,"SeaweedFS is a distributed storage system for object storage (S3), file systems, and Iceberg tables, designed to handle billions of files with O(1) disk access and effortless horizontal scaling.",Go,34983,3010,29 stars today,chrislusf; dependabot; kmlebedev; chrisluuber; gemini-code-assist
9,akuity/kargo,https://github.com/akuity/kargo,Application lifecycle orchestration,Go,3682,440,2 stars today,krancour; dependabot; hiddeco; Marvin9; rbreeze
10,safing/portmaster,https://github.com/safing/portmaster,🏔 Love Freedom - ❌ Block Mass Surveillance,Go,13815,580,15 stars today,dhaavi; stenya; ppacher; vlabo; davegson
11,SagerNet/sing-box,https://github.com/SagerNet/sing-box,The universal proxy platform,Go,38306,4655,29 stars today,nekohasekai; macronut; flyzstu; NagaseMinato; Mahdi-zarei
12,GoogleCloudPlatform/microservices-demo,https://github.com/GoogleCloudPlatform/microservices-demo,"Sample cloud-first application with 10 microservices showcasing Kubernetes, Istio, and gRPC.",Go,21003,10501,14 stars today,renovate-bot; ahmetb; dependabot; NimJay; mathieu-benoit
13,Gentleman-Programming/gentle-ai,https://github.com/Gentleman-Programming/gentle-ai,"Gentle-AI configures the AI coding agents you already use: Claude Code, Cursor, OpenCode, Codex, Pi, and more. Choose persistent memory, Organic-Driven Development, curated skills, MCP servers, personas, and optional bounded review. Open source, no agent lock-in.",Go,7300,798,59 stars today,Alan-TheGentleman; dnlrsls; decode2; ElCaaarnal; ardelperal
14,golang/go,https://github.com/golang/go,The Go programming language,Go,139015,20480,36 stars today,rsc; griesemer; robpike; ianlancetaylor; bradfitz
15,ArvinLovegood/go-stock,https://github.com/ArvinLovegood/go-stock,🦄🦄🦄AI赋能股票分析：AI加持的股票分析/选股工具。股票行情获取，AI热点资讯分析，AI资金/财务分析，涨跌报警推送。支持A股，港股，美股。支持市场整体/个股情绪分析，AI辅助选股等。数据全部保留在本地。支持DeepSeek，OpenAI， Ollama，LMStudio，AnythingLLM，硅基流动，火山方舟，阿里云百炼等平台或模型。,Go,7710,1347,14 stars today,ArvinLovegood; CodeNoobLH; github-advanced-security; dependabot; GiCo001
16,Gentleman-Programming/engram,https://github.com/Gentleman-Programming/engram,"Persistent memory system for AI coding agents. Agent-agnostic Go binary with SQLite + FTS5, MCP server, HTTP API, CLI, and TUI.",Go,6847,705,29 stars today,Alan-TheGentleman; dnlrsls; danielgap; egdev6; Reaan06
17,traefik/traefik,https://github.com/traefik/traefik,The Cloud Native Application Proxy,Go,64969,6205,17 stars today,ldez; emilevauge; rtribotte; kevinpollet; mmatur
18,gosom/google-maps-scraper,https://github.com/gosom/google-maps-scraper,"scrape data from Google Maps. Extracts data such as the name, address, phone number, website URL, rating, reviews number, latitude and longitude, reviews,email and more for each place",Go,6121,968,45 stars today,gosom; dredozubov; sbOogway; fidalgo; claude
19,mikefarah/yq,https://github.com/mikefarah/yq,"yq is a portable command-line YAML, JSON, XML, CSV, TOML, HCL and properties processor",Go,16012,1673,4 stars today,mikefarah; dependabot; kenjones-cisco; stevenwdv; Copilot
20,ollama/ollama,https://github.com/ollama/ollama,"Get up and running with Kimi, GLM, MiniMax, DeepSeek, gpt-oss, Qwen, Gemma and other models.",Go,181737,18006,111 stars today,mxyng; dhiltgen; jmorganca; BruceMacD; jessegross
