Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,n0-computer/iroh,https://github.com/n0-computer/iroh,"IP addresses break, dial keys instead. Modular networking stack in Rust.",Rust,9710,454,421 stars today,dignifiedquire; flub; rklaehn; Frando; ramfox
2,Universal-Debloater-Alliance/universal-android-debloater-next-generation,https://github.com/Universal-Debloater-Alliance/universal-android-debloater-next-generation,"Cross-platform GUI written in Rust using ADB to debloat non-rooted Android devices. Improve your privacy, the security and battery life of your device.",Rust,7676,330,457 stars today,AnonymousWP; 0x192; Frigyes06; Rudxain; lavafroth
3,nautechsystems/nautilus_trader,https://github.com/nautechsystems/nautilus_trader,Production-grade Rust-native trading engine with deterministic event-driven architecture,Rust,23854,3020,98 stars today,cjdsellers; limx0; filipmacek; faysou; davidsblom
4,eclipse-zenoh/zenoh,https://github.com/eclipse-zenoh/zenoh,"zenoh unifies data in motion, data in-use, data at rest and computations. It carefully blends traditional pub/sub with geo-distributed storages, queries and computations, while retaining a level of time and space efficiency that is well beyond any of the mainstream stacks.",Rust,2896,317,19 stars today,Mallets; OlivierHecart; milyin; JEnoch; wyfo
5,typst/typst,https://github.com/typst/typst,A markup-based typesetting system that is powerful and easy to learn.,Rust,54378,1608,48 stars today,laurmaedje; reknih; saecki; MDLC01; mkorje
6,swc-project/swc,https://github.com/swc-project/swc,Rust-based platform for the Web,Rust,34038,1420,120 stars today,kdy1; swc-bot; alexander-akait; magic-akari; kwonoj
7,lance-format/lance,https://github.com/lance-format/lance,"Open Lakehouse Format for Multimodal AI. Convert from Parquet in 2 lines of code for 100x faster random access, vector index, and data versioning. Compatible with Pandas, DuckDB, Polars, Pyarrow, and PyTorch with more integrations coming..",Rust,6684,722,8 stars today,github-actions; eddyxu; westonpace; wjones127; BubbleCal
8,Myriad-Dreamin/tinymist,https://github.com/Myriad-Dreamin/tinymist,Tinymist [ˈtaɪni mɪst] is an integrated language service for Typst [taɪpst].,Rust,3321,165,12 stars today,Myriad-Dreamin; hongjr03; ParaN3xus; Enter-tainer; QuadnucYard
9,zellij-org/zellij,https://github.com/zellij-org/zellij,A terminal workspace with batteries included,Rust,33745,1273,43 stars today,imsnif; a-kenji; TheLostLambda; kunalmohan; jaeheonji
10,voidzero-dev/vite-plus,https://github.com/voidzero-dev/vite-plus,"Vite+ is the unified toolchain and entry point for web development. It manages your runtime, package manager, and frontend toolchain in one place.",Rust,5028,209,21 stars today,fengmk2; Brooooooklyn; wan9chi; cpojer; Boshen
11,ogulcancelik/herdr,https://github.com/ogulcancelik/herdr,agent multiplexer that lives in your terminal.,Rust,6153,366,160 stars today,ogulcancelik; github-actions; kangal-bot; Golden-Pigeon; othavioquiliao
12,MystenLabs/sui,https://github.com/MystenLabs/sui,"Sui, a next-generation smart contract platform with high throughput, low latency, and an asset-oriented programming model powered by the Move programming language",Rust,7711,11683,4 stars today,lxfind; bmwill; amnn; mystenmark; mwtian
13,hank9999/kiro.rs,https://github.com/hank9999/kiro.rs,A Kiro Client in Rust,Rust,1688,460,4 stars today,hank9999; BenedictKing; Gaoyukun; d0zingcat; ShanQuea
14,openai/codex,https://github.com/openai/codex,Lightweight coding agent that runs in your terminal,Rust,91819,13565,254 stars today,jif-oai; bolinfest; aibrahim-oai; pakrym-oai; etraut-openai
15,AlexsJones/llmfit,https://github.com/AlexsJones/llmfit,Hundreds of models & providers. One command to find what runs on your hardware.,Rust,28192,1719,81 stars today,AlexsJones; claude; three-foxes-in-a-trenchcoat; dependabot; github-actions
16,rustfs/rustfs,https://github.com/rustfs/rustfs,"🚀2.3x faster than MinIO for 4KB object payloads. RustFS is an open-source, S3-compatible high-performance object storage system supporting migration and coexistence with other S3-compatible platforms such as MinIO and Ceph.",Rust,28930,1266,62 stars today,houseme; overtrue; weisd; loverustfs; guojidan
17,base/base,https://github.com/base/base,All components used to run Base,Rust,670,483,7 stars today,refcell; danyalprout; ratankaliani; fakedev9999; tynes
18,farion1231/cc-switch,https://github.com/farion1231/cc-switch,"A cross-platform desktop All-in-One assistant for Claude Code, Codex, OpenCode, OpenClaw, Gemini CLI & Hermes Agent. Only official website: ccswitch.io",Rust,103633,6853,844 stars today,farion1231; yovinchen; claude; TinsFox; makoMakoGo
19,denoland/deno,https://github.com/denoland/deno,A modern runtime for JavaScript and TypeScript.,Rust,107127,6075,38 stars today,bartlomieju; dsherret; ry; littledivy; nayeemrmn
20,Lampese/codex-switcher,https://github.com/Lampese/codex-switcher,A Desktop Application for Managing Multiple OpenAI Codex CLI Accounts,Rust,414,86,8 stars today,joonshakya; Lampese; emreertunc; SHAREN; petrovichest
21,ruffle-rs/ruffle,https://github.com/ruffle-rs/ruffle,A Flash Player emulator written in Rust,Rust,18200,1038,8 stars today,kmeisthax; Dinnerbone; kjarosh; Herschel; dependabot
